content,rating,type,status,tokenization,publishedDate,origin
新營區的這家民宿非常建議預訂包場，儘管場地不大。熱水很棒，但淋浴頭的角度需要注意。包場靠近衛生間的草地很不錯。但我們卻被安排在較邊間的位置，還在蓋建造中，草地還在長長，沒有明顯的垃圾桶，還要自己搬空垃圾桶。洗手檯位置也很邊間，沒有廚餘桶，需要使用隔壁區域的，但發現裡面都是垃圾！電源也很特別，需要四個小時才能充一次電，幸好不是夏天，否則可能會很熱。幸運地遇到了隔壁民宿的派對，整個山谷充滿了歌聲，直到凌晨一點才結束，接著是摩托車在山谷飆車，早上是狗吠和雞叫。老闆很熱情，會教我們炒咖啡豆，還會分享附近景點，包括星空。,3,1,0,,2023/3/8,0
新營區，非常建議預訂包場，因為地方不大。熱水很棒，但淋浴頭的角度很微妙。靠近浴室的包場位置的草皮很不錯。但我們很抱歉，剛好預訂了比較靠近邊界的位置。整體規劃還不完善，很明顯還在施工中。我們的位置靠近邊界，草皮還在長，垃圾桶也不明顯，還要自己去搬空垃圾簍。洗手檯位置靠近邊界，也沒有垃圾桶，發現鄰區的垃圾桶裡全是垃圾！電源也很特別，要四小時按一下充電樁，幸好不是夏天，否則會熱死。我們碰巧遇到隔壁民宿的派對，整個山谷都是歌聲，歡唱到凌晨快一點結束，然後出現摩托車山谷飆車，早上狗吠雞叫，很特別的經歷。老闆很熱情，也很客氣，會教我們炒咖啡豆，還會分享附近景點，包括星空。,3,1,0,,2023/3/8,0
新營區，非常建議預訂房間，以確保更好的體驗，雖然設施不算大。熱水澡非常舒適，設施整體上算是好的。然而，附近的草皮位置非常不錯，但我們並未享受到這個好處，因為我們的房間位置靠近邊緣。整個設施似乎仍在施工中，環境並不整潔，垃圾桶位置不便。洗手檯和廚具設施也位處偏僻位置，甚至還有垃圾。另外，電源設施需要定時充電，可能在夏季下得不開心。幸運地，隔壁民宿有派對，整個山谷充斥著歌聲，直到凌晨。早上還有重機飆車聲，狗吠雞叫聲，創造了特殊的氛圍。老闆很友好，會教你煮咖啡豆，並分享附近景點。,3,1,0,,2023/3/8,0
新營區，非常建議預訂包場，因為地方不大。熱水很好，但淋浴頭的角度需要注意。靠近衛生間的包場位置的草皮很好。但不幸的是，我們的位置在包場的邊緣，草皮還在長，沒有明顯的垃圾桶，還需要自己搬走垃圾桶。洗手檯位置靠近包場的邊緣，也沒有垃圾桶，發現附近區域的垃圾桶裡面都是垃圾！電源設施也很特別，需要每四個小時去充電桿按一下。幸好不是夏天，否則可能會很熱。幸運地，隔壁民宿開了派對，整個山谷充滿了歌聲和歡笑，直到凌晨快一點結束，接著是摩托車在山谷中飆車，早上是狗吠和雞叫。這是一個非常特別的經驗。老闆很熱情，也很客氣，教我們炒咖啡豆，分享附近景點，還給我們欣賞星空的機會。,3,1,0,,2023/3/8,0
新營區，非常建議預訂包場，因為場地不大。熱水很好，但淋浴頭的角度需要注意。靠近浴室的包場位置草皮很不錯。但我們並未享受這個好處，因為我們預訂的位置靠近邊界。整體規劃似乎還在完善中，場地仍在建設中。草皮仍在長，沒有明確的垃圾桶，需要自己去搬空垃圾桶。洗手檯位置靠近邊界，也沒有垃圾桶，需要使用附近的垃圾桶，但發現裡面都是垃圾！電源系統也很特殊，需要四小時才能充一次電，幸好不是夏天，否則可能會很熱。幸運地，隔壁民宿有派對，整個山谷充滿歌聲和歡笑，直到凌晨。接著，有重型摩托車在山谷飆車，早上狗吠雞叫。這是一次非常特別的經驗。老闆很熱情，很友好，會教炒咖啡豆，分享附近景點，還有星空。,3,1,0,,2023/3/8,0
228連假可能會讓清潔馬桶的員工也能休假。當營位已經滿的時候，增加清潔頻率就變得很重要，更不用說還有外面花園的門票出售。228連假直到清潔馬桶停止，清潔表格仍然停在2/26…,3,1,0,,2022/3/2,0
228連假可能也會讓工作人員休假，當營位滿座時，增派清潔人員清潔浴室的頻率就會增加，更不用說有外客入園，直到228連假結束浴室才被清潔，清潔表格還停在2/26。,3,1,0,,2022/3/2,0
228連假期間，工作人員可能會休假，當營位滿座時，清潔頻率需要增加。更何況，還有外遊客因為花園門票而進入。228連假直到清潔人員返回之前，整個區域的廁所都沒有清潔。清潔表單甚至在2/26日仍然停在原地未動。,3,1,0,,2022/3/2,0
228連假可能會讓清潔工作人員也休假，當營位已經滿的時候，增加清潔頻率就變得更加重要，更不用說還有外客入園。然而，228連假期間，直到清潔工作人員返回之前，整個公廁區都沒有被清潔，清潔表格（至少）一直停在2/26的日期。,3,1,0,,2022/3/2,0
228連假可能會讓工作人員休假，當營位滿座時，增加清潔頻率是合理的，更不用說有外客入園，228連假直到清潔人員上班前廁所都保持不清潔，清潔表格也停在2/26，顯示管理不善。,3,1,0,,2022/3/2,0
對於假日一帳1500元的營地，期待能夠提供可靠的電力系統和危機處理能力。露營了三天兩夜，未使用高功率電器，但仍然出現了電力不穩或停電的情況，連LED燈條都無法使用，兩天的時間都未能修復。,3,1,0,,2021/1/3,0
