content,rating,type,status,tokenization,publishedDate,origin
這裡的服務相當優秀，不過要上山有點辛苦。另外，小木屋的廁所裡面總是有濃濃的煙味。,3,2,0,,2019/6/15,0
總體來說還算不錯。服務態度很好，但登山路線有點困難。另外，小木屋內的廁所都有煙味。,3,2,0,,2019/6/15,0
整體感覺還可以，店家的服務態度很好，不過上山有點困難。小木屋內的廁所都散發出煙味。希望能改善這個問題。,3,2,0,,2019/6/15,0
整體感覺還可以，服務很周到，但上山路有點難走。另外，小木屋的廁所都有煙味。,3,2,0,,2019/6/15,0
環境不錯，員工服務很親切。不過上山的路有點難走，而且小木屋的廁所都帶有煙味，有點讓人不太舒服。,3,2,0,,2019/6/15,0
這條路實在太陡了，無論是在營區外還是營區內都感覺一樣艱難！,3,2,0,,2019/1/21,0
路太陡，無論是在營區外或營區內都是一樣的情況！,3,2,0,,2019/1/21,0
山路太陡，無論是營區外或營區內都一樣困難！,3,2,0,,2019/1/21,0
進出營區的路太陡，讓人覺得營區內外沒有任何區別！,3,2,0,,2019/1/21,0
這個營區的路坡度太陡了，無論是在營區外或營區內，路況都沒有什麼不同！,3,2,0,,2019/1/21,0
這裡的服務態度非常友善。營區11點就要收營，覺得有點太早了。這個營區很適合小朋友玩樂。,3,2,0,,2018/3/27,0
營區整齊清潔，環境友善。撤營時間11點有點過早，讓人覺得匆忙。營區設施完善，非常適合小朋友玩耍。,3,2,0,,2018/3/27,0
該營區真的很友善，雖然拔營時間是早上11點，有點過早了。但營區設施非常適合幼兒和小孩玩樂。,3,2,0,,2018/3/27,0
這個營區讓人感到友善，但是拔營時間11點有點太早。這裡非常適合幼小兒童來玩。,3,2,0,,2018/3/27,0
適閤家庭出遊，但退營時間6點有點早。營區設施適合小朋友玩樂。,3,2,0,,2018/3/27,0
營區主人很友善，如果再增加一個飲水機會更加完善。,3,2,0,,2018/7/29,0
營區主人很親切。如果能有飲水機就更完美了。,3,2,0,,2018/7/29,0
老闆對客人非常友善。若有提供飲水機將更加完善。,3,2,0,,2018/7/29,0
營地主人態度親切，若能提供飲水機將更加完善。,3,2,0,,2018/7/29,0
營地主人非常友善。如果能夠提供飲水機會更完美。,3,2,0,,2018/7/29,0
我們預訂了三個帳篷，但只有一個空間可供使用。帳篷看起來又老又破舊，完全無法使用。這是我住過的狩獵營中最糟糕的一次，因為這裡的營主態度極差。我們才剛入住不久，營主就不斷催促我們離開，這讓人感到很不舒服。整體而言，這個營地讓人感到非常糟糕。,3,2,0,,2022/3/5,0
訂了三張房間，只有一間可用。房間狀況超級破舊，根本無法使用，地板還不平整。這是我住過獵人帳範圍中最糟糕的一次經驗，營主的態度更是令人無法接受。從我一抵達開始，就不停被催促退房，讓我感覺非常不舒服。整體而言，這次的住宿體驗非常糟糕。,3,2,0,,2022/3/5,0
訂了三間房，但只有一間可用。房間裝潢老舊且不平，根本無法使用。在狩獵帳經驗中很多次住宿，但首次遇到如此差勁的營主態度。早上十點就不斷被催促退房，讓人感到相當不滿。,3,2,0,,2022/3/5,0
我們預定了三張桌子，卻只有一張可供使用。這些桌子狀態超級老舊，完全不平整，根本無法使用。我曾住過許多次狩獵帳篷，但這是我第一次遇到營主態度如此惡劣的。他們早上十點就開始一直催促我們離開，讓我感到非常不舒服。整體感覺很差。,3,2,0,,2022/3/5,0
預訂了三張桌子，但只有一張可用。這些桌子非常陳舊，連坐上去都不平整，無法使用。以往經歷過多次露營，但第一次碰到營主態度如此惡劣的情況。他們從早上十點開始不斷催促我們退房，讓人感到十分不舒服。整體體驗讓人很失望。,3,2,0,,2022/3/5,0
新房間讓人感受到頂級享受，所有物品都全新，非常舒適。,3,2,0,,2021/9/22,0
這個房間是全新裝潢的，一切都很乾淨舒適，真的很舒服。,3,2,0,,2021/9/22,0
入住時房間裡所有物品都全新的，感覺很清爽。,3,2,0,,2021/9/22,0
一切備品都是全新的，入住時就感覺很舒適。,3,2,0,,2021/9/22,0
