content,rating,type,status,tokenization,publishedDate,origin
新營區的場地較小，建議包場較佳。熱水很不賴，但蓮蓬頭角度不太好。草皮很不錯，尤其包場靠近廁所位置很方便。不過我們訂得比較邊邊，沒有享受到草地的好處。場地規劃還在進行中，我們的位置還在工程中，草皮還在長，且缺乏明顯的垃圾桶，必須自行處理廢物。洗手檯位置偏遠，也沒有廚餘桶，只能找別的區域處理，而裡面卻滿是垃圾！電源供應也有點特別，需要每四小時按一次充電柱，幸好我們去的不是夏天，不然恐怕會受不了熱。我們碰巧遇到隔壁民宿開趴，整晚都聽得到歌聲，不太安寧，甚至清晨還有重機飆車聲，早晨還有狗叫雞啼聲，相當特別的體驗。老闆待人熱情且客氣，會教如何炒咖啡豆，也分享附近景點，並推薦觀賞星空的好地點。,3,1,0,,2023/03/08,0
新營區，強烈建議包場，因為場地不太大。熱水非常好，但是蓮蓬頭的角度有些微妙。我們沒有包場，位置比較靠邊，可惜沒有享受到靠近廁所草皮好的位置。設施規劃還不夠完善，草皮還在長，沒有明顯的垃圾桶，要自己搬空籃子，洗手檯和廚餘桶也都不夠。電源使用也蠻特別的，要四小時按一次充電柱，幸好不是夏天，不然會很熱。隔壁有民宿開趴，山谷裡充滿歌聲，歡唱到凌晨，甚至出現重機車飆車，早上還有狗吠雞叫，蠻獨特的經驗。老闆很熱情客氣，教我們炒咖啡豆，分享附近景點和星空。,3,1,0,,2023/03/08,0
這個新營區非常值得包場，因為場地不大。熱水設施很棒，但蓮蓬頭的角度有點微妙。我們包場的位置靠近廁所，草皮的品質非常好。不過很可惜我們沒有好好享受到草皮，因為我們訂的位置比較邊邊。整個區域的規劃還不夠成熟，顯然還在持續改善當中。我們的包場位置比較靠邊，草皮還在長，缺乏明顯的垃圾桶，需要自己到遠處搬空籃子。洗手檯的位置也很邊邊，而且沒有垃圾桶，只好使用其他區域的設施，發現裡面都是垃圾。電源的設定也很特別，每四小時才能按一次充電柱，如果是夏天應該會很煩人。我們碰巧遇到隔壁民宿在開趴，整個山谷都是歌聲，歡唱一直到凌晨，接著又出現了重機車在山谷飆車，早上還有狗吠雞叫，是一個非常特別的經驗。老闆非常熱情且客氣，會教我們炒咖啡豆，也分享了附近的景點，還有美麗的星空。絕對會推薦這個地方給其他人。,3,1,0,,2023/03/08,0
新營區是一個非常建議包場的地方，因為場地並不大。雖然熱水很棒，但蓮蓬頭的角度稍微有些微妙。靠近廁所的包場位置草皮很不錯，但可惜我們沒有機會享受到，因為我們訂的位置比較邊緣。目前規劃還不夠成熟，看得出來仍在建設中，我們的位置偏邊緣，草皮還在長，也沒有明顯的垃圾桶，需要自己去搬空籃子，洗手檯位置也有些邊緣，沒有廚餘桶，只好去其他區使用，結果裡面都是垃圾！電源的設計也很特別，需要每四小時按一次去充電柱，還好我們去的不是夏天，否則應該會很熱。我們碰巧遇到隔壁民宿開趴，整個山谷都充滿歌聲，歡唱一直持續到深夜，接著又有人開始在山谷飆車，清晨又傳來狗吠雞鳴，是一個相當特別的體驗。老闆待人熱情且客氣，他不僅會教我們如何炒咖啡豆，還會分享附近的景點，還有美麗的星空。,3,1,0,,2023/03/08,0
新營區，強烈建議包場比較好，場地不算很大。熱水裝置很棒，但蓮蓬頭的角度有點微妙。包場靠近廁所的位置草皮質感不錯，可惜我們訂的位置比較邊緣，沒有享受到。規劃還在進行中，我們的位置草皮還在長，缺乏明顯的垃圾桶，需要自己去搬空籃子，使用洗手檯也很偏邊，沒有廚餘桶，得到其他區域去使用，發現裡面都是垃圾。電源的使用也蠻特別的，需要四小時按一次充電柱，還好不是夏天，不然會很熱。碰巧隔壁民宿開趴，整個山谷都是歡唱聲，持續到深夜，接著出現重機車飆車，早上則是狗吠雞鳴，是相當特別的體驗。老闆非常熱情且客氣，會教導烘焙咖啡豆，分享附近景點以及觀賞星空。,3,1,0,,2023/03/08,0
員工可能在放假期間沒有打掃廁所。當營位已滿，廁所清潔頻率應增加，尤其是在對外開放花園收費的情況下。228連假期間直到結束前，廁所都沒有人打掃，而且打掃表仍停留在2/26...,3,1,0,,2022/03/02,0
228連假期間，負責掃廁所的員工可能也在休假。當所有營位都已被預定滿員時，廁所清潔的頻率就應該增加，尤其當還有遊客需要購買花園門票進入。直到228連假結束，廁所依然沒有人來清潔，而掃廁所的計畫表仍停留在2月26日。,3,1,0,,2022/03/02,0
連假期間掃廁所的員工可能也會休假。當露營地全部設位都已滿，廁所清潔頻率應該增加，尤其是還有收取花園門票的情況下。然而，在228連假期間直到撤營時，廁所仍無人打掃，甚至連打掃紀錄表都還停留在2/26這天。,3,1,0,,2022/03/02,0
這個連假期間，廁所打掃員工可能也享受假期去了。當營位滿員的時候，廁所清潔的頻率就應增加，尤其還有對外開放花園收費。然而，在228連假期間，直到結束開門前這間廁所都沒有人打掃，甚至打掃記錄都停留在2月26日...,3,1,0,,2022/03/02,0
在連續假期時，負責清潔廁所的員工也有可能會放假。當露營區的營位都被訂滿時，廁所清潔的頻率就需要增加，尤其如果還有對外開放花園門票的話。然而，進入228連假後，直到結束露營區撤銷期間，廁所都沒有人來清潔，連清潔表都停在2/26那一天。,3,1,0,,2022/03/02,0
我們在假日支付1500元營地費用，希望能夠享受到穩定的電力供應以及有效的危機處理能力。然而，遇到電力不穩、甚至完全斷電的情況，無法使用甚至是連LED燈條都無法運作，而且這個問題持續了兩天都未得到修復。對於這樣一個價格為1500元的營地，我們期待它擁有足夠可靠的電力系統和危機處理能力。,3,1,0,,2021/01/03,0
對於一個假日營地收取1500元的帳篷費用，我們期望他們具有可靠的電力系統和危機處理能力。我們在那裡露營了三天兩夜，並沒有使用高功率的電器，但電力卻非常不穩定(甚至無法使用連LED燈條)，而且整個兩天都沒有修復。對於一個收費高達1500元的假日營地，我們實在期待他們應有更為可靠的電力系統和危機處理能力。,3,1,0,,2021/01/03,0
對於花費1500元一晚的假日營地，我們期待有穩定且可靠的電力系統，同時也期望他們具備應對危機的能力。不過，在我們露營的三天兩夜中，即使我們沒有使用高功率電器，卻發現營地的電力非常不穩定，甚至出現長時間供應中斷的情況，連一般的LED燈條都無法使用。更糟糕的是，這個問題持續了兩天，卻並未得到修復。對於一個收費如此昂貴的營地來說，這樣的電力系統表現實在令人失望，他們應該要提供更可靠的服務才是。,3,1,0,,2021/01/03,0
