,content,status,type,label
20390,絕對化不要在掉點兒的時候在這裡露營，咱倆上次去露營的時候下大雨營主甚至於把別區的露客調過來跟我們偕擠同區，而且營區的排水很差我輩上次是禮拜五夜衝結果全部人在禮拜六就趕緊收帳逃難去了建議營主:你的營區排水很差當下雨的時候露客要退帳或是延期就阿莎力一點,-1,1,0
21262,缺點❌1.浴室/廁所沒有分開，誘致竭很濁，也丟掉營主巡視清潔，要洗澡時地板超髒…衛生紙也滿出去還有一間門口寫便桶不太通只能洗澡&小便，結實朋友小號沖水後整個滿起來🤷🏼‍♀️（這是此次最大的短！）2.A1包區五帳太擠了，沒辦法搭天幕/客廳帳，應該縮減為四帳比較恰當3.收帳比例&浴廁比例引人注目失衡（尤其又是浴廁共用的狀態）4.露友素質很差，兩點多了還在嘻笑閒聊…車子也亂停🙄️5.半夜一堆車跑山優點⭕️1.離南莊老街蠻近2.A區浴廁熱水不會忽冷忽熱，水壓也ok（但蓮蓬頭🚿都分岔了！該換了吧）3.兩點多到的時候食材還能冰到，晚來的就未必了？4.微·森林系蠻涼爽5.有提供護草墊,-1,1,0
4322,營主非常用心。營區非常的好，營主也很用心在經營，一定會再回去,1,1,2
22278,心靜的營區 隱密性夠E2,0,1,1
26954,環境還算有何不可，地形分三層，最上層只有一間衛浴，略顯不足，二層不大但有4間衛浴，與三層共用，如果人多時，廁所的垃圾希望能頻繁點清理會更好。,0,1,1
20817,風景很棒，老闆人很好客氣，但衛浴當天男生剩一個可以用（另一個反鎖），洗澡時要排隊才能洗，營區靠果園，蒼蠅多到很誇張的情況，小孩哇哇叫，旭日東昇自力去採買補蠅紙黏了大半景況才比較好⋯⋯不克服這問題，老闆人再好也沒辦法再來啊⋯⋯,-1,1,0
8081,老闆人很好、有乾淨、很美,1,1,2
25177,4帳安排的腹地太小，營地是山泉水水質不能飲用營主有一臺家用飲水機但還是廢物，環境優廁所幹淨。,0,1,1
20168,野境好看 山林清新。雖然在臺風下造  沒想到竟然爆滿  夜衝差點沒地方紮營  好險有塊小地可扎  可跟本來預定大本營有所差異 但沒關係  好玩放鬆就好,-1,1,0
18264,洗澡無湯，處理態度不佳。,-1,1,0
