content,status,type,label
去的道路是十分顛的水泥路面有臨時用水電紮營地面是綠茵，有時泥濘廁所4間，會有很多蛾浴室4間，有2間壞了，水泥牆面，不透風,-1,1,0
海拔約1300米，氣候宜人，風景明媚但因身處高山，越往上開路越小條!末梢那一段約200公尺的急陡坡，有點恐怖各位一定要打上坡檔，要不然轉速缺失略略危險唷但整體而言算是一個還不錯的營區!,0,1,1
同其他評論所說，營區前5-6分鐘路況不好但這個部分依照車種還有技術而異個人是沒有遇到問題就不贅述營區整體是沒有甚麼其他周邊可以走動要走走只能下山衛浴和整體環境部分我能理解夏季山上蚊蟲多可是我不多不少也是露了30幾次還是第一次遇到整個晚上蟑螂一直往你天幕帳篷飛的狀況真的不誇張，打了一隻還有無數隻殺都殺不完的狀況，會怕蟑螂的請注意...如果只是蚊子螞蟻多我還能理解蟑螂我真的太問號了,-1,1,0
環境不錯，乾淨，好受，但露營的客人打麻將超過晚上10：40分仍不處理。,0,1,1
老闆客氣  環境空間略顯擁擠 廁所浴室共用.中午溫暖時會有蒼蠅 可徒步走走附近民宿.可觀望到蘇格蘭大鍾那裡.景色不錯,1,1,2
還可以再更好。連假去即使一直在下雨也是大爆滿，營地設備好像不足以供應滿帳的狀況，此外原本的冰箱好像有點髒，希望可以增加冷藏（凍）式分離冰箱,0,1,1
"一個大人收100,車子一臺收100,水很冰，不大，可多看別人品評再決定是否要來。",-1,1,0
"長青谷各地的地理位置很棒,草皮很漂亮, 細流很清澈, 可惜覺得營主們並未認真整理營區, 營區設施看上去都老老舊舊的, 便所跟洗澡從不離別, 可用間數很少, 廁浴離營位也很遠,營位很多蚊蟲及蟑螂, 感覺營主們只想做夏天烤肉玩水的生意, 沒有很在意露營客需求。如果只是去烤肉玩水, 那真的還算是不錯的點。",0,1,1
如果可以解決跳電問題，就更好了！,1,1,2
營區景色優美營主人很和善很用心經營營區❤️,1,1,2
環境很好，晚上可以看到很多營火蟲，有溪水小朋友很開心。,1,1,2
老闆熱情親切，風景優美水庫迷人，鵝很可愛。土雞蛋好吃😋 …,1,1,2
風景漂亮 可以看夕陽跟夜景,1,1,2
