content,status,type,label
山景夜景都很美。老闆娘很熱情，廁所也很乾淨沒有什麼蟲子，但早上會被雞叫醒整體來說都很棒～,1,1,2
適合老小的場地。木屋前的雨遮建議可以增加側邊的防雨功能，場地就完美了,1,1,2
適合老中少一起歡樂，營區設備完善，可以烤肉夯桶子雞，還有廚房可以使用，對於愛好露營者，可以減少不少裝備， 值得前往，謝謝營主的用心,1,1,2
營地很幽靜，營主很熱情晚上看得到很多螢火蟲，營主的生態導覽也很生動有趣，值得推薦。,1,1,2
於稜線上的露營地，東面可看埔里景色，西面可看台中、南投南崗景色,1,1,2
營主很親切，服務週到，營地草皮環境超讚，山水環境幽靜超棒，下次再去一次,1,1,2
值得一來的好營地，景觀讚,1,1,2
值得回露。草地營位，球形帳（雅房），套房，滿足不同需求，且價格合理。大孩子釣魚，中孩子溝渠玩水，小孩子戲沙坑。尤其套房外有廚房客廳，超級方便。也有樹蔭，而且很多樹。,1,1,2
臺灣大哥大收訊時好時壞。中華也是。浴室很小。雖然端午節去。有下一下子雨。草地沒有所謂的泥濘。草地維護漂亮。只是小孩只可以玩戲水而已。溜滑梯不愛。小孩能玩設施太少,0,1,1
舒服且自在的地方不願過度開發值得被看見及支持,1,1,2
環境地主都打理得非常乾淨～！ 非常推薦～！,1,1,2
廁所很髒，完全沒有打掃，延用上一輪的露客環境，男女合用廁所，沒有小便斗，可想而知尿液是如何噴濺，營區無人管理之境界,-1,1,0
營主非常熱情，環境也很讚！。熱情的營主，環境廁所都很乾淨，很適合再來一次！,1,1,2
"第1次來得時候覺得一切都很乾淨舒適,營主夫婦相當親切客氣,環境舒服。而這次是第2次來像冰箱把手黏黏的,草都沒了",1,1,2
有一片超大的草皮，超適合小屁孩跑，很酥服，讚啦！,1,1,2
營主超熱情，很有家的感覺，在山谷中，也可以體驗原住民的生活,1,1,2
先講，googleMap到的小路(下交流道國加油站右轉)不能走，死巷。餘營區ok。,1,1,2
這次臨時露營找到清翠…真是很讚的露營區！我們選擇在觀景台搭帳，遠眺山景與湖泊風景幽美、寬敞又乾淨的衛浴、小孩最愛的砂坑、園區內附有便利的小商店、營主阿姨也很親切！害怕在夏天露營的我，清翠這裡是讓我會想再去的好營區！,1,1,2
營地老闆待人親切👍水廁乾淨 …,1,1,2
很棒。離市區近補給方便,1,1,2
環境乾淨，地點、交通路況佳，但浴廁待改善。因使用水點火熱水器，水壓不足熱水忽冷忽熱，若使用蓮蓬頭根本沒熱水，廁所衛生紙用完也都沒補，其他部分都還不錯,1,1,2
雖然難逃新帳魔咒而遇雨，但也欣賞到園區迷濛的落羽松美景。有很棒的腹地(九九莊園)可以溜小孩。,1,1,2
這次初露的印象超級好雖然晚上一直下雨營主還上來關心以及提醒真的是一個很棒的體驗環境真很棒也很乾淨還很漂亮還有鹽巴救援🥰🥰真的謝謝你們～～,1,1,2
溫馨少帳的營地，浴廁超超乾淨,1,1,2
非常棒的營地，每區的營位空間都非常寬敞，自然生態豐富，衛浴廁所充足，值得再次造訪。,1,1,2
工作遇到瓶頸想說跟家人一起出遊，緩解一下巨大的壓力，結果到了營地，看到營主很像耶穌，直接跪下求祂釋放我的靈魂。,1,1,2
有薑母茶可以喝，很暖心,1,1,2
騰雲農莊露營區 很推薦來！！有百萬大景，下午如果有下雨，晚上空氣乾夜景會很美。 水氣足夠也會有雲海！設施  都很乾淨 有冰箱 有飲水機手機訊號在營區不一定很穩定 我搭在特一區訊號會好一些。推薦大家來『騰雲農莊露營區』,1,1,2
12/25有去，活動很棒，營主熱情的親切。唯一的是，在平台上的棧板，有突出的鐵釘，小孩跑跳時會造成危險,1,1,2
營區有遊樂設施，小孩能盡情玩，營主會帶小孩搗麻糬和採檸檬，很多小朋友一共收100元，很超值,1,1,2
風經優美，空氣新鮮，適合爬山,1,1,2
不想跑很逺就來亞霧吧！有可放空的美景，有美味的香草烤雞，有談笑風生的營主，非常棒,1,1,2
環境清幽營主夫妻為人和善,1,1,2
景色很讚，只是夜衝時膽子要夠大夠穩。不過，看到美麗的景色也就值得了。,1,1,2
衛浴廁所很乾淨，風景美，讚,1,1,2
洗澡水只有極熱和極冷，只能選擇燙死或凍死。收太多帳空間變擁擠，也導致洗手台跟垃圾桶不夠要共用，結果大部分的人公德心不足搞得很髒亂，洗手台裡都是菜渣廚餘還有魚翅超噁心，地上還有果菜皮。冰箱只有冷藏，買了冷凍水餃結果都融成一團沒辦法煮。C區營區中間有很多樹，樹與樹的間隔很尷尬，當做車道太小，紮營營釘又會超過。加上營主過份熱情一直來關注有點壓力。,0,1,1
賞夜景的好營地~感謝熱情的營主,1,1,2
適合夜衝，環境乾淨。建議浴廁可加頂及門下方加擋風片，不然風一直灌進來，好冷喔～,1,1,2
乾淨，舒服的營地老闆人好 還送我們四個雞蛋給孩子做早餐,1,1,2
唯一缺點中午左右有非常多蒼蠅，營主有提供黏蠅紙但無法解決，除此之外其他部分都非常好。廁所浴室非常乾淨，熱水穩定，浴室上方有用紗網圍住，夜間不會有飛蛾跑進去。營區特意沒有收滿，帳篷間的間距大，可以好好休息不被隔壁帳棚干擾，冰箱空間充足，傍晚時夕陽很美，整體的體驗很好下次還會想再去。,1,1,2
環境清幽 廁所乾淨但沒放衛生紙😅雖然營區在路邊但車輛不多不會很吵營主有在5點多出現來掃廁所～另外營主姪子還現抓了活魚給我們加菜推推的營地👍,1,1,2
網路照片很美…但是：浴室.廁所.垃圾.沙坑狗大便…沒定時清理…,-1,1,0
洗澡的冷熱水很不穩定，小孩被熱水燙到哭，如果可以提供水桶，或許會更好。,1,1,2
不錯的營地~。(選填)更多建議，限300字,1,1,2
很棒的營地老闆也很好客附近採買也超極方便每年2次的環一定要來,1,1,2
地點近郊免長途跋涉，10分鐘內有便利商店營區很乾淨，熱水很熱，廁所乾淨，冰箱充足目前沒有太多擾人蟲，沒有小黑蚊，舒服本次初露感到幸運，小石區不擔心泥濘意外收到營主小禮包，暖心感謝營主用心規劃好營區,1,1,2
夜景、早晨的景色 很美沒有過多的破壞～是很難得的露營地哦！,1,1,2
小而不失恬靜溫馨的營區。營主十分熱情好客，營地雖沒有高檔豪華的硬體設備，但有著更多和自然面對面的沈思機會。露營，不就是想要暫時捨去習以為常的生活，讓自己放空野一下？這正是一個提供如此體驗的營區,1,1,2
"營區停電時,營主親切關心慰問",1,1,2
絕對讓你開到 ， 受不了～高山的好處就是 蚊蟲很少！許個願，希望營主能改善衛浴設備，連兩天洗了冷水澡⋯洗到 心 都涼了～😖,1,1,2
景色怡人，鵲聲繚繞，星空閃爍，自給自德,1,1,2
優點：離塔曼山登山口很近適合順便去走走看神木、營地排水狀況佳、20cm營釘好打、海拔夠高氣溫涼爽、可搭隧道帳缺點：1.冰箱冷藏不夠冷，大約只有10度，肉冰到第三天只能丟掉2.營位之間的分界不夠清楚，如果不是包區就會有點困擾，應該強制要求汽車停在草皮區，而不是停在帳旁邊進而壓縮其他人的位置3.遇上連假水塔儲水不夠用而暫時停水4.遇到水準較差的客人會在上廁所抽菸，造成整間廁所都是菸味，草皮上也會看到煙蒂,1,1,2
營地位於山坡，車輛進出營區坡度很大，小心車子底盤，雨棚深度較窄，帳篷可能會突出，竹林多景色容易被遮擋,0,1,1
草皮維護的很棒，風景超讚的，值得在去的露營區,1,1,2
郊遊、野餐、烤肉好地方。,1,1,2
桐花季時很美很美。老闆親切。雖然山路較陡，但是營位寬敞平坦，草坪養護得很好，且廁所及浴室乾淨。冰箱在靠近主建築的時候，若營位在山坡上則距離較遠，取東西稍微不易。生態豐富，有螢火蟲，數量不到很多，仍令人驚喜。園區內種植許多果樹作物，適合親子來此露營體驗。造訪時是旺季的週末，不過夜間仍很幽靜，不太會被干擾，可以睡得很好。,1,1,2
草坪區的紅磚地墊很實用,1,1,2
與世隔絕的感覺，來的這裡真的很不簡單、路途遙遠，不過也更珍惜這難得的悠閒～下雨後草地因為多泥土都會積水，必須先做好準備、尤其山上下午變天變很快～雨說來就來！,1,1,2
營主很用心。營主會四處巡視關心 還有提供步道導覽 夜景很美,1,1,2
很棒的一個露營區老闆很建談，風趣,1,1,2
下雨又遇到風大，真的不適合露營。,1,1,2
營區周邊就可賞螢。建議可開放C區訂位,1,1,2
營主人熱心，和善，環境非常適合團露,1,1,2
營區位置寬敞有足夠的位置搭帳篷。旁邊還有小河可以抓蝦非常有趣～,1,1,2
廁所垃圾桶滿了許久...沒人清理.設施不錯。碎石區螞蟻有點多.廁所有待加強,1,1,2
中秋連假9/29~10/1三天兩夜露營，白天稍熱傍晚微涼，營地風景是山與山的交錯處，遠方有小小的城鎮形成小夜景，營地位於面風處所以微風徐徐非常舒服。九月底來，沒有果園施肥、甚少蒼蠅，傍晚有蚊子天黑就沒有，沒有小黑蚊。草皮養得很長很軟很漂亮，每個營位前的大石板可以坐著吹風看風景看星星。衛浴使用獨立電熱水器，不會互相搶熱水，小缺點是廁所馬桶位置有點不順，位置較小。除此之外真的是個小而美的讚讚露營區。,1,1,2
環境：風景很美，棧板有點小，只適合300帳浴廁：不乾淨，3月超多蟲和飛蛾，每間浴室廁所都有一點垃圾，磁磚地面，浴室廁所分開，水壓弱且不穩，水溫超不穩定，排水也不太好，浴室內的椅子、水桶都有一點霉斑備註：1.水槽旁邊都沒有垃圾桶，有點不方便2.週日要離開時、營主洗廁所的水會直接流到C區帳篷⋯⋯⋯⋯⋯⋯⋯3.很多營位都在道路旁邊,-1,1,0
2訪。營地便宜。人多時還有免費體驗活動。,1,1,2
