content,status,type,label
第一次車宿體驗還不錯建議冬天平日去很好都沒人工作人員親切也幫忙我們搭天幕環境舒適廁所乾淨需要什麼設備也可以租借車宿也是一般營位價格喔可惜洗碗槽與廁所有點遠有機會再去,1,2,2
適合情侶 朋友 親子來有提供下午茶 晚餐 隔天早餐晚上還有烤棉花糖適合大朋友小朋友環境整體機能都很棒餐點也都很好吃覺得櫻花季的時候來應該會更漂亮當天附近帳篷的人也都很友善是很棒的懶人露營經驗,1,2,2
阿軒.藍波  超級好的服務三天兩夜 跟姐妹們在這邊超開勳的下次 一定還會再來又是個充滿回憶的地方 …,1,2,2
在漂流的過程中出了意外，會比預想的短了整整9點，集合時間大約在10:30左右就結束了。因為激流的關係，我被水沖走了，而一位國中左右的未成年助理教練試圖拉住我和泳圈，最後結果是我們兩個一起被沖走了約50公尺。在這個過程中，我幾乎以為我就要上社會版面了，因為沒有其他成年教練立即來救援。我的膝蓋和手被石頭撞到有些瘀青，幸好當時穿了長泳褲，要不然可能會更糟糕。原本以為會有教練來幫忙我渡溪，畢竟我剛剛被沖走，還沒有平靜下來，非常害怕再次被沖走。但結果是沒有其他人來幫忙，只能依靠自己勉強地渡過急流。渡溪的過程中我拼命抓住生命的最後一根稻草，然後獨自走回隊伍，感受不到其他教練的關心，覺得有點冷漠。直到回到集合地點，終於有一位教練問我需不需要冰塊來冰敷傷處。雖然我的傷勢並不是很嚴重，但當時應該有人來檢查一下或安慰一下我，這樣感覺會更好些。幸好最後只是我被沖走，如果是孩子被沖走的話，我可能會非常激動！,0,2,1
很放鬆又乾淨舒服的環境 ,1,2,2
戲水設施存在安全隱患，小孩差點遇到危險，請勿使用此設施。,-1,2,0
"遊玩設施只是合作關係，直接向遊玩設施商家預定即可，商家搜尋：奧丁丁。首先，沙灘車是值得推薦的，但由於天氣原因沒能體驗飄飄河，有些可惜。沙灘車非常有趣，教練團隊都很出色，溝通有禮、專業且高效率，遊玩時可以完全放心，有問題教練們也都會盡心協助。接著要提及的是一些不滿意的地方，我們入住時發現營區櫃台的工作人員和後來出現的主管，好像就是老闆娘？雖然不確定，但他們的態度相當差，說話方式真的有些""誇張""，說什麼來這裡就是來玩的，其實我們住在這裡主要是為了方便隔天去體驗沙灘車和飄飄河，露營車裡僅僅是用來住宿，廁所和浴室都在外面，下大雨的時候出去洗澡再走回來整個人又髒了一半，非常麻煩。廁所的環境也相當糟糕，尿騷味很重，且沒有提供清潔用品，需要如廁的人只能自行處理。另外，我們請求櫃台人員將發票掛起來，對方還要等主管（老闆娘？）的許可才做，打擾了我們出遊的心情，讓人感到很不開心。下次我們不會再入住這裡，只會單獨前往奧丁丁預約遊玩設施。",-1,2,0
五星有泡麵吃 風景讚 …,1,2,2
環靜清幽，房間有特色，服務人員態度佳，很像回到家的體驗。,1,2,2
環境乾淨、工作人員親切友善！DIY手作很特別！晚上還可以烤棉花糖！兩天一夜的放鬆之旅！,1,2,2
