content,rating,type,status,sequence_num,tokenization,publishedDate,origin
四月前，友人安排好的露營行程，前天上午，十九個家庭各自出發，來自基隆的北部人，來自台南的南部人，約十一點半，所有朋友全數集合，人數共九十三位，含小孩。中餐後我們談話、吃喝、歡笑、叫鬧，一路聊到現在！我相信，依目前現場的情況來看，接下來的後兩天，必然會是太開心的時光！我如此想著。,3,1,0,204,,2021/05/06,0
沐浴水溫難以控制，可能與飲水機效能不佳或老舊有關。,2,1,-1,6758,,2023/5/8,0
三日兩夜，沐浴總是溫度極低的熱水，小孩瑟瑟發抖。老闆不知所措，在三重惡作劇，誰知不直接開車到預約地點，見面怒目圓睜對客人「你是誰」，嫌生意太好，服務根本0，來收錢也是一副得了憂鬱症的模樣，改名後留下惡劣印象。尖石好一點。,1,1,-1,597,,2022/5/6,0
黑蚊加上無數蚊蟲，伴隨大雨，營地成水鄉濱渡，應是碎石鋪設不良，致使爛泥溼滑，洗澡及如廁空間狹小，五個營位僅一處可洗澡如廁，電源供應又需拉線過長，危險性高。,3,1,0,6776,,2023/05/08,0
營地陰暗，我們正午到營地時，廁所就髒得不得了，直到晚上10點，情況也未見好轉！垃圾桶爆開，衛生紙散落一地，馬桶更是髒得不得了，幾乎每一間都讓人退步三舍。,1,1,-1,46,,2023/5/6,0
營地清潔維護得不錯，不過工作人員的服務態度確實有待改進。約莫晚上十點到達，發現冰箱空間一位難求，向他反映，卻被告知無法分區，還反過來建議我們早點來，以免撞期，各區都沒有垃圾桶，好像我們自己動手整理，他卻說人手不足，我問他怎麼辦，他就這樣回我。,1,1,-1,624,,2022/5/6,0
遮雨棚雙人套房擠爆，業者還誇稱是包棟，但實際上與鄰房距離超近，半夜也不管制，鄰房客人玩狼人殺直到凌晨兩點，隔天垃圾也無人清理。若非沒給星星，我真的一顆星都不想給。,1,1,-1,4704,,2021/5/7,0
優點：D區地廣有樹蔭，無須遮陽傘亦不受陽光直射，極為舒適。缺點：環境清潔維護尚待加強，水槽髒汙嚴重，廁所內蜘蛛網處處，顯見未久未清潔，營位及廁所洗手台有巨大蟑螂出沒，環境衛生有待改善。,2,1,-1,1,,2024/5/6,0
精緻的營地，可惜車停進去後，空間顯得有些擁擠，遊戲區設計得很好，孩子玩得不亦樂乎，直到不願離去，惟一的缺點是，蚊子實在太多了，整個家庭都被叮，光是小孩就被咬兩百多包，叮得他們皮痛，不得不提早拉拔回家，否則是個方便舒適的營地。,3,1,0,1778,,2020/05/07,0
單純的淨土，清幽之地。,3,1,0,6625,,2021/05/08,0
管理員若未獲付費，似也未盡責，如洗澡無熱水，應及時處理；寒冷天氣僅提供冷水，實為不妥。,1,1,-1,5236,,2021/5/7,0
租屋處與廣告照片落差大，且環境不佳，跳蚤叮人，皮膚癢痛，租屋業者在通知後，竟以為我們不要去，而由工讀生來打掃，處理方式實有待改善，但亦無可奈何，可能是自己的疏忽造成。,2,1,-1,6773,,2023/5/8,0
營地觀景台前，雜沓的竹叢與草地叢生，遮蔽了所望，鄰營的喧嘩吵鬧，一晚未歇，清晨電鋸聲起，狂犬病犬群亂竄，深山中仍人聲鼎沸，恐怖的營地。,1,1,-1,3984,,2023/5/7,0
員工對老闆態度不佳，浴室沒熱水，這問題怎麼好好談。,1,1,-1,593,,2022/5/6,0
