content,rating,type,status,sequence_num,tokenization,publishedDate,origin
"住帳篷：9/17-9/18 海景第一排 狩獵區B3優點：1.浴室及廁所很乾淨2.靠海的關係沒什麼小黑蚊缺點：1.帳篷內部嚴重發霉，上面滿滿都是發霉，一度以為我住到另類星空帳，帳篷四面及拉鍊夾縫也是滿滿的發霉，看了很多人反應帳篷嚴重發霉的問題，但店家好像沒有要解決的意思（？2.官網上寫著「狩獵B區 海景前排小包區」，但實際入住後發現帳篷前面直接被雜草樹木擋住，想看海必須走到帳篷旁的空地才看得到，視野極差，號稱海景前排，突然覺得有被騙的感覺。
住帳篷的優缺點：
優點：
1. 浴室及廁所很乾淨。
2. 由於靠海，沒有小黑蚊。
缺點：
1. 帳篷內部嚴重發霉，滿滿都是發霉，甚至有被騙的感覺。
2. 帳篷前方被雜草樹木擋住，想看海必須走到帳篷旁的空地，視野極差。
3. 店家對於帳篷發霉的問題似乎沒有解決的意思。",2,2,-1,5806,,2023/5/8,0
"住帳篷：9/17-9/18 海景第一排 狩獵區B3 好處：1.浴室及廁所很乾淨 2.靠海關係蚊子不多 缺點：1.帳篷內部嚴重發霉，天花板滿是黴，一度以為住在星空帳，帳篷四周及拉鍊縫隙也是黴一片，許多人反應帳篷嚴重發霉的問題，店家卻似乎無意解決(?)。 2. 官網上寫「狩獵B區 海景前排小木屋」，實際入住發現帳篷前被草樹擋住，想看海得走到帳篷旁空地，視野極差，標榜海景前排有被騙的感覺。
翻譯：
住帳篷：9/17-9/18 海景第一排 狩獵區B3 好處：1.浴室及廁所很乾淨 2.靠海關係蚊子不多 缺點：1.帳篷內部嚴重發霉，天花板滿是黴，一度以為住在星空帳，帳篷四周及拉鍊縫隙也是黴一片，許多人反應帳篷嚴重發霉的問題，店家卻似乎無意解決(?)。 2. 官網上寫「狩獵B區 海景前排小木屋」，實際入住發現帳篷前被草樹擋住，想看海得走到帳篷旁空地，視野極差，標榜海景前排有被騙的感覺。",2,2,-1,5806,,2023/5/8,0
"住帳篷：9/17-9/18 海景第一排 狩獵區B3優點：1.浴室及廁所很乾淨2.靠海的關係蚊子不多缺點：1.帳篷內部嚴重發霉，天花板布滿黴菌，一度以為住進星空帳，帳篷四面及拉鍊縫隙也長滿黴菌，許多人反映有發霉問題，但業者似乎無意處理(?)2.網站上宣稱「狩獵B區 海景前排小包區」，實際入住發現帳篷前被草樹擋住，想看海得走到帳篷旁空地，視野極差，質疑被騙 %
。",2,2,-1,5806,,2023/5/8,0
"住帳篷：9/17-9/18 海景首排 獵區B3優點：1。浴室及廁所很乾淨2。靠海所以蚊子不多缺點：1。帳篷內部嚴重發霉，天花板到處都是，還以為住在星空帳篷，帳篷四周及拉鍊縫也長滿發霉，許多人反映帳篷發霉的問題，業者卻似乎不想處理(?)2。網站上說「獵區B區 海景首排小包區」，但實際入住發現帳篷前被草木擋住，想看海得走到帳篷旁空地才看得到，視野超差，覺得被騙了海景首排的稱號
。",2,2,-1,5806,,2023/5/8,0
"住帳篷：9/17-9/18 海景第一排 狩獵區B3優點：1.浴室及廁所很乾淨2.靠海的關係沒什麼小黑蚊缺點：1.帳篷內部嚴重發霉，上面滿滿都是發霉，一度以為我住到另類星空帳，帳篷四面及拉鍊夾縫也是滿滿的發霉，看了很多人反應帳篷嚴重發霉的問題，但店家好像沒有要解決的意思（？2.官網上寫著「狩獵B區 海景前排小包區」，但實際入住後發現帳篷前面直接被雜草樹木擋住，想看海必須走到帳篷旁的空地才看得到，視野極差，號稱海景前排，突然覺得有被騙的感覺。
住帳篷：9/17-9/18 海景第一排 狩獵區B3優點：1.浴室及廁所很乾淨2.靠海的關係沒什麼小黑蚊缺點：1.帳篷內部嚴重發霉，上面滿滿都是發霉，一度以為我住到另類星空帳，帳篷四面及拉鍊夾縫也是滿滿的發霉，看了很多人反應帳篷嚴重發霉的問題，但店家好像沒有要解決的意思（？2.官網上寫著「狩獵B區 海景前排小包區」，但實際入住後發現帳篷前面直接被雜草樹木擋住，想看海必須走到帳篷旁的空地才看得到，視野極差，號稱海景前排，突然覺得有被騙的感覺。",2,2,-1,5806,,2023/5/8,0
"住帳篷：9/17-9/18 海景第一排 狩獵區B3 好處：1.浴室及廁所很乾淨 2.靠海關係蚊子不多 缺點：1.帳篷內部嚴重發霉，天花板滿是黴，還以為住在星空帳，帳篷四周及拉鍊縫隙也滿是黴，許多人反應帳篷有發霉問題，店家卻似乎不想處理(?)。 2. 網站上寫「狩獵B區 海景前排小包區」，實際入住卻發現帳篷前被草樹擋住，想看海得走到帳篷旁空地才看得到，視野超差，海景前排的稱號讓人有被騙的感覺。
翻譯：
住帳篷：9/17-9/18 海景第一排 狩獵區B3 好處：1.浴室及廁所很乾淨 2.靠海關係蚊子不多 缺點：1.帳篷內部嚴重發霉，天花板滿是黴，還以為住在星空帳，帳篷四周及拉鍊縫隙也滿是黴，許多人反應帳篷有發霉問題，店家卻似乎不想處理(?)。 2. 網站上寫「狩獵B區 海景前排小包區」，實際入住卻發現帳篷前被草樹擋住，想看海得走到帳篷旁空地才看得到，視野超差，海景前排的稱號讓人有被騙的感覺。",2,2,-1,5806,,2023/5/8,0
"住帳篷：9/17-9/18 海景第一排 狩獵區B3 好處：1.浴室及廁所很乾淨 2.靠海關係蚊子不多 缺點：1.帳篷內部嚴重發霉，天花板布滿黴菌，一度以為住到另類星空帳，帳篷四面及拉鍊縫隙也布滿黴菌，許多人反應帳篷嚴重發霉問題，店家卻似乎無意處理(?)2. 官網上宣稱「狩獵B區 海景前排小木屋」，實際入住後發現帳篷前方被雜草樹木擋住，想看海得走到帳篷旁空地才看得到，視野極差，感覺被騙 _
。",2,2,-1,5806,,2023/5/8,0
"住帳篷：9/17-9/18 海景第一排 狩獵區B3優點：1.浴室及廁所很乾淨2.靠海的關係蚊子不多缺點：1.帳篷內部嚴重發霉，天花板到處都是黴，還以為住在星空帳篷，帳篷四面及拉鍊縫隙也長滿黴，許多人反映有發霉問題，但業者似乎不想處理(?)2.網站上寫「狩獵B區 海景前排小包區」，實際入住卻發現帳篷前被草樹擋住，想看海得走到帳篷旁空地，視野超差，覺得被騙到海景前排的感覺 ~~
住帳篷：9/17-9/18 海景第一排 狩獵區B3 好處：1.浴室及廁所很乾淨2.靠海的關係蚊子不多缺點：1.帳篷內部嚴重發霉，天花板到處都是黴，還以為住在星空帳篷，帳篷四面及拉鍊縫隙也長滿黴，許多人反映有發霉問題，但業者似乎不想處理(?)2.網站上寫「狩獵B區 海景前排小包區」，實際入住卻發現帳篷前被草樹擋住，想看海得走到帳篷旁空地，視野超差，覺得被騙到海景前排的感覺。",2,2,-1,5806,,2023/5/8,0
住帳篷：9/17-9/18 海景第一排 獵區B3優點：1。浴室及廁所很乾淨2。靠海所以蚊子不多缺點：1。帳篷內部嚴重發霉，天花板布滿黴菌，一度以為住在星空帳篷，帳篷四周及拉鍊縫隙也布滿黴菌，許多人反應帳篷嚴重發霉的問題，店家卻似乎無意解決(?)2。網站上寫「獵區B區 海景第一排小木屋」，實際入住發現帳篷前方被草木擋住，想看海得走到帳篷旁空地，視野極差，宣稱海景第一排有被騙的感覺。,2,2,-1,5806,,2023/5/8,0
"住帳篷：9/17-9/18 海景首排 狩獵區B3優點：1.浴室及廁所很乾淨2.靠海的關係蚊子不多缺點：1.帳篷內部嚴重發霉，天花板布滿黴菌，一度以為住在星空帳篷，帳篷四面及拉鍊縫隙也長滿黴菌，許多人反映帳篷有嚴重發霉的問題，但業者似乎無意解決(?)2.網站上宣稱「狩獵B區 海景首排小木屋」，實際入住發現帳篷前被草木擋住，想看海得走到帳篷旁空地，視野極差，感覺被騙了
。",2,2,-1,5806,,2023/5/8,0
住帳篷：9/17-9/18 海景第一排 狩獵區B3優點：1。浴室及廁所很乾淨2。靠海所以蚊子不多缺點：1。帳篷內部嚴重發霉，天花板到處都是，還以為住在星空帳篷，帳篷四周及拉鍊縫隙也是發霉一片，許多人反應帳篷發霉的問題，業者卻似乎無意處理(?)2。官網上說「狩獵B區 海景前排小木屋」，但實際入住卻發現帳篷前方被草木擋住，想看海得走到帳篷旁空地才看得到，視野超差，號稱海景前排有被騙的感覺。,2,2,-1,5806,,2023/5/8,0
"住帳篷：9/17-9/18 海景第一排 狩獵區B3優點：1.浴室及廁所很乾淨2.靠海的關係沒什麼小黑蚊缺點：1.帳篷內部嚴重發霉，天花板到處都是黴，還以為自己住在星空帳篷，帳篷四面及拉鍊縫隙也長滿黴，許多人反應帳篷發霉的問題，店家卻好像不想處理2.網站上說「狩獵B區 海景前排小木屋」，實際入住卻發現帳篷前方被草樹擋住，想看海得走到帳篷旁空地，視野超差，覺得被騙了
。",2,2,-1,5806,,2023/5/8,0
住帳篷：9/17-9/18 海景第一排 獵區B3優點：1.浴室及廁所很乾淨2.靠海的關係蚊子不多缺點：1.帳篷內部嚴重發霉，天花板布滿黴菌，一度以為住到星空帳，帳篷四周及拉鍊縫隙也布滿黴菌，許多人反映帳篷有嚴重發霉問題，業者卻似無意處理(?)2.網站上宣稱「獵B區 海景前方小包區」，實際入住發現帳篷前被草木擋住，想看海得走到帳篷旁空地，視野極差，名為海景前排有被騙的感覺。,2,2,-1,5806,,2023/5/8,0
"住帳篷：9/17-9/18 海景首排 獵區B3優點：1。浴室及廁所很乾淨2。靠海所以蚊子不多缺點：1。帳篷內部嚴重發霉，天花板滿是黴，還以為住在星空帳篷，帳篷四周及拉鍊縫隙也都是黴，許多人反應帳篷有發霉問題，但業者似乎無意處理(?)2。官網上說「獵區B區 海景首排小包區」，但實際入住發現帳篷前被草樹擋到，想看海得走到帳篷旁空地，視野超差，覺得被騙到海景首排 =
。",2,2,-1,5806,,2023/5/8,0
對於您的不滿，我深表歉意，我們會檢討員工的服務態度，並採取適當的行動。我們重視您的意見，也感謝您在離宿時，抽空留下寶貴的回饋。我們會將您的建議轉達給相關部門，以改善我們的服務品質。再次為我們的員工未能提供妥善的服務，向您致歉，並感謝您選擇我們的住宿地點。如有其他需求或疑慮，請不吝與我們聯繫，謝謝。,1,2,-1,4344,,2023/5/8,0
對於客戶不滿意的體驗，深表歉意，我們會再加強員工訓練，提升服務品質，關於您未繳的電話費，我們會幫忙處理，請您提供帳單號碼，我們將協助您完成繳費，對於退房部分，我們會再確認並儘速處理，感謝您的寶貴意見，我們會虛心接受並做為改善之參考。,1,2,-1,4344,,2023/5/8,0
對不起，發生這種事，我們真的很抱歉，會去查清楚，看看怎麼回事，對客人表達歉意，我們絕對不該這樣對待客人，會好好處理這件事，並確保員工受過適當訓練，以提供良好的服務。關於退房的部分，我們會再確認一次，並儘快處理，感謝您的寶貴意見，我們會虛心接受並作為改善的動力。,1,2,-1,4344,,2023/5/8,0
對不起，發生這種事，我們真的很抱歉，會去查清楚，看看怎麼回事，對客人表達歉意，我們絕對不該這樣對待客人，我們會好好檢討員工的服務態度，並採取適當的行動，我們很感謝您對我們的飯店提出這些意見，我們會認真看待，並做出改善。關於退房的部分，我們會再確認一下，然後再通知您如何進行下一步。再次對給您造成的不便，表達最深的歉意。,1,2,-1,4344,,2023/5/8,0
對於客戶不滿意的經驗，你感到非常遺憾，會立即向相關部門反映，以尋求改善。你了解員工可能也有壓力和挑戰，但絕不容許他們以這種方式對待客人，你會確保管理層知道這件事，並會追蹤此事，以確保類似情況不再發生。你也會向客戶表達感謝，感謝他們對改善服務品質所提的寶貴意見。,1,2,-1,4344,,2023/5/8,0
對於客戶不滿意的體驗，深表歉意，將會進一步調查並採取適當行動，確保類似情況不再發生。感謝客戶寶貴的意見，將會嚴肅看待並作為改善服務的參考。如需協助退房或有其他需求，請隨時與我們聯繫，我們將竭誠為您服務。,1,2,-1,4344,,2023/5/8,0
對於客戶不滿意的體驗，深表歉意，我們會檢討員工的服務態度，並採取適當的行動。我們重視每一位客戶的意見，會將您的回饋轉達給相關部門，以改善我們的服務品質。關於退房的部分，我們會再確認並儘速處理，感謝您的寶貴意見，也感謝您對本飯店的支持，如有其他需協助之處，歡迎隨時與我們聯繫。,1,2,-1,4344,,2023/5/8,0
對於客人的不滿，我們深表歉意，會再加強員工教育，改善服務態度。關於您未繳的電話費，我們會先行扣除，再進行退房手續。希望您能給我們機會，提供更滿意的服務。如有其他疑慮或建議，歡迎隨時與我們聯繫。謝謝您的光臨，希望您能給我們機會，改善我們的服務。,1,2,-1,4344,,2023/5/8,0
對於客戶不滿意的體驗，我深表歉意，我們會檢討員工的服務態度，並採取適當的行動。我們重視每一位客戶的意見，感謝您在離宿時，抽空留下寶貴的回饋，若有任何其他需求或疑慮，請不吝與我們聯繫，我們將竭誠為您服務。謝謝您選擇我們的住宿，我們會持續努力，提供更優質的服務。,1,2,-1,4344,,2023/5/8,0
