content,rating,type,status,sequence_num,tokenization,text,publishedDate,origin
真是令人沮喪的回憶！連續三天都處於泥濘之中，從初三到初五，每次前往廁所都如同穿越泥濘迷宮，完全缺乏路燈指引，更加增添了痛苦。令人更感到沮喪的是，排水系統不彰，即使當天雨量不大，也能看到飄渺的河流。此外，營區還頻頻跳電，熱水供應也無法達到預期溫度，種種問題使得這個營地難被遺忘。,1,1,-1,108,,令人沮喪回憶連續三天處於泥濘之中初三初五每次前往廁所穿越泥濘迷宮缺乏路燈指引增添痛苦令人感到沮喪排水系統不彰當天雨量飄渺河流營區頻頻跳電熱水供應預期溫度種種營地難遺忘,2022/5/6,0
對裝備不足的露友而言，強烈不推薦此營地，因朋友租借的充氣床於夜間持續漏氣，不得已致電營主，惟營主的態度與口吻極為差勁，且未能有效解決問題。整個過程中，營主的反覆且惡劣態度令人相當失望，最後不得不以忍受尖刺石頭的地面度過一晚。初遇如此糟糕的露營經驗，故向同好們反饋此訊息。,1,1,-1,489,,裝備露友推薦營地朋友租借充氣床夜間持續漏氣致電營主惟營主態度口吻極為差勁未能解決問題過程中營主反覆惡劣態度令人失望忍受尖刺石頭地面度過晚初遇糟糕經驗故向同好們反饋訊息,2023/5/6,0
日落後蚊蟲叢生，營地下方遊蕩3至4隻吠叫犬，鄰近住宅孩童自傍晚至深夜嬉戲喧嘩，令人不堪其擾。廁所設備老舊，洗澡間門無法上鎖，沖水功能亦出問題，僅景色可取，故無法推薦。,2,1,-1,3570,,日落後蚊蟲叢生營地下方遊蕩隻吠叫犬鄰近住宅孩童傍晚深夜嬉戲喧嘩令人不堪其擾廁所設備老舊洗澡間門上鎖沖水功能景色可取推薦,2023/11/7,0
假日放鬆好去處，觀賞夕陽好營地，令人身心舒暢，但營地設備稍嫌不足，期待未來改善。,1,1,-1,813,,假日放鬆好去處觀賞夕陽營地令人身心舒暢營地設備稍嫌期待未來改善,2017/5/2,0
抵達現場後，原先預訂的前排夜景區位置已被分配至中間草皮區，與事先告知的不同。向老闆提出疑問，他卻表示保留前排給夜衝的後到者。感受到被欺騙與失望，令人難以接受。,1,1,-1,6773,,抵達現場原先預訂前排夜景區位置分配草皮區事先告知老闆提出疑問保留前排給夜衝感受欺騙失望令人難以接受,2024/1/9,0
明明就張貼公告禁止在營區內播放卡拉OK，卻放任某個營地區域晚上傳出超離譜的走音噪音。如此不公平的待遇，令人不禁懷疑其他遵守規則的露營人士，究竟在受什麼樣的待遇？,1,1,-1,1264,,明明張貼公告禁止營區播放卡拉OK放任營地區域晚上傳出超離譜走音噪音公平待遇令人不禁懷疑遵守規則人士受待遇,2023/11/7,0
於最後一天收拾裝備時，營主雇用的員工在營區內一同整理，然而露營的賓客尚未完全離場。員工不僅擅自丟棄我們的洗碗精和菜瓜布，甚至拔起延長線，放置於營主朋友附近，起初否認動作，直到賓客尋找個人物品，員工才自垃圾桶中取回洗碗精並歸還，延長線仍被忽略。此情形不僅增加賓客的忙碌程度，更令人感到不舒服。此外，玩水區域鄰近廁所附近，經常瀰漫濃厚煙味，令人不舒服。營主友人帶著寵物前往露營，卻未妥善清理寵物糞便，且缺乏品德。此次遇到了營主朋友的難聽歌聲和吵雜笑聲，直到深夜12點仍持續，令人非常困擾。,1,1,-1,1290,,收拾裝備時營主雇用員工營區一同整理賓客尚未離場員工擅自丟棄洗碗精菜瓜布拔起延長線放置於營主朋友否認動作賓客尋找物品員工垃圾桶中取回洗碗精並歸還延長線忽略情形增加賓客忙碌程度令人感到舒服玩水區域鄰近廁所瀰漫濃厚煙味令人舒服營主友人帶著寵物前往未妥善清理寵物糞便缺乏品德營主朋友難聽歌聲吵雜笑聲深夜12點仍持續令人困擾,2023/6/7,0
越來越落寞的營地，超過每帳限制人數後的人頭費及停車費確實令人感到困擾，然而，浴廁設施尚可，由於有水池的存在，小黑蚊數量增加，其他方面則無太多評價。,2,1,-1,4349,,越來越落寞營地超過每帳人數人頭費停車費確實令人感到困擾浴廁設施尚可水池小黑蚊數量增加則無太多評價,2022/1/5,0
營主不斷緊盯著，限制眾多，且口氣不佳，讓人無法放鬆，因此不推薦此營地。,1,1,-1,5224,,營主緊盯著眾多口氣不佳放鬆推薦營地,2024/3/8,0
營區排水系統功能不佳，導致泥濘積水淹沒內帳，不得不提前收帳。原來露營應攜帶鏟子，以免受到類似困擾。,1,1,-1,501,,營區排水系統功能不佳導致泥濘積水淹沒內帳提前收帳應攜帶鏟子類似困擾,2023/5/6,0
在同區露營與營主的朋友同甘共苦。雖然營主十分和善，員工的行為令人失望。在最後一天忙碌收東西時，員工將個人用品誤以為垃圾，導致大家更疲於奔命。幸好及時尋獲遺失物品，否則將永無止盡。如此經驗令人質疑，若未及時發現，不知道會被誤收的物品會造成多大損失。,1,1,-1,1441,,同區營主朋友同甘共苦營主和善員工行為令人失望忙碌收東西時員工個人用品誤以為垃圾導致疲於奔命幸好尋獲遺失物品將永無止盡經驗令人質疑未及時發現誤收物品多大損失,2023/5/15,0
"洗澡熱水多間皆無供應，廁所髒亂不堪，為所見最糟營地，無適齡遊樂設備，收1,200元，價值低，一生不重遊，真地雷區",1,1,-1,205,,洗澡熱水多間皆供應廁所髒亂不堪為所見最糟營地適齡遊樂設備收200元價值低一生重遊真地雷區,2020/5/6,0
風景雖可觀，卻未如其他評論者盛讚；Wi-Fi 流暢，衛浴尚可，惟熱水供需不穩。擁擠程度為露營者夢魘，停車位不足，帳篷林立，建議親自評估。勿信誇大讚譽。,2,1,-1,6859,,風景可觀未評論者盛讚WiFi流暢衛浴尚可惟熱水供需穩擁擠程度為夢魘停車位帳篷林立建議評估勿信誇大讚譽,2023/5/9,0
