content,rating,type,status,sequence_num,tokenization,text,publishedDate,origin
有小沙坑和小水池，提供兒童不少娛樂，頗受好評。,3,1,0,5540,,沙坑水池提供兒童娛樂頗受好評,2018/05/08,0
美景環繞，百萬夜景震撼人心，惟有些不便難以抵消。衛浴設施不足，人滿為患時等候時間拉長，熱水供應不穩定，甚至燙傷家人。懇求營主重視此問題，提升用户體驗。,3,1,0,6967,,美景環繞百萬夜景震撼人心惟不便難以抵消衛浴設施人滿為患時等候時間拉長熱水供應穩定燙傷家人懇求營主重視提升用户體驗,2020/05/09,0
各區域分布平均，提供的出租帳篷未包含鋁箔墊。,3,1,0,6148,,區域分布平均提供出租帳篷未包含鋁箔墊,2018/05/08,0
設備略顯不足，但風景優美，收費稍高，但可能值得。,3,1,0,5845,,設備略顯風景優美收費稍高值得,2017/05/08,0
洗手台及廁所數量不足。C、D、E區的衛浴設施明顯不足，僅提供一個衛浴空間，導致露友需共用，造成不便。熱水供應也不穩定，即使將水調至最高溫度，也僅提供溫熱水，非熱水。營區經常發生跳電狀況，可能與電力申請量不足有關，建議在公約中加註禁止使用高耗電產品。D 區增設三處水漕，其中二個位於後側，一個位於廁所前方，導致前區露友優先使用，造成後區露友不便。甚至需使用自備茶水清洗雙手，使生活更加不便。,3,1,0,3922,,洗手台廁所數量CDE區的衛浴設施提供衛浴空間導致露友需共用不便熱水供應穩定將水調溫度也僅提供溫熱水非熱水營區發生跳電狀況電力申請量建議公約中加註禁止高耗電產品D區增設三處水漕二個位於後側位於廁所前方導致前區露友優先區露友不便需自備茶水清洗雙手生活不便,2022/01/03,0
此次一群人，包括大人、小孩約20位，透過網路找到此處，整體而言還算不錯，環境優美、廁所維持得還算乾淨、設備齊全且方便使用、營主也非常熱情。然而，因給3顆星原因是，營主的友人造訪且行為令人匪夷所思，一開始和煦，但後勁越強，不斷催促前往飲酒作樂，甚至糾纏特定成員，雖多次婉言拒絕，仍感到困擾。尤其當晚時間已晚，孩童正睡眠，深感私人空間遭侵犯，本來想放鬆度假，卻需應付社交應酬，不知所措。雖然地方品質尚可，惟此經歷令二訪意願大打折扣。,3,1,0,5468,,一群包括大人小孩約20位透過網路找到整體而言算不錯環境優美廁所還算乾淨設備齊全方便使用營主熱情因給顆星原因營主友人造訪行為令人匪夷所思和煦後勁越強催促前往飲酒作樂糾纏特定成員婉言拒絕感到困擾當晚時間晚孩童正睡眠深感私人空間遭侵犯本來想放鬆度假需應付社交應酬不知所措地方品質尚可惟此經歷令二訪意願大打折扣,2022/05/08,0
帳篷下方設置遮陽雨棚，地面為堅硬的水泥，地上留有四處金屬孔，鄰近溪流可供戲水樂趣。然而，營地面積有限且未規劃客廳帳區域，導致空間感稍嫌不足。,3,1,0,4754,,帳篷下方設置遮陽雨棚地面為堅硬水泥地上留有四處金屬孔鄰近溪流供戲水樂趣營地面積有限未規劃客廳帳區域導致空間感稍嫌,2019/05/07,0
位於北埔市集附近的小型營區，交通便利且路標明確，不過需注意小黑蚊的困擾，建議攜帶防蚊措施。,3,1,0,1581,,位於北埔市集小型營區交通便利路標需注意小黑蚊困擾建議攜帶防蚊措施,2019/05/07,0
營主人員服務周到。廁所、浴室雖乾淨，但數量有限，易造成排隊等待，建議增加設施以應付需求。另建議改善停車場及出入道路，以便於夜衝或活動進行。,3,1,0,5152,,營主人員服務周到廁所浴室乾淨數量有限易排隊等待建議增加設施應付需求建議改善停車場出入道路夜衝活動,2017/10/23,0
20220429-0501此次於草地第G區住宿，適逢周末連日降雨，抵達時因雨造成霧氣瀰漫，僅在廁所與浴室前有一盞微弱燈光，導致環境極為漆黑。加上營地排水不佳，地面處處積水坑洞，導致帳篷搭設困難度大幅提升。此外，因天候因素，未能欣賞到宜蘭美景。最後，決定日後不再於宜蘭露營。,3,1,0,2176,,202204290501次於草地G區住宿適逢周末降雨抵達時因雨霧氣瀰漫僅在廁所浴室前有一盞微弱燈光導致環境極為漆黑營地排水不佳地面積水坑洞導致帳篷搭設困難度大幅提升天候因素未能欣賞宜蘭美景日後宜蘭,2023/05/07,0
在陰雨天，地面未出現泥濘，孩子們仍然玩得非常開心。,3,1,0,2285,,陰雨天地面未泥濘孩子玩得開心,2022/04/08,0
衛浴設施數量不足，僅提供一支吹風機供多人使用，營位由營主安排安排，當天因霾霧嚴重而無法欣賞美景，現場提供飲水機供民眾取用。,3,1,0,6990,,衛浴設施數量提供一支吹風機供多人營位營主安排安排當天因霾霧欣賞美景現場提供飲水機供民眾取用,2020/05/09,0
