content,rating,type,status,sequence_num,tokenization,publishedDate,origin
優點：D區地廣有樹蔭，無須遮陽傘亦不受陽光直射，極為舒適。缺點：環境清潔維護尚待加強，水槽髒汙嚴重，廁所內蜘蛛網處處，顯見未久未清潔，營位及廁所洗手台有巨大蟑螂出沒，環境衛生有待改善。,2,1,-1,1,,2024/5/6,0
廁所：時時清潔維護，氣味才不會這麼臭。吹風機：還是飯店式那種，溫度控制比較好，避免過熱而跳電。浴室：水龍頭要時常檢修，確保流動順暢，熱水器也要定期清洗，才能有足夠熱水。冰箱：數量要足夠，否則放不下所有東西，還要定期清洗，保持乾淨衛生。洗手台：表面要平整，擺放物品時，要確保穩固，不會傾倒。,2,1,-1,20,,2023/12/6,0
下大雨就淹大水，草地泥濘，走廁所的路沒燈，完全是一片漆黑照在牆壁上。百蟲蛀蝕，環境維護得超差，衛生紙都沒補，廁所除了臭，其他詞都說不出來。這營地常有團露，但營主卻沒從經驗中學教訓，雙十連假露營好幾天，只看到一個阿伯在掃地，明顯人力維護環境是不足的，冰箱髒得不得了。絕對不會再去。,2,1,-1,28,,2023/11/6,0
有關人員在萬聖節活動中服務態度的疑慮，我深表歉意。作為管理階層，我會進一步調查此事，並採取適當措施，確保參與人員在未來活動中，能提供更優質、有禮的服務。我們重視每一位參與者的體驗，包括你所遇到的工作人員，我們會把你的意見納入考量，以改善未來的活動規劃。再次對你在活動當天的不愉快經驗，表達誠摯的歉意。如有其他建議或疑問，歡迎隨時與我聯絡。謝謝。,1,1,-1,29,,2023/11/6,0
營地陰暗，我們正午到營地時，廁所就髒得不得了，直到晚上10點，情況也未見好轉！垃圾桶爆開，衛生紙散落一地，馬桶更是髒得不得了，幾乎每一間都讓人退步三舍。,1,1,-1,46,,2023/5/6,0
水壓不穩，時冷時熱，廚房設施明顯不足，四、五個家庭共用一個，還有流浪貓流浪狗，再加上喝酒後失去自制力、音量大到讓人受不了的人，最好還是不要去野營，夏天的夜晚，夏天的景致，實在是丟人現眼，整座山頭都為了你一整夜的抱怨而吵得不得安寧！。,2,1,-1,49,,2023/5/6,0
我認為營區應該要去檢討晚上十二點後的噪音管制政策，既然有規定，就應該去執行，對住宿的軍人來說，也應該有權利要求一個安靜的住宿環境，相關單位應該去調查、處理這個問題，確保所有人都能得到應有的休息。,1,1,-1,56,,2023/5/6,0
廁所惡臭，似已三日未清，紙巾用罄未補，環境雖美，惜被帳篷車占據。,2,1,-1,57,,2023/5/6,0
"場地寬敞，卻因F區而失色。我不明白為何壓縮機必須設在附近，還規劃露營區，24小時不停地運作，稍微停機就馬上又叫，實在讓人無法好好入睡。 ~~
」。",1,1,-1,62,,2023/5/6,0
營地確實風景秀麗，廣大腹地，確實提供了充足的空間，但由於帳篷數量多，導致廁所顯得不敷使用，且髒亂不堪，希望能增加清潔頻率，並補充衛生紙。浴室明顯不足，倒數第二間甚至沒有熱水，水溫及水壓也不穩定，排水系統也出了問題，常常淹水，最讓人無法接受的是，當地竟然直接焚燒垃圾，這樣的行為可以接受嗎？。,1,1,-1,81,,2023/5/6,0
週末旅客眾多，熱水器負荷大，稍微等待是可以體諒的；但通知老闆後，卻說沒有瓦斯，又叫人去重開，實在令人沮喪，在寒冷的山上，裸身等待20分鐘，熱水仍無動靜，真讓人不解，瓦斯管線到底換到哪去了？這種服務態度實在令人不滿，以後絕不會再光顧！。,1,1,-1,111,,2022/5/6,0
公共廁所太多髒亂，連兩天都得洗冷水，早上洗晚上洗，熱水都沒有，非常不推薦。,2,1,-1,125,,2022/5/6,0
這場夢想，真是令人髮指！大年初三到初五，連日來在爛泥裡度日，如同地獄般難耐，上廁所更是路燈暗暗，踢踏爛泥，來回返腳，排水不良，加上大雨不停，四處都是浮水，電力時常跳電，熱水又不熱，這趟露營經驗，實在難以言喻其糟糕。,1,1,-1,127,,2022/5/6,0
同一空間中，浴室與廁所共用，在須在排泄時，伴隨著糞便臭味，洗手台數量亦顯不足。,2,1,-1,131,,2022/5/6,0
雖然房間不太乾淨，但春節期間的價格還算可以。,2,1,-1,133,,2022/5/6,0
聽說營地首日清晨，晨氣涼爽，第二天日出時，陽光普照，營主利潤應該不少，生意興隆。,1,1,-1,137,,2022/5/6,0
營地怡人，溪水、火蟲，惟一的打折是浴室的水溫問題，幸好今年已獲改善，冷水全程供應，熱水也順利，為舒適度加分不少。,2,1,-1,171,,2021/5/6,0
地點雖廣，但營地規劃密度高，導致活動空間顯得狹窄，缺乏樹蔭，更會在多人洗澡時，出現明顯不足，排隊洗澡的情形。雖有螢火蟲及溪水可玩，但相較於其他露營區，此地仍稍嫌遜色。,2,1,-1,172,,2021/5/6,0
