content,rating,type,publishedDate,tokenization,sequence_num,status,origin
遠離城囂，放鬆舒壓的好地方，滿天星斗、視野廣闊，讚讚讚,5,1,2020/05/07,,0,1,1
跟期待有一點小小的落差,3,1,2021/03/03,,1,0,1
沒去過這麼爛的露營區，三千字作文放在截圖供大家參考，所有缺點我都可以當作沒看到，但營主態度差到爆真的不能忍。這個露營區的硬體設備我完全不覺得不好（撇除那幾間糟透了的房間），純粹是營主貪心超收想賺錢，導致大家體驗很糟糕，另外評論提到前年就有超收的狀況，死不承認也不改進，營主回應評論的「全部都已改善喔！」，根本都還沒改善。,1,1,2024/01/07,,2,-1,1
第一天雖然雨一直下，但環境感覺還是舒服，尤其雨一直下營主依然把廁所維持乾淨真的很用心。雨一直下的關係，釘營釘土較鬆軟，釘時營釘種類要注意一下,5,1,2021/12/17,,3,1,1
營主非常親切，而且營位、衛浴設備都蠻大又乾淨的，洗澡的水是營主用柴燒的，超特別，洗的時候不會忽冷忽熱，水壓很穩定，另外如果可以提供多一點小孩可以玩的設施或活動會更好，還有營主種的芭樂超好吃的 …,5,1,2023/05/07,,4,1,1
停車位、營位動線規劃不佳、廁所尿味好重 …,2,1,2023/11/06,,5,-1,1
好的營區不怕露客寫負評，營區首重環境和衛浴的整潔，這點都沒辦法做到，無言….不知道誰說要少收100元，現在來翻口供，說是折扣？？？？？,1,1,2023/05/08,,6,-1,1
絕佳的風景，視野良好，咖啡好喝，也有新闢露營區,5,1,2019/05/08,,7,1,1
難得一見有茶園露營，景觀寬廣。寧靜是一種享受，有機會可以在去露營。唯一路上有些會車不容易。,5,1,2018/05/02,,8,1,1
寒流來襲的228連假，新聞說恐下探9度，出門前把保暖衣物都帶了！結果營區可能因爲山勢包圍的關係，晚上竟然還有18度。A區的草坪維護還需要加強，B區是碎石區，營區非常安靜，有小溪可戲水，需自備釣魚桿，釣魚池讓大人和小孩留連忘返。營區有一小段步道可以走到玉門關隘，峽谷很漂亮。營主非常熱情，晚上還帶隊去看山豬，退帳之後因為小孩想繼續釣魚，營主主動提供營本部桌椅讓我們繼續備餐和遊憩。唯一可惜是衛浴設備和廁所在同一間，A區有蹲式馬桶、B區是坐式馬桶，對衛浴設備要求的露友要考慮。 …,4,1,2023/05/07,,9,1,1
廁所乾淨，附近也有景點可以走走,3,1,2019/05/07,,10,0,1
"環境乾淨衛生,服務很好,附近有超多溫泉可以選擇,只是上山的路有點陡",5,1,2017/09/25,,11,1,1
"非常大的營區，大約有120帳，走到底約300公尺，感想如下路況：4.5顆星，最後一段路上山不好會車，注意google導航會要你提前左轉，但營主有立牌要再開150公尺再左轉，才是正確上山道路水電，冰箱：4顆星兩帳共用洗碗台，晚上較容易有電壓不穩現象，大約在洗澡時段。4到5區共用一個營業用冰箱，跟一個冷凍櫃，所以先放先贏垃圾桶：1顆星回收，廚餘和垃圾桶只有在廁所外面才有，除非帳在廁所旁邊的區，不然都要走去丟垃圾，非常不方便浴廁：3.5顆星，缺點大約4到五區共用4到5間廁所,浴室，尖峰時段需排隊，人多洗澡時，地板排水會溢出來，;優點水壓穩,24小時供應熱水營地：4顆星，缺點是不好下釘，如果釘子不夠粗，容易歪掉，釘到有點懷疑下面是不是水泥地@@；優點是營地算大又好停車營區在群山環繞下的確不錯，屬於梯田式，但晚上洗澡時間，不曉得為什麼會有一陣一陣尿騷味過了這時段就沒了(當然也要看風向)活動區的設施基本上人多就要排隊，畢竟是大營區，還好營地夠大，所以建議自備一些玩物給小朋友玩",3,1,2023/05/06,,12,0,1
A2區無景空間小浴廁近無法容納碟型天幕。早上睡醒 有別的狗大便出現在我們帳前面，差點中獎^_^,3,1,2022/09/12,,13,0,1
营地很大，营主很热情。厕所很干净。幸运可以看到云海，超赞。大推～～,5,1,2024/01/07,,14,1,1
營位很大，營主人很好沒有蚊子～剛好遇到別區晚上很吵，營主也有即時處理,4,1,2023/05/07,,15,1,1
景色優美，環境也很乾淨。山路不好走，夜衝要注意,5,1,2023/03/31,,16,1,1
露營區中央有個湖，早上起床時面山水，景色宜人。。此次入住是在湖景區，前一晚採夜衝方式先行入住，建議可架燈，因該區屬於上下緩坡，可減少雨天路暗而滑倒風險。,5,1,2022/05/02,,17,1,1
營主很熱情，浴室有小澡盆，洗小孩好方便，還備有洗髮精跟沐浴乳，蠻貼心的,5,1,2017/02/12,,18,1,1
營區會為了多賺錢會超收營位，大家計畫去這裡要多想想！,1,1,2022/05/07,,19,-1,1
老闆一家人都很熱心親切，營地很有美感，舒服，我還會再來,5,1,2022/05/08,,20,1,1
美好的環境，若能有效管理某些露友凌晨還持續喝酒喧鬧的情況就更好了。,4,1,2018/11/19,,21,1,1
風景很棒、設施完善！感覺很用心在維護環境！我們訂了平日三天兩夜！第一晚遇到的露友都很有水準，非常好入眠！但第二天營主告知我們，晚上有三帳凌晨一點夜衝，就在我們附近的營位！沒有看錯！凌晨一點！！請問營主，凌晨一點你還接夜衝，不怕影響別的露客嗎？當天我們沒有留下來，下午直接收帳走人！不會介意半夜有人搭帳、敲打營釘的人！這裡可以來碰碰運氣！,3,1,2024/01/09,,22,0,1
之前因為下雨跟營主延期然後到了要露營的這一天早上打電話想說跟營主再次確認，結果營主竟然忘記？？？跟我們說叫我們直接到現場搭營沒問題，會留位置給我們結果到了現場，聯絡不到營主本人，只有看到營主的爸爸在那，問了老半天他也答非所問最後是有一區客人很好心的把一個位置讓給我們沒看過這麼不負責任的營主，第一次露營碰到進營區看不到人,1,1,2023/06/07,,23,-1,1
七月時包了五帳的櫻花區，只有一間廁所、兩個洗手台（且一個洗手台已經偏老舊、動線較不方便），對於五帳來說有點不夠用小黑蚊很多，但營主會提供大隻的蚊香櫻花區需使用對面營本部的冰箱，但營本部冰箱本身是營主私人在使用的冰箱，裡面有非常多的醬菜罐等等的物品，聞起來有阿嬤家冰箱的味道，建議有冰箱的還是使用自己的冰箱。適逢碰到營主的朋友上山喝酒，除了冰箱被塞爆兩箱啤酒外，還整天的唱歌直至晚上十點，很熱鬧。營區有親人的貓咪跟狗狗，個性穩定不怕小孩，走路4分鐘左右也有冰涼的溪水可以玩，營主夫人也會善意提醒可以把蚊香帶至岸邊。總結來說場地偏小、設備也建議可以加強，天然環境不錯。,3,1,2023/05/08,,24,0,1
寒流來襲，明知瓦斯桶可能用完，就一定要讓人洗到冷水才要換瓦斯桶，浴室只有4間，二間還是小小間內有蹲式馬桶的模組浴室，東西沒拿好還會掉進馬桶。廁所也不提供衛生紙。水槽沒有雨遮，下雨還要踩過泥濘積水的地面才能在雨中洗滌，真是好棒棒,1,1,2022/05/07,,25,-1,1
接駁車上車地點故意標示不明被強迫觀光一圈,1,1,2021/05/08,,26,-1,1
"基本設施OK,但傍晚到隔天一直出現陣陣雞屎肥的臭味,另外有點擾人,會一直黏在人的周遭,有遇過各種蟲很多的營地,但都沒這種蜜蜂一直黏著你的,讓人很困擾。 …",3,1,2020/05/07,,27,0,1
一個擁有寬闊的滑草場地，滑草協會也多次在此進行全國性比賽，但是周邊設施有待加強，若能增設完善的跳台就更完美了,3,1,2019/05/06,,28,0,1
營主夫妻非常的熱情親切，廁所不定時的都會去整理清潔，很乾淨。非常值得造訪！,5,1,2021/05/08,,29,1,1
第二次造訪訂G區，帳位超小，營地規劃不良。G區營地車子亂停，公共空間受限，帳蓬前面停別人的車。營地收18帳只有2間衛浴、4間廁所，洗澡水忽冷忽熱。提供兩台冰箱但不冷，食材酸掉，洗手台統一在廁所區，洗食材很不方便。一個晚上跳電5、6次，早上5:30也跳電！夏天沒電扇吹，直接起床收帳。優點是風景真的不錯，晚上睡覺很涼！千萬不要訂G區！,3,1,2020/06/29,,30,0,1
包區場地很舒服 很乾淨 可惜的是包區廁所需要加強一下,5,1,2023/08/18,,31,1,1
群山環抱中，旅途路遙遙~。達宴露營地是個不錯優靜的地方，只是隔天早上沒電實屬不便，雖然路途遙遠，但在看到環山美景深感值得，忘卻來時路的辛苦，建議露營地能建立儲電系統，相信能讓旅客賓至如歸~,4,1,2018/01/29,,32,1,1
空氣清新，青山綠水，景色怡人，遠離都市塵囂，體驗慢活舒暢，大推。,5,1,2018/05/08,,33,1,1
非常友好、友善的主人，他們真的竭盡全力提供幫助。我在黃昏時騎著自行車到達，幾乎沒有食物，他們堅持要分享他們的晚餐（美味！）和早餐（美味！）。美麗的環境、乾淨的設施和靈魂翱翔的景色。強烈推薦。,5,1,2021/05/06,,34,1,1
營主親切，可以預訂美味的烤雞，但營地在山谷較無景觀。,4,1,2018/05/08,,35,1,1
現在十月中旬，在飛督努非常涼爽，營區層次豐富設備完善，淋浴與浴廁設備規劃完整，營主施先生待人和善，會想再次造訪的營區,4,1,2020/05/06,,36,1,1
環境美，氣氛佳。海拔960m，無時無刻皆處在濛濛大霧裡，清幽的環境，沒有多餘的人工建設，還有親子互動手做，真的適合露營放鬆好地點，每年一定回露，不然太對不起自己了。,5,1,2020/12/14,,37,1,1
營主很好，廁所乾淨，淋浴熱水穩定，草皮保持的很好!!,5,1,2022/05/07,,38,1,1
老闆地點方便廁所本來怕風很大但晚上沒有風營區簡單乾淨就是好,5,1,2022/05/07,,39,1,1
很棒的營地，衛浴乾淨，營主熱情又親切，露的很開心,5,1,2018/12/21,,40,1,1
超棒的場地，舒適的環境，悠閒的氛圍老闆超熱情，任何問題都立即處理，整個夜晚超開心,5,1,2022/05/07,,41,1,1
衛浴設備乾淨，營區幾乎沒啥蚊蟲，原民部落導覽讓人印象深刻。投影機，卡拉OK，廚房，冷藏冰箱，自動販賣機等一應俱全，讓人覺得很是舒服的一露。,5,1,2021/05/08,,42,1,1
營主姐姐 待人親切又健談，半夜有需要幫忙也能即時處理，環境優美 設施也很齊全,5,1,2024/02/07,,43,1,1
營區不大，但蠻乾淨的夜景很美，景觀很棒適合小型露營有冰箱可以借用 …,5,1,2021/05/09,,44,1,1
營區小而精所以衛浴都很乾淨，營位還舖軟墊，營主也很熱情，有問題馬上來處理，是個讓人還會再來的營區,5,1,2023/10/05,,45,1,1
感謝超nice 的營主，讓我們星期五夜衝無後顧之憂。在雨棚區度過炎熱的週末，雖然中午溫度稍高，在雨棚下搭配電風扇不至於太熱，午後的雷陣雨也讓我們躲過新帳就淋雨的命運，讓我們的首露留下美好的回憶。,5,1,2023/05/07,,46,1,1
很棒，營主超親切友善。我覺得浴室可以放桶裝水洗澡。。,5,1,2017/12/28,,47,1,1
場地小巧、幽靜，有草皮及室內可當雨天備案，讓人放鬆的營地!,5,1,2019/10/14,,48,1,1
"帳和帳的空間距離太近，會互相影響；且帳數太多導致水壓不足，沒有水洗澡和洗餐具;且飲水機是家庭式的,附近還有住家唱卡拉OK到凌晨一點，根本無法好好休息",1,1,2022/05/07,,49,-1,1
用line跟營主訂營位，說給我們景觀區（原本2400包區讓我們一帳使用，洗澡要到B區），結果到了現場被帶往大山清境的一帳小區（兩個營地就一條路之隔，左側大山，右側橄欖），等到大山的老闆娘拿名片來才恍然大悟，原來訂的跟實際安排不一樣，大山衛浴新的乾淨營主人也很好，只是有種被騙的感覺，在聯繫的過程橄欖莊園老闆也都沒說幫我們轉介給大山的事情。,3,1,2023/05/07,,50,0,1
咖啡帶著黑糖的香氣，愛玉跟香腸好吃推薦，烤肉有點硬老,5,1,2023/05/08,,51,1,1
營位給的很大、營區有WIFI，浴室水壓穩定而且水量很大、小朋友有足夠的空間活動,5,1,2022/11/29,,52,1,1
什麼都要收費，廁所環境衛生差。說真的露營的話真的來錯地方了，晚上連燈都沒有，廁所距離遠。差差,2,1,2020/05/08,,53,-1,1
營主處理事情速度快，超讚。道路上的指示牌太小，容易走錯。浴廁很乾淨。草地區的插座需要延長線有點不便。營主很親切，處理問題快速俐落。,5,1,2018/12/31,,54,1,1
環境很棒浴廁很棒老闆很棒很用心沒有5分說不過去,5,1,2023/05/07,,55,1,1
大年初二四人房沒有漲價2500元……超值有電視電暖爐乾濕分離衛浴設備寵物友善非常美好的住宿回憶營主親切對房客問題回應迅速附近薑麻園農場吃喝玩樂方便推薦一下會二訪,5,1,2023/05/07,,56,1,1
營位寬敞設備周全，廁所浴室乾淨，營主很健談值得再來,4,1,2023/05/07,,57,1,1
草地很好，view也不錯，就周圍沒有太多腹地。浴室採用大型保溫電熱水器加瓦斯熱水器，就算是接近零度的低溫，也可以洗個很痛快的熱水澡，老闆娘也很親切。,5,1,2019/05/06,,58,1,1
營主對孩童很友善，怕孩子無聊準備小勞作給孩子們動動手，晚上恰好還發現美麗的螢火蟲；衛浴乾淨，水壓充足，還有小沙坑可以玩；營地小而美且安靜，還不錯喔！,4,1,2023/05/07,,59,1,1
初次露營就遇到熱心親切的老闆夫妻，感謝你們用心的經營，清新乾淨的環境值得一再回訪,5,1,2023/11/07,,60,1,1
設備不多，洗澡時熱水忽冷忽熱,2,1,2018/05/07,,61,-1,1
1.上山的路沒有整理，枯枝雜草叢生不好開2.營區的規劃（熱水、電力）無法負荷人多的連續假期3.電壓不足狂跳電，沒跳電時燈也是狂閃，根本沒辦法使用，充電型的LED燈要多帶幾個4.熱水非常不穩定，開了20分鐘的冷水，來了1分鐘燙水之後又是冰的了，寒流來會冷死，建議中午洗澡，或是在外面先洗好再進來5.營區的路雨天泥濘又多坑洞，要走到營本部上廁所或拿東西，腳會又濕又髒，非常不便，建議穿靴子6.風景優美的營地還有很多，感覺營主沒想用心經營，去別家吧！,1,1,2022/05/07,,62,-1,1
海拔不高的山谷型態地形的營區 10月露營很剛好 昆蟲生態過於旺盛(不喜歡原始昆蟲生態建議勿入) 還有溪水可踏踏水抓抓蝦/螃蟹  營主也很熱心   只是整體場地規畫可再加強如:1.營區區域性廁所數量增加  衛生條件加強2.營主家前方溪邊的整流 讓平坦區更大更安全3.較高地邊坡可能需要設置圍籬/照明  避免小朋友出入玩耍發生墜落危險希望下次拜訪 能有更優質的露營享樂,4,1,2022/05/06,,63,1,1
場地很大~但F區 真的不推。 為何加壓機在旁邊 還要規劃讓人搭帳篷？24小時沒停過 ~停了也一下下就馬上開始叫~ 根本讓人無法完全入眠阿~~~~,1,1,2023/05/06,,64,-1,1
小而美的營區老闆親切風景佳浴廁乾淨熱水強勁有力,5,1,2023/05/08,,65,1,1
廁所非常乾淨，營主熱心，很適合家庭與露營新手。,5,1,2022/05/07,,66,1,1
你們的星空很棒但是照明太亮若能調整角度或是重新設計應該會更好。,5,1,2022/12/29,,67,1,1
設在馬路旁平台上，展望良好，可看對岸裡冷山壁上掛著數條瀑布,3,1,2020/05/07,,68,0,1
這次搭在雨豆樹區，每一帳的位置真的給的很大！衛浴名不虛傳超越五星級營主很熱情、很關心露友，期待下次回訪 …,5,1,2023/12/07,,69,1,1
稀有河岸大景（蘭陽溪）、盪鞦韆沙坑；長條狀帳帳相連、洗澡間僅兩間,3,1,2018/05/06,,70,0,1
路程好開 離關西市區不會太遠 在A區雨棚基本上給的營位 滿剛好的 有電燈插座也近  營區旁的小溪  晚上去夜訪 抓到蝦蟹魚 小朋友可以觀察  魚池有小魚 大魚  基本上也滿好釣的！可惜當天遇到男生浴室 熱水不熱 原因是水壓太小不過跟營主反應有馬上來處理太太反應女廁比較髒 衛生紙很滿。 這在男廁那邊沒有 倒是滿乾淨的！傍晚時蚊子很多 營本部有賣蚊香到營區後下坡比較陡 要小心一點,4,1,2023/12/06,,71,1,1
規則很多不適合被太多規則約束的營友,1,1,2023/12/06,,72,-1,1
夏天帶小朋友露營的家長，一定要準備防蚊液喔！！,4,1,2017/06/24,,73,1,1
臨時被換位子，但是1.地板雜草很多2.廁所多人同時使用會沒熱水3.四周不明亮，半夜上廁所不方便4.一直跳電...,1,1,2021/05/08,,74,-1,1
路好開，草地保養得很好。但是跟隔壁距離非常近，會滿吵的。,3,1,2022/05/06,,75,0,1
還可以，浴廁男女各兩間有點少，收費有點高…旁邊人家養的狗跟雞叫整晚…環境魚池蟑螂太多，沒有露營氣氛，只適合釣魚，地方不大上下裝備車子不好停,2,1,2019/05/06,,76,-1,1
景觀優美、環境舒適、營主非常客氣。營區除了營主的果園之外還有楓葉露營期間楓葉落下真的很美還有種非常多山茶花 ，美到好像假的；營主說有一種陸續栽種植物，很用心經營。期待櫻花季來這邊賞花露營。晚間營主還一個個拜訪各帳關心一下並聊聊天，真心推薦木村的家。淋浴間乾淨熱水又大又熱、廁所很乾淨，現在B區有蓋新的廁所及淋浴間，非常期待。,5,1,2022/05/07,,77,1,1
附近有間叫歡喜農場唱歌又大聲又吵～還唱到晚上10點多!!不適合想要享受山林清靜的人來～,1,1,2020/05/07,,78,-1,1
爛到爆了！晚上22:30 還在放音響！唱歌！根本不管制的，請來的人，自行帶好大喇叭，跟其他帳車拼一下誰的音樂好聽。,1,1,2022/05/07,,79,-1,1
7月份在這裏露營，如果不在乎露營品質，就想在戶外搭帳篷睡個覺的話應該沒有很大的問題，小黑蚊不是普通的多，蠻可怕。賣點是附近的溪水，營地本身像停車場。廁所2/5顆星。露營當天下雨，草地有禿補石頭的地方，帳篷剛好搭附近，收帳都是泥水。,3,1,2021/05/08,,80,0,1
風景還好，沒其他人說的那麼神wifi 順暢，不錯衛浴算可以，熱水不太穩定最大敗筆……太擁擠了，露營人的夢魘停車場都不太夠，帳篷一大堆要去的人自行評估……不要聽網路上的吹捧文,2,1,2023/05/09,,81,-1,1
喜歡營主夫妻的愛乾淨，有把營區當成自己的所有物用心的在照顧，營地很少看到垃圾，因為常常在清掃。晚上接近10點會廣播，好心提醒露客降低音量，10點營地共用電燈熄燈，這些營規都有寫，要仔細看喲！夜晚星空迷人，關燈後星光更為閃耀！,5,1,2021/05/07,,82,1,1
很乾淨的營區~舒服~。垃圾桶再設置的更完善~以免外來動物的干擾~這樣就很棒了喔,5,1,2022/01/17,,83,1,1
營主人非常好非常親切，下山時車沒電了還幫我接電讓我省去很多麻煩，營區也照顧得很好又乾淨！推！,5,1,2023/06/07,,84,1,1
"營主夫妻都很和善, 營地草皮很棒, 前後風景都很漂亮, 可以看到五指山和市區夜景, 營地雖然不大, 但是一個小而美的營地",4,1,2020/05/06,,85,1,1
這次訂下A1區，獨帳的景觀享受，細緻貼心的設備，同時又擁有類野營地，真的是很棒的營地～感謝營主維持營地林區的原始。好美,5,1,2021/05/07,,86,1,1
營區小而美，營主熱情又友善！晚上夜景很美，早上也剛好是看得到日出的方向廁所很乾淨，有蹲式跟坐式衛浴空間也大，有附洗髮精跟沫浴乳～不過晚上洗澡的時候水溫不太穩幸好有附小水桶，很實用這次是夜衝，上山一小段路蠻暗的，要注意安全！,5,1,2021/05/06,,87,1,1
水泥地露營區，有雨遮，有蚊簾但沒用，蒼蠅蚊子多因肥料的問題，有桌椅。,3,1,2021/05/07,,88,0,1
營區位置一定要按照粉專說的169縣33.5K指標左轉（切勿依照google導航路線開，會繞一大圈，而且路非常難開）路雖然小條但整路幾乎都柏油路非常好開！這次雖然包區（C區）但其實營位與B區相連，部份營區範圍還需考量B區車輛進出，本區位置相對會受限A區能欣賞的景觀會相對廣一點，且離廁所/冰箱較近以上供想來受不寮的各位參考！,4,1,2022/05/08,,89,1,1
優點：離塔曼山登山口很近適合順便去走走看神木、營地排水狀況佳、20cm營釘好打、海拔夠高氣溫涼爽、可搭隧道帳缺點：1.冰箱冷藏不夠冷，大約只有10度，肉冰到第三天只能丟掉2.營位之間的分界不夠清楚，如果不是包區就會有點困擾，應該強制要求汽車停在草皮區，而不是停在帳旁邊進而壓縮其他人的位置3.遇上連假水塔儲水不夠用而暫時停水4.遇到水準較差的客人會在上廁所抽菸，造成整間廁所都是菸味，草皮上也會看到煙蒂,4,1,2023/05/07,,90,1,1
這次露營我們選擇星期五夜衝，說明事項中是六點才能入場，冬季的六點天色全黑，搭帳上有些不便。我們訂的是A區一帳，但因為營地要維護草皮所以車輛不能開進去，我們是車頂帳又一定得直接在營位開帳，營主立刻帶我們去別區解決了這個問題。我們這區的衛浴很棒，浴室跟廁所分開，浴室跟廁所很乾淨，熱水很熱洗起來很舒服。星期六寒流來襲，營主還煮了薑湯請大家喝。我的瓦斯快用完，營主還記得我的詢問買來了瓦斯罐。我放冰箱的食材被他人錯拿，營地妹妹幫我問了好幾個營位找到了我的食材，服務上真的一級棒！營區門口出去往右走約莫半小時有個小市集，各類蔬菜跟客家食材很好買。關刀山步道也在這可以走走。美中不足的是星期五晚上有二大團體喧囂到至少凌晨兩點，半夜還放超大聲的動滋音樂。後來詢問得知星期五晚上沒有宵禁，星期六則是10點後宵禁，所以要星期五夜衝的要有心理準備！,4,1,2024/01/07,,91,1,1
營主熱心親切、晚上睡覺記得收好食物、這裡的貓….很厲害ㄛ,5,1,2022/05/06,,92,1,1
位於石門水庫上游後山，環境清悠風景秀麗適合全家駕車旅遊之景點，唯獨地屬山林，從省道台三線與竹120線叉路口起算約50分鐘至一小時可到之處，彎道多坡度不一，不建議新手駕駛之路線,3,1,2018/05/06,,93,0,1
營區乾淨，熱水很熱，還有一個很大很大的室內遊戲，小孩玩得不亦樂乎！老闆人很好，十分健談，園區還有一隻可愛又親人的咩咩！,5,1,2023/11/07,,94,1,1
車子不能開到草皮，要用手提露營用品有些累，而且營區分上下層，搬完就不想玩了～小孩玩的沙坑沒有遮陽，廁所離最上層有些距離。,3,1,2020/05/07,,95,0,1
預定5帳因為分開來預定所以有分開，但因為不是全部的人一起抵達，園區管理員就胡亂安排營位給我們，安排到別人預定的營位，且是有租借客廳帳及帳篷的別的露客。一開始以為是我們同行還未到的夥伴租借的大家就開始搭帳篷搭天幕，又遇到下大雨天候不佳，搭的極度辛苦最瞎的就是營地管理員後來才說那個區塊是別人訂的，我們訂的是在另一邊（不過謝天謝地離廁所算近一點），然後就讓我們大家下著大雨在搬家真的算是有史以來最不好的露營體驗優點：浴室算大、熱水很快也很熱缺點：上來的路不太好開，沿路都是掉下來的樹、棧板有點殘破、排水極差，讓我們帳篷進水、氣墊床也濕掉,1,1,2023/05/07,,96,-1,1
營地相當乾淨且浴室水壓及熱水充足，營區內有種植花草樹木，看起來綠意盎然，讚讚！,5,1,2024/04/07,,97,1,1
浴廁乾淨水大港，水池真的是冷泉，營主暖心，營地隨你搭，並提供桌椅，飲水機及冰箱還有脫水機任你使用。準備一堆防蚊，但沒用到,5,1,2019/05/07,,98,1,1
令人驚嘆的露營地，主人樂於助人。還會再來的。景色令人著迷。設施乾淨整潔，有電。還有許多遠足小徑，周圍有汽車距離。,5,1,2020/05/07,,99,1,1
