content,rating,type,publishedDate,tokenization,sequence_num,status,origin
優點：D區場地很大有樹陰，有樹陰不用搭天幕也曬不到太陽，超級棒缺點：環境整理需要加強，水槽非常的髒亂，根本沒有在整理廁所裡面有很多蜘蛛網，感覺很久都沒清理營位跟廁所門口的洗手槽有非常非常多的蟑螂，而且是很大隻會飛的那種，環境衛生真的優,2,1,2024/05/06,,1,-1,1
場地很大，有樹林有草地，營位附有護草墊可以墊高帳篷，衛浴乾淨寬敞，旁邊就是小溪，螢火蟲季不用特意去尋營區就有螢火蟲優雅飛舞。,5,1,2024/04/30,,2,1,1
森林區空間很大，非常涼爽，昆蟲生態很豐富！,5,1,2024/04/29,,3,1,1
舉辦團露的好地方這次是在B區空間很大樹陰很夠早上完全不怕熱醒有猴子但不會下來打擾,5,1,2024/04/06,,4,1,1
屬於山林系營區，空間很大，到了夜晚營區很美，廁所和浴室是分開的，廁所入口處有提供衛生紙，浴室空間大，熱水穩定，還有提供親子浴室唯一小缺點……好像有小黑蚊@@,4,1,2024/04/06,,5,1,1
營區很大，有一區是樹林區，真的可以睡到自然醒,4,1,2024/04/06,,6,1,1
天氣晴朗，青山綠水，營區腹地大，適合團露的好地方 …,5,1,2024/03/06,,8,1,1
團露可以吵到凌晨4點，沒有限制，真心推薦!,5,1,2024/02/06,,9,1,1
廁所浴室很乾淨環境也很乾淨 …,5,1,2024/02/06,,10,1,1
今年GQ舉辦露營活動的場地，營位的電源及洗手台位置充足，適合舉辦大型露營活動,5,1,2024/02/06,,11,1,1
個人評價 會在回訪更多營區詳細請看IgIG:  alive.camp位於苗栗南庄整體路況非常良好如果是北上來的話建議國一下頭份走三灣方向營區整體腹地廣大 地勢平坦難怪露友說很多團露辦在這進營區明顯看出分為上下兩層我們這次在上層D區營位給的非常大方深度很夠用來分隔營位的樹非常整齊樹上還有掛小燈泡氛圍感直接拉滿草皮下釘偏硬一些些上層D、F區不會有太多日曬有一台四門大冰箱廁所、衛浴分開唯一一點小可惜水壓夠 但是冷熱水有點偏激,5,1,2024/02/06,,13,1,1
二訪又逢聖誕節可惜～可愛的雞只剩一隻了平日包場就是帥 …,5,1,2024/01/06,,14,1,1
解鎖麒麟山 空氣好 有山羌 有彌猴 有男有女露營區 放鬆的好地方,5,1,2024/01/06,,15,1,1
南庄.麒麟山露營區，是一處依山傍水綠意盎然的露營區，也是可容納百帳以上的環境。距離南庄老街開車只需要 10 分鐘，補給或用餐上都十分方便，露營區規劃上，除了一般搭帳區外，也有雨棚、露營車及住宿區，確實很適合舉辦團露活動。網路上看到大家分享的照片，綠意盎然的模樣很吸引我，無奈總是訂不到位，只好跟著團露一起來啦。這攤約了有一個月左右，和兩位大學同學和他們的伴侶相約去 南庄麒麟山露營區露營。這是我第一次帶這麼多人去露營，感覺還蠻新鮮的。由於他們從台北下來到苗栗，在加上讓他們有點緩衝時間，我們大約中午12點在竹東集合吃中餐 、 去全聯買晚餐和隔天早餐材料。說真的，竹東真的是一個很不錯的集合地點，停車地方旁邊就是全聯，買不夠同條路就是市場，要吃飯到處都可以，有需要的人可以選擇在這集合。結束竹東行程就走台三線一路向南往南庄。去的兩天氣溫晚上會降到10度，這次的行程非常鬆，露營區十分適合我們家中大型犬歐怡，大片草地讓人覺得十分廣闊。我們過了個非常充實而且吃很飽的兩天。,5,1,2024/01/06,,17,1,1
很適合大團露的營區運氣很好是個兩天一夜的好天氣露友的素質都很好衛浴清潔也很頻繁保持的很乾淨,5,1,2023/12/06,,19,1,1
廁所：滿帳無定時打掃很臭吹風機：太差，還是飯店式過熱斷電那種浴室：洗到一半沒熱水 及 熱水不熱冰箱：帳數多完全不夠用洗手台：傾斜，無法放東西,2,1,2023/12/06,,20,-1,1
假日遠離都市塵囂的好地方，很多人帶大狗狗來；空間很大，晚上看得到星星，可以租借露營設備，盥洗設備也都很齊全，小缺點是網路不太好,5,1,2023/12/06,,22,1,1
主辦單位辦活動的功力很重要狗狗友善場地很適合狗兒奔跑,4,1,2023/11/06,,23,1,1
山間盆地地形景觀超棒環境保護的很好很值得一來再來的露營區️,5,1,2023/11/06,,24,1,1
營區超大，雨天會小積水，整體滿意,4,1,2023/11/06,,25,1,1
下雨會大積水，草地區泥濘，走到廁所的路上沒有照明，完全一個昏暗的燈光照明在牆壁上...百帳團露，環境維持的超遭，衛生紙都沒有補，廁所除了臭沒有其他可以形容...這個營地很常團露，但營主卻沒有因著經驗而改善，雙十連假露了很多天，只有看到一個阿伯在打掃，很明顯環境維護的人力是不足的，冰箱很髒....不會再訪,2,1,2023/11/06,,28,-1,1
環境還不錯但人員態度有待加強（10/8萬聖節活動扮演鬼滅之刃女生的人員）非常不耐煩的回應方式！詢問問題看都還沒看到臉就直接不耐煩回應要不是小朋友在真的會想當場反應不悅心情,1,1,2023/11/06,,29,-1,1
很棒的營區，營主並不會三不五時來偷窺你（這點我很喜歡，因為我很不喜歡被陌生人問東問西），但你需要他時也都會幫你處理，已去過多次，廁所也乾淨，地很大小孩有很大的空間可以放電而且營區很美，看了其他露友低星評論決定來幫營主平反一下，個人是覺得露營什麼人都有，營主明明有處理就好了，肚子餓不要哭，怕吵、廁所被別人弄髒馬上要乾淨可以去住五星級飯店。 我愛的營區 絕對是五顆星 …,5,1,2023/10/06,,32,1,1
營主人很好 很大氣 雨棚區超大 營位也超大 小朋友玩的很開心 大人也開心廁所很乾淨 下次一定會再來,5,1,2023/10/06,,33,1,1
2023/07/08在樹蔭下相對其他低海拔的露營區來說算很涼爽了  有風～滿天星斗很美但遊戲區有一點點髒（沙坑感覺荒廢很久）但有溜滑梯小孩就很開心，加上放水就更開心但池子裡面感覺很髒，都沒清理（露營區的水槽也沒清理乾淨）且溜滑梯的小隧道有破損（兒子腳被夾到）廁所若滿帳我覺得不足上面那區廁所比較小多人使用容易臭但整體感覺算不錯，若遊戲區有遮陽就更棒了！,4,1,2023/08/06,,34,1,1
端午連假3天兩夜A區，先說優點：1.交通很方便，離市區很近，營區空間很大，晚上掛燈很美2.電力還算穩定，第一天接近滿帳沒有跳電3.營區很大，草地很漂亮又平坦，30公分營釘很好敲到底，是我露過最好下釘的營區4.後面的步道沒有燈光，傍晚去散步時看到野生山羌幾個需要注意的地方1.沒有飲水機，營主說是山泉水可以煮沸飲用，但還是會怕怕的2.沒有洗髮乳沐浴乳3.各種昆蟲(蝗蟲、螳螂、蟬、飛蛾、毛毛蟲等)超級多(露營難免)，但到處都看的到，還會爬到內帳上面...4.戲水池的水有點臭臭的5.遠傳、台星訊號還可以，有聽到其他露友說台哥大訊號很差6.中間下起了午後雷陣雨，看到營主在民宿區曬的被子也不收，就讓它淋雨，接著隔天又出大太陽，可想而知之後房客用的是反覆淋過雨的被子(可能郊外空氣汙染少，所以都是這樣的?),5,1,2023/08/06,,35,1,1
整體環境還不錯F區都是樹很涼感謝老闆借我螺絲起子,5,1,2023/07/06,,36,1,1
這次住F區營位很大有樹蔭端午連假也不會到太熱下溪邊玩水要注意很多小黑蚊營主服務態度也很好缺點廁所不髒但也不是很乾淨且有點異味台灣大哥大訊號很弱冷凍的溫度不太夠 冰的水餃 皮都軟軟的,4,1,2023/07/06,,37,1,1
環境不錯，有樹林，離開時還看到台灣獼猴，但 還是呼籲不要餵食，以免變成習慣之後，成群結隊的來破壞大家度假的心情，謝謝。,4,1,2023/07/06,,38,1,1
"五月.搭在D區最靠近河邊樹多遮陽,晚上帳篷正後面還會有數隻螢火蟲會飛進帳篷內",5,1,2023/06/06,,39,1,1
這次搭在B區營位幾乎都在樹下所以毛毛蟲很多建議穿長袖長褲比較不會被毛毛蟲攻擊冰箱跟衛浴都在入口處若是滿帳稍稍覺得不足小朋友遊戲區也是在車道邊若有車子經過要留意自家小孩安全可惜到訪時天氣不夠熱不然遊戲區應該小孩會玩瘋,5,1,2023/06/06,,40,1,1
有大草皮 營區維護的很棒,5,1,2023/06/06,,41,1,1
露營區營主很和善，有溪水可玩還有螢火蟲可以欣賞,4,1,2023/05/06,,43,1,1
營區大又漂亮五月來剛好有看到螢火蟲好幸福有親子浴室廁所也有座的跟蹲的但是沒有飲水機跟沐浴乳洗髮精，大家來的時候記得帶旁邊有小溪可以釣釣魚，而且營區離商店很讚！推推！但是營區上方有養雞，大概五點就會開始叫大家起床了：）,5,1,2023/05/06,,44,1,1
天氣剛好超舒服環境舒適！,5,1,2023/05/06,,45,1,1
營位有點暗，我們中午到營地時，廁所就很髒亂了，直到晚上要10點了，也未改善！垃圾桶爆炸，衛生紙散落一地，馬桶很髒，幾乎每一間都很可怕 …,1,1,2023/05/06,,46,-1,1
三年前同一區數還沒長大這次的區域已經有樹蔭可乘涼涼涼的收搭帳真是不可多得的好營地,5,1,2023/05/06,,47,1,1
水壓不穩，忽冷忽熱，流理台嚴重不足，四五帳共用一個，有野貓野狗然後美幹洪拎的、酒後控制不了自己音量行為的人就不要出來露營了，夏夕夏景丟人現眼，整個山頭就整夜聽你在靠北！,2,1,2023/05/06,,49,-1,1
1. 場地算大2. 廁所小走一下3. 有兒童遊樂設施4. AB區樹較多的，C區較無樹。5. AB區下雨較易積水6. 雨棚區適合辦活動7. 有露營車跟附衛浴客房8. 台灣大哥大網路收訊不佳,4,1,2023/05/06,,50,1,1
離南庄老街很近，營位很大，環境不錯，晚上蠻漂亮的有串燈很有fu,5,1,2023/05/06,,51,1,1
團露的好地方，場地很大，營位給的也很大，補給也方便，森林區晚上的氣氛很棒,5,1,2023/05/06,,52,1,1
很舒服的營區～第一次的團露,5,1,2023/05/06,,53,1,1
腹地很大 晚上樹上都有點燈 蠻美的,5,1,2023/05/06,,54,1,1
營區佔地大 廁所乾淨 有冷藏冷凍 老闆人也很 nice!!! 會在回訪,5,1,2023/05/06,,55,1,1
營區不是宣導22:00後降低音量嗎？ 怎麼還有團體再彈吉他、喧嘩到半夜兩點卻沒有任何管制呢？ 是要不要讓人休息？,1,1,2023/05/06,,56,-1,1
廁所臭臭的，感覺三天兩夜都沒有清潔，衛生紙用完未補，環境算優美，可惜塞滿帳篷與車,2,1,2023/05/06,,57,-1,1
其他都好，只有網路差到爆,4,1,2023/05/06,,58,1,1
