content,rating,type,publishedDate,tokenization,text,sequence_num,status,origin
很雷，沐浴乳竟然用稀釋過的水，做生意有需要省到這樣嗎？還有沒補到的，洗到一半還要換淋浴間，第一次遇到這麼扯的情況。水管屋水霉味很重，價錢偏高，不太值得。烤肉提供的食材難吃，醬給不夠，鋁箔紙給的不情不願，冰東西還被唸開一台冰箱冰太少東西很浪費電，沒遇過這麼小氣的老闆。出去玩的心情都被打壞，整體的住宿體驗只有雷一個字。,1,2,2021/05/08,,很雷沐浴乳稀釋過的水做生意省到沒補到洗一半換淋浴間第一次扯情況水管屋水霉味重價錢偏高不太值得烤肉提供食材難吃醬給鋁箔紙給的不情不願冰東西還被唸開一台冰箱冰太少東西浪費電沒遇過小氣老闆出去玩心情打壞整體住宿體驗雷字,0,-1,1
一個好久不見的老友實現充滿夢想的山頂入眼讓人忘憂的美景充實有趣收穫的課程️浪漫放鬆豐盛的晚餐讓人難以忘懷的地方決定5月份再衝一波體驗不同季節的自然探索大地秘境的期待唯有自己親身感受才不留下遺憾超推推,5,2,2020/05/07,,好久不見老友充滿夢想山頂入眼忘憂美景充實有趣收穫課程️浪漫放鬆豐盛晚餐難以忘懷地方月份再衝一波體驗季節自然探索大地秘境期待感受留下遺憾超推推,1,1,1
服務員人很好～我們火生不起來還來幫我們生火 …,5,2,2023/05/08,,服務員火生還來幫生火,2,1,1
所謂三項活動，時間都是固定的，不能自由安排，很難全部參加，除非都排第一順位,3,2,2023-07-15 13:31:23,,三項活動時間固定自由安排很難參加排第一順位,3,0,1
很舒適、乾淨、方便的露營區，老闆和老闆娘非常親切，值得推薦的露營區,5,2,2019/11/20,,舒適乾淨露營區老闆老闆娘親切值得推薦露營區,4,1,1
三思雲想讓我體驗到...慢生活，放下都市的忙碌感受～白天體驗自己做竹編卡片的樂趣及竹林散步晚上跟朋友享受夕陽、夜景、星空BBQ，還有看螢火蟲呦～食材方面 老闆很用心準備 每一樣都很好吃 我們六人掃光光老闆十分可愛熱情也超級好聊的 非常好相處總之十分推薦好友們一起去玩,5,2,2020/05/07,,三思雲想體驗慢生活放下都市忙碌感受白天體驗做竹編卡片樂趣竹林散步晚上朋友享受夕陽夜景星空BBQ螢火蟲呦食材老闆用心好吃六人掃光光老闆可愛熱情超級好聊相處推薦好友玩,5,1,1
晚餐在6:00撞上日落好可惜，看不到高美濕地美景,3,2,2023/09/08,,晚餐00撞日落可惜看不到高美濕美景,6,0,1
露營車體驗過就好，住四人真的太擠，枕頭有很重的霉味真的要改進,3,2,2023/05/08,,露營車體驗過就住四人真的太擠枕頭重霉味真的改進,7,0,1
第一次來住露營車，這裡環境很優美，入住渡假很放鬆，服務台有免費提供現點現做的飲料無限暢飲唷！早餐很豐盛也很美味。美中不足中式晚餐的口味實在太鹹，鹹到有點苦。房間洗手台沒有置物架，使用上有點困難，若有類似3M的小置物架，可以擺放一些洗臉用品就更棒了。,4,2,2021/05/07,,第一次住露營車環境優美入住渡假放鬆服務台有免費提供現點現做飲料無限暢飲唷早餐豐盛美味美中不足中式晚餐口味實在太鹹鹹苦房間洗手台置物架困難若有類似3M置物架擺放洗臉用品棒,8,1,1
房間乾淨又離市區近空氣也好還有提供材料以及器具棒！,5,2,2024/04/07,,房間乾淨市區空氣提供材料器具棒,9,1,1
乾淨，但帳篷透明的部分有霧化，可能不太清楚,3,2,2022-11-16 11:04:06,,乾淨帳篷透明霧化不太,10,0,1
這是近期玩過最好玩的活動，謝謝今天帶領的簡教練，教練幽默風趣，時不時會關心客人，還會讓客人有不同的體驗，非常推薦！,5,2,2023/09/09,,這是近期玩過好玩活動謝謝帶領簡教練教練幽默風趣時不時關心客人還會客人體驗推薦,11,1,1
