content,rating,status,type,label,sequence_num,publishedDate
近北埔老街，環境設施優良、營位大器。小黑蚊挺多的，防蚊液要多補充。,5,1,1,2,3339,2019/05/27
滿區的漂亮樹木真的很迷人，散步起來的悠閒感很夠。廁所定期打掃感覺很不錯，有在管理!聽說是已減帳但還是感覺擁擠，旁邊有小溪流，我想螢火蟲季節應該會很棒!,3,0,1,1,5710,2019/05/06
營主熱心親切。隨時都可看到營主的身影在營區走動熱情親切滿帳時帳與帳之間的距離有點緊,5,1,1,2,5537,2020/10/22
浴廁少，場地小 ，收很滿。需要搬運裝備，垃圾桶，推車也少。不推,1,-1,1,0,1710,2024/01/06
超級推薦的營區。戲水池的水好冰涼是流動的不會混濁，廁所很乾淨，營主很用心，常常看到他的身影在營區裡打掃，活動很多，射箭、搗麻吉免費玩，大人小孩都玩的不亦樂乎，營主人也很親切，兩天一夜有點不夠玩！,5,1,1,2,4006,2019/08/20
營地雖然小，可是遊樂設施小朋友玩的很開心，而且營主媽媽人很好，忘記帶電扇還借我一台，下午還有小朋友做美勞活動和玩棉花糖，而且廁所和洗澡間都很乾淨又香，讚，有機會還會再來 …,5,1,1,2,7128,2023/10/07
營主親切，任何人都很親切。地點好找，營地很大，營主家對人都非常親切，一直來關心。雖然離馬路不遠，卻像在山中一樣安靜。不過唯一讓我困擾的一點，可能附近菓園剛好有施肥，白天的蒼蠅多到嚇人，可能要觀察一下那一區會比較少一點唷有機會會再回露~,5,1,1,2,4199,2020/05/07
營主人好又很客氣，每天也都會來整理環境。路好走，週邊景點也不太會遠。少帳包區帳位很大。,5,1,1,2,1754,2019/02/16
營區很乾淨，風景也不錯~營主很客氣 值得再訪~,5,1,1,2,3800,2021/01/17
環境差，不推薦。要不是最低只能給一顆星不然我一顆都不想給,1,-1,1,0,3322,2023/12/07
整體很棒。整體已經很棒了，希望未來會有雨棚區,5,1,1,2,1837,2022/02/06
很棒的營區，夜衝還有探照燈照明！夜晚燈光美氣氛佳，氛圍營造的很棒。,5,1,1,2,2213,2024/01/07
很擠的露營區，除了玩水，沒有多的草皮空間給小朋友玩。,2,-1,1,0,3897,2020/05/07
小而美的營區。衛浴空間可以的話增加照明設備就更好了，晚上洗澡有點暗～～,4,1,1,2,3846,2021/10/31
空氣很新鮮溪水涼爽，生態很不一樣夜晚的星空真的很美但就是～有夠遠,5,1,1,2,6869,2024/01/07
