content,label,rating,type,publishedDate,tokenization,sequence_num,status,origin,origin_label
8帳頂著霸王寒流與大雨前往，其中一帳因發膿開刀無法前往，經三度溝通仍堅持沒收$500訂金不予延期！$1000元營位大小只有兩格停車位，飲水機長期未維護已阻塞不出水。營主可以有營主的做法，我當然也有我的感受！當日其它營地多的是氣候不良請取消的呼籲，別人營主的溫度對比這個以錢為唯一的營地，我絕對不會再來！,負向,2,1,2023/5/8,,0,-1,1,負向
遼闊，能眺望遠距是舒服的地方！，早上被鳥叫醒，採買要很大一段距離的地方喔！ …,中立,5,1,2023/5/7,,1,1,1,正向
蟲不多、視野遼闊、營地很乾淨(離開前看到營主逐區撿垃圾跟刷洗手台)、有水池給小孩玩，還沒結束就想再訪。最想提的是淋浴間，水溫穩定、置物空間非常充足、離蓮蓬頭很遠，底下還鋪墊子架高，洗完穿長褲也沒問題，甚至還有垃圾桶，非常貼心！,正向,5,1,2023/11/7,,2,1,1,正向
很棒的營區，有機會還是會想在去。營位給的很大方還有WIFI，浴室水壓穩定而且水量很大，超棒的,正向,5,1,2022/11/17,,3,1,1,正向
乾淨整齊的營區，水池沙坑小孩玩得不意樂乎，營主人很好，不時會來關心狀況，還主動提供蚊香。下午遇到了很大的午後雷陣雨，很怕會積水搞得很泥濘，還好排水狀況還不錯，沒有這樣的問題！晚上還帶我們體驗捉蝦活動，來趟生態之旅！是一次很棒的露營經驗！,正向,5,1,2021/5/7,,4,1,1,正向
"營主和善。大間的廁所很乾淨,包帳區是流動廁所稍微髒",中立,5,1,2021/12/16,,5,1,1,正向
環境是不錯，可惜營主根本不管夜衝的時間....一群人11.12點到，搭帳釘營釘就算了，搭完後開始喝酒聊天小孩吵鬧根本不管其他人是否要睡覺了....一路吵到凌晨五點,負向,2,1,2023/5/9,,6,-1,1,負向
很美很放鬆的一個地方營主隨和又熱心，第一次露營的體驗真的非常好,正向,5,1,2022/5/8,,7,1,1,正向
已是2度造訪！A區大草地讓孩子們奔跑！老闆親和，浴廁乾淨熱水強大，推薦給大家,正向,5,1,2023/5/7,,8,1,1,正向
上禮拜第一次來是為了有可愛兔兔才選這，結果整個大愛營位好大！環境很乾淨(沒看過這麼忙的營主，一直在整理環境，辛苦了！)這禮拜又再來一次 風景好棒，晚上星空很美，真的讚！ …,正向,5,1,2022/5/6,,9,1,1,正向
水龍頭流出的水是溫的，真的很佛心適合冬天露營。但是包區的營位營主不給完整的草地使用，原因是中央的走道要給營主開高爾夫球車通過行銷產品，也算是特別的商業手法,中立,3,1,2020/5/7,,10,0,1,中立
元旦露營連下4天雨，碎石區排水優，洗澡前要先試水溫喔！,正向,4,1,2019/3/19,,11,1,1,正向
營地草超長，都沒有修剪而且地板又坑坑疤疤蚊子巨多無比，每隻長超肥各種生物都有，甚至還有蟑螂..這次的露營營地體驗不是太好唯一的優點可能是廁所、衛浴間算乾淨吧,負向,2,1,2023/8/8,,12,-1,1,負向
露營區旁的小溪很好玩，山路旁竹林有竹筍可採。,正向,4,1,2019/10/14,,13,1,1,正向
老闆很親切，像家人一般，設施也很貼心，孩子很喜歡戲水跟玩沙,正向,5,1,2017/11/22,,14,1,1,正向
沒有很名顯ㄉ招牌，山路不好走,中立,3,1,2020/5/6,,15,0,1,中立
賞螢好地方，廁所乾淨。晚上溪邊的螢火蟲大爆發，不需要去人擠人就可以進距離觀賞。唯一不好就是冰箱很小，不夠放。,中立,5,1,2022/5/9,,16,1,1,正向
離家近，路好走，孩子玩樂的設施不少，廁所的燈用感應的還蠻不錯的。營主服務也很好喔！,正向,5,1,2017/11/25,,17,1,1,正向
