content,rating,type,publishedDate,tokenization,sequence_num,status,origin
騰雲農莊真的很難得，露營的感覺就像是野外求生的樣子，只是看用什麼方式而已，搭帳篷體驗很好玩，在海拔一千以上的地方看到雲海，天氣很好的話就可以看到超級美的景色，很值得！！,5,1,2023/05/09,,0,1,1
"當天臨時起意想去露營，但疫情嚴峻且有小小孩還沒疫苗可以打，網路找營位看有沒有營區有某區沒人訂然後有獨立衛浴的，一間一間打電話問老闆能不能讓我們少帳包區獨立衛浴，問到""遠見之星""老闆說可以，電話掛掉前還再跟他確認一次，結果1. 我們一到營地就看到我們那區有別人，瞬間覺得被耍了，跟營主反應為什麼答應了卻沒做到，但也不可能叫另一帳撤，人家也是無辜的。2. 跟營主和另一帳協調好我們各用一間衛浴，結果隔壁區的會跑來我們這區用衛浴，跟營主反應營主說他去跟隔壁區宣導，宣導完隔壁區還是有人跑來洗澡及使用水槽。3. 營主說衛浴的部分他會再次跟隔壁區宣導，但水槽要開放隔壁區共用，那不是一樣大家跨區接觸嗎...(每區都有水槽可用)以上覺得很不能接受，老闆說不然你們就收一收離開。心情被搞得很差留下來也沒意思，當天再開3個小時回去了。",1,1,2023/05/08,,1,-1,1
平日露營第一晚因為瓦斯桶有謎樣的開關未開啟，導致自己拿瓦斯爐去廁所燒水洗澡，有點不悅，洗完後遇到營主，所以第二晚就有熱騰騰的水可以洗澡了，但環境優美，氛圍很棒，又乾淨，且營主人很好，又有超級乖的小白，還可以溪釣、玩水，所以我給予五星，並且下次還會再來,5,1,2020/05/07,,2,1,1
非常漂亮的營區，很用心經營，廁所乾淨，景色超讚從清晨的雲海到夜晚的百萬夜景真的值得來一趟！唯一小小缺點是abc區這裡沒有提供冷凍冰箱，可是可以直接拿給老闆他會幫你冰在別的地方 …,5,1,2022/05/09,,3,1,1
景色不錯，這次有看到螢火蟲，草皮維護的不錯，A區可在帳內欣賞日落但離馬路稍近，還好晚上車不多還好。時間夠的話可以到附近的瀑布走走,5,1,2020/05/07,,4,1,1
營主親切熱心、露營區規劃也很寬闊（露營當天滿帳，但一點也不擁擠；,5,1,2017/05/30,,5,1,1
秋冬之季，來這裡剛好！淺淺的小溪可以踏踏水，裡面有魚有螃蟹，營主很親切，環境很好，廁所浴室很乾淨！晚上涼爽很舒服！晚上有衛生巡守隊-浪貓們，記得食物要收好！不過也感謝牠們幫我清了吃不完的牛肉跟豬肉~,5,1,2023/05/08,,6,1,1
營主很用心，環境很乾淨很棒。整體很棒，為一的小缺點就是要進營區時的招牌可以在明顯一點大一點。,5,1,2017/05/09,,7,1,1
營位不算大，所以車子不方便停很近，衛浴廁所都很基本但很乾淨，冰箱真的很遠在雨棚區的右上方，沒有飲水機所以記得水要帶，不然就是開車下山大約10分鐘有便利商店。整體而言是不錯的營區，收費也便宜，如果一些小細節再加強一下就會很棒了。,4,1,2023/05/07,,8,1,1
很棒的露營區、適合大人放鬆、小孩奔跑，很推。 …,5,1,2023/05/08,,9,1,1
