content,rating,status,type,label,sequence_num,publishedDate,origin,text,synonyms
營區有點太壅擠~有狗狗會來刁鞋子.....,3,0,1,0,2026,2020/8/12,1,營區太壅擠狗狗[MASK]刁鞋子.....,
落羽松區很棒，很喜歡，下次一定要再訪。建議浴廁的部份再多一點，比較夠用。,4,1,1,1,6511,2017/12/25,1,落羽松區很棒[MASK]下次再訪建議浴廁部份多一點夠用,
這個露營地的缺點實在讓人失望，雖然冬天蚊蟲少，但周圍的廢棄建築實在讓人感到毛骨悚然，根本不想待在那裡。營區小得可憐，景觀也非常有限，只有星空而已，光害又高，看得根本不過癮。即使浴室乾淨，但這些缺點實在讓人不想再來一次。而且，對於喜歡熱鬧的人來說，這裡根本沒有合適的活動，除了簡單的兒童設施，完全無法吸引大人的注意力，讓整個露營體驗變得乏味。,1,-1,1,0,529,2021/5/7,0,露營地缺點實在失望[MASK][MASK]少廢棄建築實在感到毛骨悚然不想[MASK]小得可憐景觀有限[MASK]光害高過癮浴室乾淨缺點實在不想再來[MASK]熱鬧合適活動簡單兒童設施吸引大人[MASK]體驗變得乏味,
小巧、綠意盎然的露營區，園區設備貼心且人性化，營主家就在最內側，空閒時間會和露友聊聊天，為人親切，因為疫情（我們這一家）已經二年多沒露營了，而復興鄉平常就蠻常來訪的，這次算是重啟露營的暖身，不跑行程，第二天全員到齊就去巴陵鐵塔拍拍夜景，晚上全家就待營區裡吃東西閒聊，聊到晚上11點多被某區露友投訴~~~哈哈哈，忘記腹地不大，所以一點聲音都很清晰，這裡非常適合早睡、早起的露友喲！,5,1,1,1,1433,2023/5/7,1,小巧綠意盎然區園區[MASK]貼心人性化營主家內側空閒[MASK]露友[MASK]為親切因為疫情[MASK]二年復興鄉平常蠻常來訪算是重啟暖身跑行程第二天全員巴陵鐵塔拍拍夜景[MASK][MASK]營區裡吃東西閒聊聊到晚上11點多[MASK]露友[MASK]哈哈哈忘記腹地一點聲音清晰非常適合早睡早起露友,
老闆人超好，有山景夜景河景外加日出，也是很適合小小朋友的封閉營區。,5,1,1,1,5547,2018/5/6,1,老闆人超山景夜景河景[MASK]日出適合小朋友封閉營區,
明顯的缺點是A1營區地上黑螞蟻很多。。收帳時真是驚喜萬分。。其他都ok …,3,0,1,0,190,2021/5/6,1,缺點A1營區地上[MASK]收帳時驚喜萬分ok,
因為路程較遠，有世外桃源的感覺，已造訪2次，依然會想再去，塔曼溪清涼透徹,5,1,1,1,1169,2019/9/17,1,因為路程較遠世外桃源感覺[MASK]次依然會想塔曼溪清涼透徹,
營主很樂情，浴廁很乾淨。是個有人情味的營區,5,1,1,1,5861,2019/1/27,1,營主很樂情浴廁乾淨人情味營區,
環境很棒但浴室數量明顯不足，開車山路狹小及陡峭，低底盤車輛要小心駕駛。,3,0,1,0,6594,2020/5/8,1,環境很棒浴室[MASK]開車山路狹小陡峭低底盤車輛小心駕駛,
這個茶園露營的體驗讓我相當失望，雖然風景寬廣，但整個環境並沒有我預期中的那麼寧靜，反而有不少噪音干擾。最糟糕的是，前往的路上不僅擁擠，會車也非常困難，讓整個過程變得相當不愉快。這樣的露營地點真不值得再次光臨！,1,-1,1,0,5519,2018/5/2,0,茶園體驗失望風景寬廣環境預期中寧靜[MASK]干擾[MASK]前往路上[MASK]會車困難過程變得愉快地點真值得光臨,
環境髒亂，廁所噁心穢物都堆積近半個馬桶，營主應對進退，即為差勁，毫無誠信，坐地喊價 官網上明明標示價格，到現場後唐塞理由哄抬價格，超級雷的露營區！,1,-1,1,0,3471,2021/5/8,1,環境[MASK]廁所噁心穢物堆積半個[MASK]營主應對進退即為差勁誠信坐地[MASK]官網上明明標示價格現場後唐塞理由哄抬[MASK]超級雷區,
小黑蚊很多…景色一般般…標準復興鄉電壓..標準小營位..收費不含衛生紙提供..時間到營區冰箱才會開燈..晚上鎖冰箱..夜間昏暗燈光，請自備燈源..,1,-1,1,0,5386,2022/5/6,1,小黑蚊景色[MASK][MASK]復興鄉電壓標準小營位收費[MASK]衛生紙提供時間營區冰箱開燈晚上鎖冰箱夜間昏暗燈光請自備燈源,
這裡的蚊子真的太多了，讓人根本沒辦法好好享受露營的樂趣，雖然環境不錯，但蚊子叮得我滿身都是紅腫，實在影響體驗。,1,-1,1,0,4937,2016/12/1,0,[MASK]真的太多辦法好好享受樂趣[MASK]不錯蚊子叮得滿身紅腫實在影響體驗,
老闆非常熱心，前一天爬山腳痛還特別拿貼布給我海帶很乖不咬人不吠愛撒嬌，小孩子也敢給牠親近CP值超高，有沒有特別的時間限制，早上起來悠閒的收拾行囊營區還有水果可以拔，現採現吃，讓孩子體驗也很新奇 …,5,1,1,1,5690,2023/5/8,1,老闆非常熱心前一天[MASK]腳痛[MASK]貼布給我海帶很乖咬[MASK]愛撒嬌小孩子敢給牠[MASK]CP值超高有沒有特別時間早上悠閒收拾行囊營區水果[MASK]現採現吃孩子體驗新奇,
風景不錯，但可惜沒提供沐浴用品及吹風機，便利性打折。,3,0,1,0,2271,2019/5/7,1,風景不錯可惜[MASK]沐浴用品吹風機便利性打折,
這個露營地雖然位置不錯，但實際情況卻讓人失望，帳位雖然有山景但周圍的雜音實在太多，根本無法享受安靜的休閒時光。此外，營主太太雖然熱心，但是服務態度似乎有些隨意，讓人感覺不夠專業。最讓我不滿的是，周邊的貓狗會翻垃圾，這樣的情況讓環境變得非常不衛生，影響了我們的用餐心情，真的是一個讓人彈幕的地方。即便附近有步道可散步，可是整體的管理和衛生狀況實在不令人滿意，下次不會再考慮來這裡露營了。,1,-1,1,0,168,2023/12/7,0,露營地位置不錯情況失望[MASK]山景雜音實在太根本無法享受安靜[MASK]時光營主太太熱心服務態度[MASK]感覺專業周邊貓狗會[MASK]垃圾情況環境變得衛生影響[MASK]心情真的[MASK]地方步道散步整體管理衛生狀況實在令人滿意下次,
不建議住宿房間隔音非常不佳 廁所還在外面連吹風機都沒有很不方便 露營區的廁所很多人使用都沒清理非常髒亂,1,-1,1,0,125,2024/4/9,1,建議住宿房間隔音[MASK]廁所還在外面吹風機區的廁所清理髒亂,
