content,rating,status,type,label,sequence_num,publishedDate,origin,text
露營區域比較小，能走的地方不大，不過景色很美。,4,1,1,1,1459,2021/3/30,1,區域走地方景色美
這次的露營經驗並不好，雖然營區明文規定不能使用高音量的音響，但卻經常碰到隔壁帳篷放音樂，甚至歌聲持續到深夜11點，嚴重影響到大家的休息。再加上營區外有施肥，臭味一陣陣飄來，讓人相當不舒服，還吸引了許多蒼蠅，真的是擾人的景象。雖然晚上有桂圓銀耳甜湯可以加分，但我仍然希望營主能重視這些問題，如此不僅損害了營區的聲譽，也影響到我們這些來享受大自然的露營客人。,2,-1,1,0,223,2024/04/06,0,經驗不好營區明文規定高音量音響碰到隔壁帳篷放音樂歌聲持續深夜11點影響休息營區外有施肥臭味一陣陣飄來舒服吸引蒼蠅真的擾人景象晚上桂圓銀耳甜湯加分希望營主能重視損害營區聲譽影響享受大自然客人
這個營地讓我非常失望，地面全是泥巴和凹坑，走起來一不小心就會摔倒。洗澡的地方就像原始叢林，衛生條件非常糟糕，讓人根本不想進去。四周的洗手台同樣髒亂，讓我無法忍受，看到那個露天的菜瓜布，甚至不敢想像要用它來洗東西，真的是非常不推薦。,1,-1,1,0,2224,2023/06/07,0,營地失望地面全是泥巴凹坑走一不小心摔倒洗澡地方原始叢林衛生條件糟糕不想四周洗手台髒亂無法忍受露天菜瓜布不敢想像要用洗東西真的推薦
上週我們全家去露營，結果真是一場災難，雖然選擇這個地方是因為離城市近，但卻遇上了大雨，導致整個營區變得泥濘不堪，搭設帳篷的時候根本無法找到適合的地點。草地的護墊簡直不夠用，讓我們的露營體驗大打折扣。衛浴設施方面，洗手間的數量實在太少，排隊的人長得讓人不耐煩，尤其是廁所的衛生狀況令人失望。即使有提供洗澡的地方，但熱水總是忽冷忽熱的，讓人很困擾。更別提垃圾分類的問題了，竟然沒有廚餘回收的設施，加上場地裡還有隻流浪狗四處晃悠，實在讓人感到不安。老闆的服務態度也不讓人滿意，似乎對於這裡的管理完全不上心，唯一的優點就是距離市區不遠，方便購買食物。但以這樣的狀況和收費，實在讓人無法接受！,1,-1,1,0,2633,2024/01/07,0,上週全家一場災難選擇地方因為城市遇上大雨導致營區變得泥濘不堪搭設帳篷根本無法找到適合地點草地護墊體驗大打折扣衛浴設施洗手間數量實在太少排隊人長不耐煩廁所衛生狀況令人失望提供洗澡地方熱水忽冷忽熱困擾別提垃圾分類廚餘回收設施場地裡隻流浪狗四處晃悠實在感到不安老闆服務態度不讓滿意管理不上心唯一優點距離市區不遠購買食物狀況收費實在接受
這次露營同行友人洗澡時遭拍攝，麻煩請營區廁所方向加強監視攝影！謝謝,1,-1,1,0,5672,2023/11/7,1,同行友人洗澡時遭拍攝麻煩請營區廁所方向監視攝影謝謝
營主夫妻很熱心、好聊!。區與區的間隔如果可以更明確，那麼就可少了許多不必要麻煩及紛爭! 浴廁也建議再增建。,3,0,1,0,4809,2018/1/3,1,營主夫妻熱心好聊區與區間隔可少不必要麻煩紛爭浴廁建議增建
環境雖然優美，但蚊子真的很多，特別是小黑蚊，叮起來會讓人很不舒服。每次下雨天都沒有辦法延期，感覺安排上有點不靈活，而且收費的項目也似乎有點多，讓人覺得不太划算。,2,-1,1,0,1546,2018/05/07,0,環境優美蚊子真的特別小黑蚊叮舒服每次下雨天辦法延期感覺安排靈活收費項目不太划算
離快速道路5分鐘就到了，交通很方便，營地的景觀也不錯；老闆也很親切，會時常來關心一下各區的狀況，很用心！,5,1,1,1,6044,2024/2/7,1,快速道路分鐘交通營地景觀不錯老闆親切會時常關心各區狀況用心
草皮很漂亮，浴室很乾淨，熱水夠熱，營主不超收，渡假就是超享受，帶著初露朋友一起體驗，大家都很喜歡的營區，也愛上禾田農莊 …,5,1,1,1,4798,2021/5/7,1,草皮很漂亮浴室乾淨熱水夠熱營主超收渡假超享受帶著初露朋友體驗喜歡營區愛上禾田農莊
營區很乾淨，會再去露，沖澡間外會有些積水，可以改善一下。,5,1,1,1,2703,2023/5/6,1,營區乾淨露沖澡間外會積水改善
