content,rating,status,type,label,sequence_num,publishedDate,text
營區乾淨，熱水穩定，營主定時巡視，又有小水池可玩水，值得推薦的營地。,5,1,1,1,1543,2020/05/07,營區乾淨熱水穩定營主定時巡視水池玩水值得推薦營地
環境惡劣。營區完全沒有維護草地凹凸不平 雨天各種積水此處無提供黑色格子地墊連停車的地方都是爛泥巴大家的車無一倖免三天兩夜的露營基本上泥巴地獄曾向老闆娘反應場地問題但只得到‘’你們帳篷不是都防水嗎‘’的回應此次訂相思九芎區營位可容納9帳 雖然官網有明載只有兩組電源已經很不夠用了還要跟上層共用環境衛生的部分洗手槽積水 還有長草的菜瓜布相思九芎區旁邊的廁所 基本上是廢墟破爛的門外加腐臭的味道連廁所洗手台都堵塞真的很驚悚如果要走到官網提供的廁所區 需要度過泥巴路 還要跨橋過河 十分不方便熱水很不穩定 一次只能一個人洗,1,-1,1,0,1492,2023/02/28,環境惡劣營區維護草地凹凸不平雨天積水提供黑色格子地墊連停車地方爛泥巴的車無一倖免三天兩夜露營泥巴地獄老闆娘場地‘’帳篷防水‘’回應訂相思九芎區營位容納帳官網明載兩組電源上層共用環境衛生洗手槽積水長草菜瓜布相思九芎區旁邊廁所廢墟破爛門外加腐臭味道廁所洗手台堵塞真的驚悚走官網提供廁所區度過泥巴路跨橋過河熱水穩定只能人洗
營主大仁哥人很好，下午會有下午茶和小遊戲。,5,1,1,1,2931,2020/05/07,營主大仁哥下午下午茶小遊戲
超爛 老闆口氣超級差吃完飯跟朋友們一起來參觀一下神秘氣場 結果停在公用路邊卻一直被趕下車不到5分鐘被趕了2次建議大家如果不是來「露營」請不要來！,1,-1,1,0,5606,2023/05/07,超爛老闆口氣超級差吃完飯朋友參觀神秘氣場停公用路邊下車不到分鐘次建議露營請要來
星期六去露過，場地不錯，廁所乾凈，唯一美中不足的是朋友一個人睡車上也是算一帳的錢，有點傻眼，營主是說汽車停在場地就是算一帳的錢，這在以往的經驗有點出入，最後幾經交涉有軟化，可是氣氛也有點不愉快了,3,0,1,0,5917,2023/05/07,星期六露過場地不錯廁所乾凈唯一美中不足朋友睡車上算一帳錢傻眼營主是說汽車停場地算一帳錢這在以往經驗出入交涉軟化氣氛愉快
第一次來到這個營區，讓人看到真的是一個世外桃源的地方，風景非常優美清淨，浴室廁所也可以媲美五星級，寬敞又乾淨，老婆讚不絕口，小朋友也玩的非常盡興，跟營主的孫子玩到不想回家了 該營區有種植高麗菜，而且還有親自醃製的黃金泡菜，清爽爽口非常好吃來這露的人我相信一定會帶個幾罐回去吃，太鮮甜了。營區還有可以體驗做竹筒飯，很好玩。雖然這次沒報名給小朋友玩，但是、營主夫妻真的很好，很客氣的請我們試吃，真的找不出該營區的缺點（只是上山時有點小陡峭比較不好會車），有機會的話一定會在回露的，再次感謝營主夫妻的熱情招待,5,1,1,1,5209,2021/05/07,第一次來到營區真的世外桃源地方風景優美清淨浴室廁所媲美五星級寬敞乾淨老婆讚不絕口小朋友玩盡興營主孫子玩不想回家營區種植高麗菜醃製黃金泡菜清爽爽口吃來這露帶個幾罐回去吃太鮮甜營區體驗做竹筒飯好玩報名小朋友玩營主夫妻真的客氣請試吃真的找不出營區缺點上山時陡峭不好車機會回露感謝營主夫妻熱情招待
森林系露營，有肖楠樹林圍繞，超適合夏天露營!。上山到露營區的路都很好走，10分鐘就可到南庄老街，雖然海拔不高，但是樹夠多，不怕夏天太陽大曝曬，徐風吹來超涼爽! 營區環境舒適，有水有電，浴廁乾淨還有吹風機，營主熱情也超健談，值得再訪!,5,1,1,1,1026,2023/07/10,森林系露營肖楠樹林圍繞超適合夏天露營上山露營區的路走10分鐘可到南庄老街海拔不高樹夠夏天太陽曝曬徐風吹來超涼爽營區環境舒適有水有電浴廁乾淨吹風機營主熱情超健談值得再訪
很美的地方，不怕吵到別人，旁邊還可以玩水喔！,5,1,1,1,776,2018/05/08,美的地方吵到旁邊玩水喔
很不錯、營主管理的很好、廁所乾淨、推薦 …,5,1,1,1,2642,2022/05/07,不錯營主管理廁所乾淨推薦
現場環境可以，但是遇到糟糕的露友，凌晨6點仍舊吵鬧與喧囂。。現場環境可以，但是遇到糟糕的露友，凌晨2點仍舊吵鬧與喧囂打鬧。營主有來但是未能制止，可能營地也沒有規範，景觀很美，但是台灣最醜的景觀一部分是人，有年紀的露友或要車泊要三思。,4,1,1,1,4020,2024/02/16,現場環境糟糕露友凌晨點吵鬧喧囂現場環境糟糕露友凌晨點吵鬧喧囂打鬧營主有未能制止營地規範景觀美台灣最醜景觀一部分年紀露友車泊三思
夏天露營避暑好地方，環境乾淨，空氣好如果營位可在寬鬆一些些更好,4,1,1,1,2082,2018/05/08,夏天露營避暑地方環境乾淨空氣營位寬鬆更好
環境很差，不會推薦。。隔壁帳都是年輕人，到了半夜還很歡樂，營主確沒規勸。設施很一般，浴室沒有24小時熱水，大蛛蛛很多，到處都有結網。,4,1,1,1,1976,2023/12/24,環境很差推薦隔壁帳都年輕人半夜歡樂營主確規勸設施浴室24小時熱水蛛蛛結網
第一趟覺得很棒，一直跟家人推薦這營區很棒第二趟朋友家人一起前往結果有點小失望好幾帳雖然是分開來訂有提前跟老闆聯繫說明是一起的，但到場後來也是硬擠硬排一起，擠沒關係其中一個位子還滿滿的蟑螂旁邊的住家有一個超大聲的運作聲 噠噠噠咚咚咚…..整晚都沒睡浴廁也要規劃一下（浴室與廁所須分開數量也要增加，尖峰時間全都擠在一起 等超久）,2,-1,1,0,316,2023/12/07,第一趟很棒家人推薦營區很棒第二趟朋友家前往失望好幾帳分開來訂有提前老闆到場硬擠硬排擠沒關係位子滿滿的蟑螂旁邊住家超大聲運作聲噠噠噠咚咚整晚睡浴廁規劃浴室廁所須分開數量增加尖峰時間擠超久
風景美麗 空氣清新 營主熱情 小孩的樂活天地,5,1,1,1,4545,2018/05/07,風景美麗空氣清新營主熱情小孩樂活天地
大致上不錯。草地排水不是很好，下比較大的雨就積水陷進去，建議可以鋪一些小石子,4,1,1,1,3144,2018/08/18,不錯草地排水雨積水陷建議鋪小石子
環境5顆星，但C區螞蟻超多，而且一群人喝酒聊天到半夜2點講了幾次都沒效真沒公德心，聽說營主不在這也不會管；營位安排不能挑選但是問說可以選另一邊嗎？竟然回答說有人訂是同一區，環境衛生是真的很乾淨。,3,0,1,0,3640,2023/05/06,環境顆星C區螞蟻超多一群喝酒聊天半夜點講幾次沒效真公德心聽說營主不在這也營位安排挑選問說選另一邊回答說有人訂是區環境衛生真的乾淨
老闆夫妻非常親切，剛好隔壁兩帳是一群大學生，什麼都沒帶，老闆會三不五時來看看他們有什麼需要的，也會過來跟我們說萬一他們晚上太吵可以反映給他，他會處理。營區草皮整理得很漂亮，每帳都有自己的洗滌槽，車停帳邊所以免搬裝備；每一區還有附設一個熱水洗滌槽，對冬天高海拔的營地而言是很必需的，超級貼心不過冰箱沒有每區都有，上下都要走陡坡，幸好我們有自備冰桶。,5,1,1,1,2106,2022/05/07,老闆夫妻親切隔壁兩帳一群大學生沒帶老闆會三不五時說晚上太吵給他他會營區草皮整理很漂亮每帳洗滌槽車停帳邊搬裝備每一區附設熱水洗滌槽冬天高海拔營地必需超級貼心冰箱每區走陡坡幸好自備冰桶
營主一家人很熱心，營地和廁所都很舒適，旁邊有溪流可泡泡腳，還有一堆小雞可愛。,5,1,1,1,1695,2019/09/08,營主一家人熱心營地廁所舒適旁邊溪流泡泡腳一堆小雞可愛
營主夫婦超親切！很幸運第一次露營就來到這麼好的環境、 之後到花蓮露營一定會回訪！,5,1,1,1,344,2021/05/08,營主夫婦超親切幸運第一次露營來到環境花蓮露營回訪
"營主夫婦超級親切就像家人的感覺,下回一定會再來露營,且有威力屋獅友聚樂部及貓頭鷹露營生活館的車貼可以折扣100元喔 …",5,1,1,1,718,2019/05/07,營主夫婦超級親切家人感覺下回再來露營威力屋獅友聚樂部貓頭鷹露營生活館車貼折扣100元喔
1.冰箱有等於沒有，比家用冰箱還小2.飲水機有等於沒有，要裝不行，營主說水龍頭打開煮一煮就可以喝了..3.營位很小4.草皮狀況很糟，幸好沒雨5.簡易的滑草道露出的石頭很危險，簡易自備滑草用具，營區提供的東破西破,1,-1,1,0,1216,2021/05/06,冰箱等於家用冰箱還小飲水機等於要裝不行營主說水龍頭打開煮煮喝營位很小草皮狀況很糟幸好沒雨簡易滑草道露出石頭危險簡易自備滑草用具營區提供東破西破
真的是秘密基地，很怕大家知道就不秘密了！  很棒又很想跟大家推薦~~,5,1,1,1,3220,2021/05/07,真的秘密基地秘密很棒想推薦
營主熱情，場地為階梯分區，碎石地，能看俯看夜景，黃昏有雲霧感，很棒的營區，期待再次前往。,5,1,1,1,1446,2022/03/19,營主熱情場地為階梯分區碎石俯看夜景黃昏雲霧感很棒營區期待前往
"空氣清新,景色好,晚上星星很多,由於有霧沒有看到夜景蠻可惜的,營主杜小姐很熱心客氣,洗澡熱水量大,衛浴乾淨,山路不是很好開要注意一下喔。",5,1,1,1,514,2021/05/09,空氣清新景色晚上星星有霧夜景可惜營主杜小姐熱心客氣洗澡熱水量衛浴乾淨山路開要喔
第一次露營就遇到狂風暴雨，沒能好好體驗營區，但撇除氣候，營區條件都算不錯喔!,5,1,1,1,2939,2018/04/16,第一次露營狂風暴雨好好體驗營區撇除氣候營區條件算不錯喔
