content,rating,type,status,sequence_num,tokenization,text,publishedDate,origin
人員態度不友善，缺乏耐心和專業態度，讓人感到不舒服和不尊重。,1,1,-1,22,,人員態度友善缺乏耐心專業態度感到舒服尊重,2023/11/06,0
露營區的安靜政策根本不受重視，晚間吵雜聲音持續到凌晨，影響他人休息。管理不善，讓人失望。,1,1,-1,45,,區的安靜政策受重視晚間吵雜聲音持續凌晨影響休息管理不善失望,2023/05/06,0
環境美但衛生狀況不佳，廁所髒亂且不足，浴室熱水不足且水溫不穩，排水系統差淹水，焚燒垃圾不應該。,1,1,-1,68,,環境美衛生狀況不佳廁所髒亂浴室熱水水溫穩排水系統差淹水焚燒垃圾,2023/05/06,0
露營地的設施老舊，廁所清潔度差，熱水不穩定，冷水冷到連續兩天，非常不推薦。,2,1,-1,106,,露營地設施老舊廁所清潔度差熱水穩定冷水冷到連續兩天推薦,2022/05/06,0
這真是太糟糕了！總是在爛泥中跋涉，連續三天都無法擺脫，簡直是痛苦至極！沒有路燈的廁所之旅讓人提心吊膽，一路踩著爛泥進去，又踩著爛泥出來，排水系統不健全，地面上還留有雨水，令人看見漂浮的河流，還不斷跳電，熱水更是冷得不堪，這個露營區讓人難以忘懷啊！,1,1,-1,108,,真是太糟糕爛泥中跋涉連續三天擺脫痛苦至極路燈廁所旅讓提心吊膽一路踩著爛泥踩著爛泥排水系統健全地面上還留有雨水令人漂浮河流跳電熱水更是冷得不堪區讓難以忘懷,2022/05/06,0
露營地清潔度待加強，但價格算是合理。,2,1,-1,114,,露營地清潔度價格算是,2022/05/06,0
露營體驗糟糕，設施不完善，照明設備故障，營主不負責任。,1,1,-1,118,,體驗糟糕設施完善照明設備故障營主不負責任,2022/05/06,0
活動空間狹窄，缺乏樹蔭遮陰，衛浴設施不足，排隊洗澡，其他露營區比較好。,2,1,-1,149,,活動空間狹窄缺乏樹蔭遮陰衛浴設施排隊洗澡區,2021/05/06,0
洗碗槽插座太少熱水忽冷忽熱，晚上十點後建議降低音量，隔壁帳房大聲聊天吵到不行。,1,1,-1,176,,洗碗槽插座太少熱水忽冷忽熱晚上十點建議降低音量隔壁帳房大聲聊天吵到不行,2021/05/06,0
露營地的浴室設施實在令人失望，浴室的排水狀況簡直讓人無法忍受，還有洗澡水溫忽冷忽熱，這種狀況讓整個露營體驗大打折扣，希望能改善設施設備，提升服務品質。,1,1,-1,190,,露營地浴室設施實在令人失望浴室排水狀況無法忍受洗澡水溫忽冷忽熱狀況體驗大打折扣希望改善設施設備提升服務品質,2020/05/06,0
這個露營地真的很差，廁所髒死了，還有只有一間有熱水的衛浴，價格卻要收1200。,1,1,-1,204,,露營地真的很差廁所髒死一間熱水衛浴價格收1200,2020/05/06,0
露營地沒有熱水洗澡，廁所髒亂不堪，設施缺乏小朋友遊樂，費用高昂卻沒有價值，是個讓人一生不想再去的雷區。,1,1,-1,205,,露營地熱水洗澡廁所髒亂不堪設施缺乏小朋友遊樂費用高昂價值一生不想雷區,2020/05/06,0
露營區域排水狀況糟糕，下雨後地面滿是泥濘。,2,1,-1,207,,區域排水狀況糟糕下雨地面滿是泥濘,2019/05/06,0
熱水設備不穩定，不建議。,1,1,-1,209,,熱水設備穩定建議,2019/05/06,0
露營地蟻螞蟻多，完全沒有提前通知遊客，讓露營的體驗大打折扣。,1,1,-1,373,,露營地蟻螞蟻提前通知遊客體驗大打折扣,2021/05/06,0
營區管理混亂，設施老舊不完善，露營環境不友善，建議慎重選擇。,1,1,-1,467,,營區管理混亂設施老舊完善環境友善建議慎重選擇,2024/02/06,0
露營地缺乏垃圾桶，整體管理不周全，季風強勁導致設施損毀，地板石頭地難釘營，電壓不足不適合連假露營，需提前考慮。,1,1,-1,482,,露營地缺乏垃圾桶整體管理周全季風強勁導致設施損毀地板石頭地難釘營電壓適合連假需提前,2023/05/06,0
糟糕的露營體驗，充氣床一直露氣，營主態度及口氣極差，帳篷又露氣，只能睡在尖尖石頭的地板上，態度反覆且惡劣，讓人很不推薦這個露營地。,1,1,-1,489,,糟糕體驗充氣床露氣營主態度口氣極差帳篷露氣只能睡尖尖石頭地板態度反覆惡劣推薦露營地,2023/05/06,0
營區的冰箱品質很差，會漏電電人，而且營主處理問題的態度相當消極，很不友善。,1,1,-1,490,,營區冰箱品質很差漏電電人營主態度消極友善,2023/05/06,0
