content,rating,status,type,label,sequence_num,publishedDate,origin,text
臉書私訊跟打電話，而且接電話的女員工不會耐煩，都很用心回覆，裡面有公用飲水機跟冰箱，但不能帶卡拉ok的設備喔。,5,1,1,2,6804,2023/05/09,1,臉書私訊打電話接電話女員工耐煩用心回覆公用飲水機冰箱卡拉ok設備喔
感謝營主一家人的服務及幫忙~~風景好，廁所乾淨。,5,1,1,2,6739,2019/06/03,1,感謝營主一家人服務幫忙風景廁所乾淨
第二次再訪，感覺真舒服。第二次再訪，感覺真舒服，而且這次約了親朋好友一起享受水岸區的舒適，度過了非常愉快的中秋節。,5,1,1,2,4364,2020/10/13,1,第二次再訪感覺真舒服第二次再訪感覺真舒服約親朋好友享受水岸區舒適度過愉快中秋節
營主相當親切，都會來關心，但不打擾露客，雖最底那區易積水，營主一早鏟砂填補讓我們好活動，最後還在營區門口ㄧ一道別！,5,1,1,2,2558,2019/05/07,1,營主親切會來關心打擾露客最底那區易積水營主一早鏟砂填補活動還在營區門口ㄧ道別
覺得這環境還不錯、營主很熱心還養了很多小白兔、看了很舒服，小朋友也很開心，讚,5,1,1,2,5766,2020/05/08,1,環境不錯營主熱心還養小白兔舒服小朋友開心讚
缺點：沒有禁煙，地上煙蒂不少。營地的狗未綁，所以隨處都可能看到狗屎，需小心。整體設備維護狀態稍差，營地夜間照明稍弱優點：風景無敵，空間大，適合放空。浴廁數量多，水量大，蹲式座式都有。生態豐富，各式昆蟲都有。沒有小黑蚊，蚊子也不多，主要是蒼蠅與蜜蜂。有專屬封閉房間吹頭髮，因此夜間不會有吹風機噪音干擾。其他：上山的路其實算寬，但是垂下的樹枝較多，所以會有路很窄的錯覺，夜間駕駛對新手可能會比較有壓力。營地下層有冷凍櫃，上層有冰箱，沒有飲水機與濾水設備。廢水接管處理，非直接排放。平日要預約才有開放營地。有帳篷與露營用品可以付費租用。,4,1,1,2,2247,2019/05/07,1,缺點禁煙地上煙蒂營地狗未綁隨處狗屎需小心整體設備維護狀態稍差營地夜間照明稍弱優點風景無敵空間適合放空浴廁數量水量蹲式座式生態昆蟲小黑蚊蚊子蒼蠅蜜蜂專屬封閉房間吹頭髮夜間吹風機噪音干擾上山路算寬垂下樹枝路很窄錯覺夜間駕駛新手壓力營地下層冷凍櫃上層冰箱飲水機濾水設備廢水接管非排放平日預約開放營地帳篷用品付費租用
營區的路非常坎坷。。位置較為深山，要花一點時間才能抵達。設施均正常。,5,1,1,2,2277,2023/03/06,1,營區路坎坷位置為深山要花一點時間抵達設施
朋友開的 人又很好 必須給個好評有時間一定會去捧場的,5,1,1,2,6308,2024/01/09,1,朋友開給個好評時間捧場
方便 舒適 不被干擾，老闆貼心服務,5,1,1,2,2108,2017/08/14,1,舒適干擾老闆貼心服務
"衛浴有改善空間，洗手台和插座不足（5~6帳配2個洗手台,插座不足.要去的露友，要帶較長的動力線）營主人很好，營區沒什麼蚊子，有預留空間讓孩子有活動空間，生態很棒！打卡送小禮物！",4,1,1,2,3861,2021/05/07,1,衛浴改善空間洗手台插座帳配洗手台插座露友長動力線營主人營區沒什麼蚊子預留空間孩子活動空間生態很棒打卡送禮物
闆娘跟老闆真的非常熱情又好客，對於初次露營的人選這非常適合,5,1,1,2,2639,2019/01/01,1,闆娘老闆真的熱情好客初次人選非常適合
規劃的相當不錯的營地熱水是柴燒的，螞蟻稍多記得攜帶洗碗精、沐浴乳、衛生紙,5,1,1,2,2522,2022/05/07,1,規劃不錯營地熱水柴燒螞蟻稍記得攜帶洗碗精沐浴乳衛生紙
老闆人很好，服務也不錯，衛浴設備及清潔用品一天檢查兩次就很感動，不過…車子馬力不足最好不要來，每一露營區的路都很陡約45度而且都是長坡，不小心會倒退嚕~~,5,1,1,2,1161,2021/05/07,1,老闆服務不錯衛浴設備清潔用品檢查兩次感動車子馬力要來每一區的路陡約45度長坡小心倒退嚕
感覺這地方的是一個很棒的地方，老闆人好棒⋯⋯重點是這地方磁場很好⋯下次ㄧ定要再來⋯朋友們約囉喔⋯⋯,5,1,1,2,6886,2022/05/09,1,感覺地方很棒地方老闆人好棒重點地方磁場下次ㄧ再來朋友約囉喔
很乾淨的營區且沒有超收的問題，最重要的是沒有小黑蚊跟蚊子，風景也好美跟營主反應問題也馬上得到解決超讚。孔雀區的缺點就是要去別區跟人家搶浴室，但視野很不錯,5,1,1,2,5163,2017/09/24,1,乾淨營區超收小黑蚊蚊子風景美營主解決超讚孔雀區的缺點別區搶浴室視野不錯
