content,rating,status,type,label,sequence_num,publishedDate,origin,text
環境整潔乾淨裝飾物任我們使用！暑期活動有供應下午茶適合朋友同遊推薦平日來,5,1,2,2,1193,2023/9/7,1,環境整潔乾淨裝飾物暑期活動供應下午茶適合朋友同遊推薦平日
在網路上看到覺得很漂亮的懶人露營就揪團一起來體驗看看～營區很大分區很明確不會靠太相近而互相受聲音干擾，廁所也是乾濕分離不怕搶廁所。重點是很乾淨，熱水也很夠熱洗的非常舒服還有很貼心的準備女生小物，不怕姨媽來山上臨時買不到棉棉可以用，這裡都有準備！房間內是木頭地板進去前要記得脫鞋子。床上還有鋪電熱毯，如果冬天來也可以開著使用比較溫暖！這裡有準備浴巾但沒有提供一次性的盥洗用品，所以來山上要自己準備唷環保愛地球早餐晚餐非常豐盛，是當地的部落食材製作，非常多元也非常新鮮！放假來這裡露營體驗真的是吃飽睡飽非常滿足工作人員也都很熱情的解說介紹！推推,5,1,2,2,3366,2023/6/8,1,網路上很漂亮懶人揪團一體驗營區很大分區太相近受聲音干擾廁所乾濕分離搶廁所重點乾淨熱水很夠熱洗舒服貼心女生小物姨媽山上臨時買不到棉棉房間內木頭地板前要記得脫鞋子床上鋪電熱毯冬天開著溫暖浴巾提供一次性盥洗用品山上唷環保愛地球早餐晚餐豐盛部落食材製作多元新鮮放假體驗真的吃飽睡飽工作人員熱情解說介紹推推
空氣很新鮮，風景很美，原住民飲食很道地，,5,1,2,2,2886,2024/1/8,1,空氣新鮮風景美原住民飲食很道
可惜雲層很厚，只有灰灰的天空，沒有夕陽…鄰近的風車半夜依然運轉，所以容易被聲音影響入眠的建議帶自己的防噪設備！（帳篷內有附3M那種耳塞）,4,1,2,2,2303,2024-03-19T13:31:15+08:00,1,可惜雲層厚灰灰天空夕陽鄰近風車半夜依然運轉聲音影響入眠建議防噪設備帳篷內有附3M那種耳塞
風景很美，住宿環境很乾淨，食物好吃。11月風大，但好處是沒什麼蚊蟲。,5,1,2,2,2328,2023/11/20 19:42,1,風景美住宿環境乾淨食物好吃11月風大好處沒什麼蚊蟲
舒服的住宿環境、用心的晚餐,5,1,2,2,3902,2023/5/8,1,舒服住宿環境用心晚餐
帳篷舒適 餐點有特色跟美味～工作人員服務態度一級棒～玩得很開心會再訪,5,1,2,2,3667,2023/5/8,1,帳篷舒適餐點特色美味工作人員服務態度一級棒玩得開心再訪
以販售的價位，設施，餐點都還不錯，水準之上，…..大老遠開車來，想好好休息一下，聽聽一些蟲鳴鳥叫的白噪音，這是不錯的地方，但，這次有點遺憾，沒想到有人在休息帳棚區唱卡啦ok，還接大喇叭及麥克風….好聽就算了，五音不全，頻頻走音，搞得整個營區像公園的10元卡啦ok…..期望，園區能針對一些不受歡迎的旅客行為訂定一些規範。讓旅客自制。我知道遊客素質不是園區能掌控的，所以，這問題排除作為評價參考。畢竟告知園區後，也有協助處理及勸導。期待您們更進步。,5,1,2,2,2935,2023/12/8,1,販售價位設施餐點都還不錯水準之上大老遠開車想好好休息聽聽蟲鳴鳥叫噪音這是不錯地方遺憾沒想到有人休息帳棚區唱卡ok還接喇叭麥克風好聽五音不全頻頻走音搞營區公園10元卡ok期望園區受歡迎旅客行為訂定規範旅客自制遊客素質園區掌控排除作為評價參考告知園區協助勸導期待
(五星評論可換啤酒)這次體驗溯溪，總共20幾個人，配8個教練，行程時間約3個小時。整趟下來不會太累或危險，教練們都超嗨也很注意安全，還會幫忙拍照跟帶大家跳水。,5,1,2,2,4563,2022/5/8,1,五星評論可換啤酒體驗溯溪總共20幾個配教練行程時間約小時整趟太累危險教練超嗨注意安全還會幫忙拍照跳水
環境不錯，工作人員服務態度好,5,1,2,2,5291,2021/5/8,1,環境不錯工作人員服務態度
雖然跨年遇上超級寒流，但是營區的工作人員們都很熱情也很親切，很喜歡這裡，推薦給跟我們一樣第一次新手露營的你們！,5,1,2,2,5299,2021/5/8,1,跨年遇上超級寒流營區工作人員熱情親切喜歡推薦給跟第一次新手
服務人員超親切住宿乾淨舒服早餐選擇算多樣還有現榨研磨果汁機手做課程超好玩要記得帶防蚊液記得自備冰塊還有一顆放鬆的,5,1,2,2,654,2023/6/7,1,服務人員超親切住宿乾淨舒服早餐選擇算多樣現榨研磨果汁機手做課程超好玩記得帶防蚊液記得自備冰塊一顆放鬆
園區尚未建設完全，期待規劃完畢後的樣貌，但帳外需要做清潔，不然都看不見外面景色有點可惜,3,0,2,1,1055,2022-07-26T04:07:37+08:00,1,園區尚未建設期待規劃完畢樣貌帳外做清潔看不見外面景色可惜
對喜歡刺激活動者來說，這裡的漂流或沙灘車，僅僅是初級體驗而已，完全不過癮，對帶小朋友全家出遊的人來說，走到戶外接觸大自然，留下共同經歷美好回憶，那就值了,3,0,2,1,4631,2021/5/8,1,喜歡刺激活動漂流沙灘車初級體驗過癮對帶小朋友全家出遊走戶外接觸大自然留下經歷美好回憶值
