content,type,label
很舒服的露營空間，懶人帳篷很舒適，廁所空間也很乾淨，,2,
覺得很可惜也很失望佔地面積很大 設施建設跟維護不足戶外溫泉根本沒有開放過只有熱水泡腳池吃食也一般般Cp值非常低即使工作人員非常好但硬體設備真的很不推只能一整天在那邊放空⋯⋯,2,
"環境優美，設備齊全。適合帶小孩來放電和大人聚會。場內服務人員都很親切。特別是老闆更是服務態度超好、超nice,大推！！！",2,
沒甚麼景 但是 帳篷設備不錯,2,
下訂後全款刷卡並且已扣款7000多後，才收到email通知當天因草皮維修所以取消，除了要等待系統退款之外還連帶影響後續行程，覺得很遺憾。,2,
環境優美，有備食物，可準備飲料上山～帳內沒有冷氣，但有附電扇、防蚊燈及除濕機，晚上也不會熱，讚～,2,
附的餐點還不錯，只是晚上睡覺附近野狗感覺很多，整個晚上都會聽到狗的叫聲,2,
這地方太好玩了，吃飽喝足，看風景，整個超放鬆,2,
不用帶裝備的懶人露營體驗只需要自備毛巾跟拖鞋就可以輕鬆露營了 .ᐟ.ᐟ.ᐟ到露營區後會準備迎賓下午茶可以享用有職人的手作課程體驗，今天我們是體驗山中森林調香以及皮革小馬晚餐是龍蝦火鍋～非常的豐盛21:30會提供宵夜銀耳湯早餐是經典大早餐太妃糖紅茶真的好喝*晚上溫差大建議帶外套or小毯*第一次的懶人露營真的好難忘@@早上好天氣下午突然大雷雨暴雨路上大淹水看不到前車狀況整個超危險山上一度無法前行落石樹枝都倒在路上,2,
性價比不高。平均二人晚早餐5700要什麼沒什麼備品極為不足 （要加床沒有 加棉被也沒）清潔環境也必須加強不知道五顆星評價怎來的,2,
沒有蚊子很棒帳篷乾淨舒適風景很好很適合家庭旅遊天冷帳篷內還有暖氣很溫暖A區晚上建議自備led燈條,2,
入住後才告知水上遊樂設施關閉，唯一賣點沒了後只剩滿滿傻眼，2800沒沐浴精 洗髮精 浴巾  吹風機還要10元投幣，明明沒多少人住空間足夠多一台車還要加收200元，只能說真的死要錢又沒給人娛樂體驗還收高價的爛店,2,
環境好，有漂亮的湖可愛的貓，美味的餐點，服務人員親切友善，就是有點蚊子。,2,
"因應營地2021年起不開放夜衝的規定，出發前有先致電給營地，確認可以讓我們這群來自台中高雄等遠距離的朋友，提早11點入場。但當我們11:30抵達現場時，工作人員卻不讓我們進場，堅持12點才開放入場！？然後入場後，工作人員又過來強調說，隔日必須要再11點前離場。直到我們出示該營區在網路上的退場時間規定，「若超過下午2點前未離場，每人酌收100元之後」，工作人員才不再與我們爭執。附帶一提，剛剛上網在確認一下退場規定，發現營區已經修改退場規定至下午1點，而非原本的2點。必須要說，我們不是業配，只是愛好露營，享受大自然的一群人。我們願意配合園方的任何規定，但請不要說一套作一套。既然在電話中告知可以提前至11點讓我們入場，為何到現場時卻堅持不讓我們入場呢？明明該位置也是空著的呀！既然這樣，當初在電話中就不要答應我們啊。既然收費標準比其他營區高，我們當然希望得到的是相對應的服務品質與環境！！My 50th camping, amazing memory!",2,
園區真的很乾淨 環境也很棒 很喜歡造景 餐點也不錯 情人屋的空間太小 但睡的也很舒適 希望未來有雙人的免搭帳帳篷可以入住,2,
以價位來說貴，營區那麼多帳，冰箱小的離譜，也完全找不到飲水機；比較有問題是一個叫**姐工作人員，不但嫌我們吵，每次進出經過不是瞪我們，就是直接說，你們真的很吵，請問來玩的難道要輕聲細語嗎？如果嫌客人在工作人員休息室外活動太吵，店家不是應該再重新規劃營區配置嗎？把整個營區塞的滿滿的，再來嫌客人吵，花錢來看*姐臉色，不推,2,
第一次去帳數不多印象還不錯，故第二次再來，這次營區帳數幾乎全滿，就發現營區管理上沒有很好，讓我印象深刻的糟，廁所很髒、又遇到深夜吵鬧的團體，半夜還有鞭炮聲、汽車來來回回進出，這顆一顆星就留給美麗的天氣及風景。,2,
服務員樂樂很熱情但以價格來看 園區設施及餐點有待加強，尤其是下午茶品質,2,
整潔先給滿分，區內廁所、衛浴都很乾淨，唯戲水池的水質普普外，其餘環境整潔部分不錯，每帳旁都有洗手台附洗碗精及一般類垃圾桶，隔幾公尺就有一個垃圾分類區，都在帳篷後方並用木板間隔，不影響觀感，這次入住的是狩獵E區帳篷，車可以直接停在帳篷旁邊很方便也固的到，1張長桌、4張露營椅、卡式爐與簡單的餐具(大湯匙、夾子)，房內一般飯店床+冷氣+小茶几，房內勿飲食，海就在營區旁，晚上睡覺可以聽到海浪拍打聲，服務人員態度親切但要主要小朋友有沒有不小心跑到車道上，以上提供大家參考,2,
營區生態豐富；適合少帳包區不受干擾，營本部有活動器材提供打發時間，還有原住民風味餐，超棒的！,2,
#不推租帳的品質糟（照片：發霉/膠條脫掉）還把內帳說是外帳，是雨水太大才濕帳到帳內租帳含搭收，但夜衝當晚7點我們要出發前再三跟營主太太確認營主太太再三強調會有帳篷可以睡！到營地後，癡癡等到過凌晨一點多了！營主太太才說不確定營主是否趕得回來搭帳,2,
今天去的感想是，給4或5星的可能是有露營的人，如果沒有要露營的我想說，不太值得去，沒幾分鐘就走完一圈，大部分設施都沒完成，寫幾度的溫泉池裡面只有綠綠不流通的水，感覺沒完工，小吃旁邊的泡腳池不大，感覺也沒很乾淨，旁邊的整排商店及咖啡今天去剛好都沒開，不知道是不是常態，小孩想玩溜滑梯，結果天氣沒下雨溜滑梯都水，小黑蚊頗多，沒太多設施可玩，今天去有些孔蓋沒蓋好，帶小朋友去要稍微注意，有點可惜了,2,
露營區滿悠閒的，但是一帳直能一台車，多一台多收200，浴室沒有盥洗用具，吹風機要而外收費。蠻不推的洗手間請準備一些沐浴乳,2,
露營10幾年，第一次露到自己搭帳，毛小孩要收錢的。。。服務：1,2,
美不勝收的景色，加上可愛的營貓與營主的用心維護，如何讓人不愛 …,2,
很舒服的地方讓人遠離城市的喧囂好好體驗大自然的氛圍讓平時習慣繁忙的生活自己 在這裡慢下來好好感受自己 享受自己手作課程老師幽默風趣很會帶動氣氛餐點很精緻且用心小管家也是充滿熱情非常樂意幫大家解決問題,2,
服務態度很差！很懷疑評價真假因為訂房詢問口氣非常不佳,2,
回覆03/05體驗，如果你們有兩個同樣的地方都叫清水那方露營區那一定是我們跑錯地方，但如果沒有應該就是我們一家八口眼睛都沒帶出門，沒看到1.(泡腳池)這個牌子掛在牆壁上，2.看不出來池子灰塵厚厚一層3.看不出來池子裏面有水，我們卻以為沒水,2,
這露營區進出口道路跟腳踏車步道一樣道路腳踏車經過車衝出來差點被擊落有夠沒品的駕駛進出口道路只能一樣嗎？車子出來看一下不行嗎？經過的人請注意安全,2,
入住期間非常愉快下次會再去低工作人員服務的非常好,2,
工作人員服務親切，但浴廁環境要多加改善,2,
露營區真的好美. 配備足全，有缺的物品都可以跟人員反應 會幫你準備。營區嚮導也好親切。大學畢業8年後 每年的一聚，在這裏 真的很棒,2,
工作人員的服務不錯，但帳蓬都發霉了⋯⋯,2,
非假日人煙稀少玩起來比較悠遊自在 也不會人擠人 真的是一個非常適合放鬆的好地方 飲料可以喝到飽都是現打的真的很讚如果沒有帶防蚊液或者是文香現場都有準備也不用自己帶喔ok的 水不夠喝都可以去跟櫃台要 房間裡面都有準備小點心如果吃完了也可以跟櫃台要也會給你的,2,
帳篷空間大容納6人有逾，鍋具刀具餐具齊全，自煮也非常方便，公共區域維持整潔，會推薦朋友來體驗,2,
環境優美、餐食很棒，不管是牛肉麵、pizza、義大利麵⋯都很不錯！唯一就是環境整潔是最大的問題，餐廳的椅子上每一張都是髒的、頭髮，戶外更不用說，不管是桌子還是任何一處的帳篷區、浴洗區洗手台都是髒亂～地方大歸大整理起來我想應該是要大把人力資源！看了就完全不想來住了⋯⋯！,2,
小管家服務態度佳，而且也跟客人很有互動！餐點也很好吃，完全符合廢人模式露營～,2,
環境好、設備齊全、很適合親朋好友齊聚一起露營,2,
體驗天然的漂漂河活動，真的很棒!怕水的朋友，真的可以來玩玩!教練們，人好服務也好，帶著大家玩，也很安全，不管是小朋友，還是大朋友都玩得不亦樂乎,2,
沒想到南投有這樣的秘境～快速道路下來不遠，離紙教堂與許多景點也好近～好方便～老闆給的旅宿空間實在有夠奢侈的，房間內再舖睡袋還可以加10個人吧！白色營地系的設計+黃色暖光源，很舒服～這裡很適合三五好友甚至三五十好友成群來包場，老闆會討論客製化的行程，晚上的薩克斯風表演，我們團長都忍不住上去高歌一曲，配上海尼根啤酒喝到飽，整團人不亦樂乎，玩樂到深夜～目前還沒有整體完工，但看見設計中有蠻長的花草步道區，小魚泡水野溪區，我們三五十好友已經相約搭配週邊的景點，再來包場嗨了！,2,
好朋友揪團，老婆第一露，窮露的我裝備不足，還好這營地完善的沒話說，浴室竟然有21間，租借的帳棚還是Coleman ，很舒服的一露。,2,
服務人員態度很好，雖然園區內很多帳，但是不會有擁擠的感覺，整個氣氛營造的chill晚上點燈跟小營火很不錯，浴室廁所數量也很多，而且也很乾淨，園區內也有很多小朋友可以玩的設施，很適合親子一起出遊。,2,
遇花期可賞花超棒的地方，房間寬敞舒適，人員服務好，但夜間超過11點還有工作人員騎著機車在園區內不ok，機車聲音顯的吵雜不舒服,2,
來這裡 有的吃 有的玩 放鬆的好地方Eva DIY教學 好棒棒 …,2,
我跟爸媽都覺得這邊蠻棒的，工作人員儒儒都蠻熱心協助！風景好美玩水玩得很盡興,2,
老闆一家人很好，我們去的時候是週日，剛好包場，很舒適。露營車很整潔，我們很喜歡,2,
老闆很熱情山上環境很好 風景美 且天氣很涼爽 帳篷也很美很好拍老闆說一年有200天左右會起霧要加強的部分：因為價格不便宜，建議加強打掃品質，帳篷內有許多上個客人留下的餅乾屑及垃圾未清理乾淨，廁所有許多蟲蟲蜘蛛網（畢竟大自然環境），但因為是高級露營，建議還是加強打掃,2,
先說總結：cp值很低google地址有誤，導到一個工地網站用的很漂亮，但實際上很普通。建議冬天不要來，極冷，帳篷裡面只有床墊跟棉被枕頭，附的小暖爐起不了作用。廁所臭臭的，也離帳篷有點距離，去廁所要結伴。以為是年輕人經營的，結果大部分好像都上了年紀，幫忙點交的年輕人冷淡到一個不行。可以裝飾帳篷的掛飾有些還發霉。,2,
家族旅遊，三家子的人，各住一台露營車！彩繪露營車的溜滑梯讓小孩超開心，獨立的乾濕分離浴室讓露營的舒適度很加分！當天玩到獨木舟也玩到溜索相當過癮，雖然遇到下點小雨，但不減興致，還算值得推薦唷！,2,
10點過後直接把營區大門鎖起來 不讓人出去 別鬧了~萬一火災怎麼辦?大家死在裡面? 夜班偷懶想睡覺不是這樣鬧的 我想睡覺所以直接把門鎖起來不用看門 那還值個屁夜班?,2,
很適合大家一起來玩的地方 很棒烤肉也超好吃呦～,2,
食物、環境、服務很普通，請大家多多參考其它的低評價，挺真實，來之前沒有看評論，單純看網路上的美照～,2,
第二次來還帶家人來，老闆忘了做兩杯熱飲，告訴老闆後先得到有嗎？的答案，後面要請他看訂單的時候才又說，有。正在做了。從頭到尾到上桌，一句道歉都沒有。這也是最後一次來了！服務：1,2,
很棒的住宿體驗，服務人員曉玲小姐很親切，時刻注意每組客人的情況，有任何問題也會盡快解決，晚餐餐點超豐富~~,2,
房間空間大，海景很漂亮，晚上可以烤肉，還有很多可愛的貓咪^_^早餐超好吃推薦大家來這邊露營～ …,2,
每帳前有自己的洗手台很方便。晚上如果別帳的旅客比較大聲的話，會有點干擾睡覺。,2,
有冷氣 乾淨 漂亮 早餐下午茶OK 農場主人很有原則 晚上會關門不要跑太遠,2,
環境很好！服務很好！食物很美味！活動也很有趣！但可能因為活動太多太緊湊，少了點露營該有的放空，而且相對能使用五星級帳篷的時間偏短,2,
會在來第二次的露營區！工作人員親切有禮貌，環境也非常乾淨烤肉非常好吃！跨年還有拉炮可以放氣氛超級好！還有空拍機幫我們拍照！推推大家來！！！,2,
營地舒適開闊，風景秀麗，河岸舒服，可溪釣，玩漂漂河、沙灘車，衛浴乾淨且乾濕分離，如果訂的到一定要來！,2,
可以讓你不需要準備太多東西的露營，讓你舒服又可以自在放鬆，非常推薦。,2,
帳篷很大不用彎腰駝背爬來爬去，服務人員都非常貼心親切,2,
半夜約快一點不知道時什麼動物來亂叫，之後，附近四五隻狗追來狂吠，過沒多久又反覆吠，一整晚吵的剛入睡又吵醒，隔天再餐廳看到晚上跑來的狗兒，家人雖說兒時來保護我們的，但叫三四次真的擾人睡眠附近沒有什麼美麗景點園區內除了幾顆老長的柚子樹，沒有其他可可拍照的植栽這樣收費 實在有點太誇張,2,
地理位址好，停車方便，人員服務態度也不錯最大的缺點就是餐點分量，不知道為什麼那麼少，五個人合吃一碗白飯...,2,
營主放任狗追車。有3隻白色、戴項圈的狗晚上看到車就追，還好我是開車，要是遇到騎摩車緊張出意外，是不是就不承認那是你的狗了？下次經過一定錄影檢舉。,2,
來這裏渡假實在太棒了，有許多貼心的活動，早起還有機會看到藍鵲喔～,2,
很舒服的營區生態維持的不錯唷超大隻的蝴蝶剛出土的蟬好可愛天然泉水讓孩子們玩的超盡興河水生態也很棒溪蟹跟溪蝦都好大隻怕狗的人要注意就是了營區內有狗白天是關起來的晚上有看到走動的狗狗搭營的地方在收帳時有淡淡的狗便便味道,2,
很適合露營的好地方！好山好水好好玩明年想體驗飄飄河許願廁所可以多一點！近一點衛浴設備很乾淨會想再來,2,
營地腹地比想像中小很多，帳篷還算舒適但距離盥洗區距離太遠，且盥洗區是鐵皮貨櫃改建的，現場看到有點傻眼......以這種價位的營地來說不太ok。整體價格太高CP值不佳不太推薦 …,2,
餐飲棒！露營車房間超舒適，浴室跟飯店一樣還有浴缸！！小孩玩遊樂設施很開心！很超值的行程,2,
Eva帶我們一起手作香氛蠟燭很療癒薰衣草精油很香 …,2,
營區寛敞明亮，綠意盎然，近國六交通方便，是家族旅遊，朋友聚會的好地方，值得推薦。,2,
風景好 氣氛佳 親近大自然那麼優質的露營區能不推嗎?,2,
單純來吃飯逛園區，門票只要一百，其實可以晃的就泡腳區跟稍微走一下園區，所以有目的性的來可能比較適合。需要用餐的或下午茶裡面也是有餐廳，只是要注意營業時間，餐廳內有和服租借拍照的項目。吃的就普普，所以不介紹。但後來發現當天的下午茶的餐點似乎不錯，可惜太晚發現，要點時已經沒有了。裡面有泡腳池可以泡腳，平日來沒什麼人，可以四處晃晃，有小孩的更適合來，不少遊樂器材，但可能要等比較不熱時，還有一個偏高的溜滑梯。這裡也適合團體入內聚會烤肉。,2,
這次入住他們新蓋一區的空中花園區，不能用明火烤肉，但只能用卡式爐？！露營車之間距離非常的近就算了，還好遇到的鄰居人都很nice，運氣不好的遇到了下大雨，狂風暴雨的那一種，我們的車門口直接下起小雨，進門就淋濕，旁邊遮雨棚也不夠遮，問工作人員是否有提供因大雨的臨時檔雨的帆布之類等應變挫施，沒有！！！！烤肉煮東西的時候完全都被打濕，濕透的那種，一個晚上露營車要5000多，朋友的8800， 卻連遮雨棚都不願意做的完善，每個人都變落湯雞，回去應該差不多也要感冒了 沒去過營區晚上10點半還來舉牌，請不要喧嘩，露營不就是要歡樂？！烤肉也就這樣結束了，不知道到底來幹嘛的，也許其他區的沒這種感覺，但入住他們所謂空中花園，真的很慘，下大雨，天氣因素，沒辦法，但若是高級露營車，就要有應變挫施吧！早餐卷少一張，就不能吃，認卷不認人，昨天check in就已大雨，搞好小孩安頓好就一身狼備，只是少一張，就要自付210？！重點園區是謝絕訪客，那住裡面的不就是住客嗎？是在哈嘍只覺的這種豪華露營，對於應變挫施要更想對玩善。,2,
讓人很舒服的營地！最棒的是還有狩獵帳篷可以不用帶任何帳篷只要帶著行李盥洗用具就可以直接入住喔！,2,
還不錯，可惜衛浴設備水忽冷忽熱早上風景很美還是值得來,2,
環境乾淨整齊 服務人員也很親切 食物超級無敵好吃 小而精緻的那種,2,
DIY手作蠻有趣晚餐火鍋味道一般房間床稍低沒有墊高比較不適合年長者廁所空間不大非乾濕分離 穿褲子稍微不方便環境整體來說對年長者或行動不便的不是很友善,2,
曉玲服務讚讚還有帶位的先生很幽默值得再來一次,2,
很美的營區，有夜景，有雲海，如果天氣好，還有火紅的夕陽，泡壺茶，讓自己好好的放空空,2,
百萬夜景加上非常舒服的露營區，給人放鬆舒適的環境手作體驗讓整個露營增加豐富性～謝謝小管家們的陪伴及服務南投露營只推薦山思雲想 …,2,
疫情期間影響各行業難得現在趨緩有機會出去玩看到夏天玩水方案很開心出發前往整趟玩完非常不划算不推薦大家去~~~100元入園+50元停車費下午四點游泳池就沒水玩溫泉區也是四點多就沒水也沒沖水區，廁所還沒水遊客和小朋友一堆就就開始噴農藥超傻眼~~~,2,
偉大的主人。對我們一大群小學生非常包容。超級乾淨、安全、非常乾淨的浴室、廁所、淋浴。現場有冰箱可存放食物。音響系統可讓您播放手機音樂。  …,2,
環境很好，可以很輕鬆愜意的度過時光，夜裡還可以看到星星，老闆也很親切，很值得在去一次,2,
對喜歡刺激活動者來說，這裡的漂流或沙灘車，僅僅是初級體驗而已，完全不過癮，對帶小朋友全家出遊的人來說，走到戶外接觸大自然，留下共同經歷美好回憶，那就值了,2,
帳篷有暖氣，住起來蠻舒服的，不過負責水彈的人有點敷衍，第二場以後連設備都不幫忙設定，扣一顆星,2,
山不在高，有吃則行雲不在多，有酒則飲樂不思蜀，不想上班山思雲想，等你來玩在這裡，我三十而立帳篷的熱鬧，飲酒的歡笑，還有醉後的嘔吐一切那麼隨緣、自然、開心精油咖啡明信片的手作課程很有趣學長的味道讓我難以忘懷早晨的陽光灑在白色帆布的帳篷上身為網美的你不會失望五星吹捧，下次再來,2,
這裏離成功市區不遠，開車很容易就可以到達，附近也不像一般露營地偏僻，一出巷口就有一間全家～房間窗戶一看出去就是大海，房間裡面的設施都很新，看得出老闆很用心在維持，推薦大家到台東玩可以來這邊住～,2,
租個協力車 輪胎沒風反應一下態度不是很好,2,
工作人員很親切，配合國家公園規範建造的露營環境，保留了大自然的原貌！很棒的地方 …,2,
老闆娘人非常好，親力親為，帶我們認識這片美麗的凍頂。餐點非常好吃，無論是下午茶點心、早餐、燒肉，都非常美味。,2,
很有趣的體驗很適合第一次來日月潭的人很方便 不用自己忙來忙去,2,
適合家人及朋友聚會的地方，設備完善舒適，建議可自行多帶食物過去，整體上還不錯。,2,
老闆很帥，服務很好，態度親近！也有非常棒的美景，餐點CP值超高 …,2,
