content,status,type,label
搭完營後下一場大雨，地上排水不良，雨水從上面及下面漫進帳篷，連地上的墊子都濕透了，還好氣墊床比較高，免於‘‘濕身’’。最扯的是沒有熱水，雨天搭帳本想洗個熱水澡，七搞八搞，才來熱水，在浴室等了近30分鐘。白天蒼蠅多，白天晚上蚊子多，至少20包起跳，露過65次，最差的一次。,-1,1,0
俯瞰圖看不出來地形的落差 所以露營時分配到的場地非常的受限 三天兩夜都有下雨 等於要收帳時非常非常的麻煩,0,1,1
露營區位於海報900公尺大阿里山區，園區孕育虎頭蘭與軛瓣蘭，是全台唯一結合蘭花的露營區。可遠眺大武山、公田夕陽與嘉義夜景，如此超讚美景，值得一來再來。,1,1,2
一車100元是固定價格，去瀑布還需另外付費嗎？,0,1,1
第一次露營到那麼不爽環境很差  規劃很差被排在最下面營位的客人離衛浴超級遠==冰箱也只有一台 而且還很破 也沒在整理 很臭根本沒位子冰東西草地感覺也沒在照顧  有很多坑洞還有很多螞蟻 小黑蚊  反正超不推 不要來☺️,-1,1,0
浴室缺乏衛生紙和吹風機，冷水洗澡，不能同時開熱水，廁所的衛生紙堆滿出來了，垃圾袋從未被及時更換。,0,1,1
風景真的很漂亮的營地，夕陽一絕，隔天早上還聽到老鷹的叫聲（我猜啦，跟電視叫的一樣）。營地打理的很用心，衛浴設備還加裝紗網，洗澡和如廁都不用擔心小蟲蟲參觀，入住前也會提醒注意事項。,1,1,2
老闆很客氣，天氣比神木群區好，推薦,1,1,2
浴室水不夠熱，H區設計不好，無活動空間，景觀亦不佳,1,1,2
我只能說一言難盡！還要自己打掃溜滑梯給小孩玩...溜滑梯完全沒在理...全是青苔.....一堆蜘蛛...雨棚也一堆...導致帳篷裡都會跑蜘蛛進去...真的是無敵髒...熱水也非常的不ok！水壓超低...重點是環境沒整理還收那麼多錢....非常的...傻眼！,-1,1,0
環境優美，草皮尚優，老營主熱情好客，衛浴乾淨寬敞。唯獨遇到隔壁惡露友整晚抽煙喝酒說話大聲，跟小營主說(還是值班工讀生？)結果態度消極表示，露友有個人自由，無法約束……無奈孩子都睡著了，在帳篷中2個孩子吸著2手菸，俺是久咳無法入睡，直到凌晨4點多隔壁惡露客關燈睡覺才短暫休息。隔天一早便速速收拾(怕裝備被隔壁偷)，等待老夫妻營主集合帶我們去，荖濃溪戲水，回營地後換件衣服後離開。也算是還不錯的收尾。營地100分老夫妻100分果園80分晚上值班人員處事0分「有機」的農場能放任露客抽煙，煙蒂煙灰屑到處飛嘛？這點或許營地管理者需三思。如果營地有制定規範或晚上值班人員能夠有魄力制止惡露友的不良行為，或許就是理想95分的營地了。,-1,1,0
B2區的蟑螂數量相當多，有時還能嗅到狗屎的氣味。,-1,1,0
2020/7-第12露-迪卡儂  在露營時好巧碰到高中老朋友也在是附近，緣分真是奇妙,1,1,2
營地的草皆已長得有些凌亂了，需要整理一番。,-1,1,0
這次露營同伴在洗澡時遭到拍攝，建議管理營區的廁所區域應該增強監視設施，以免再次發生類似事件，謝謝。,-1,1,0
很乾淨的營區。營主會不時的打掃環境。進溪邊。。如有飲水機更好。,1,1,2
可以一直唱到天亮！,-1,1,0
長青谷的地理位置優越、草皮如絲，溪水清澈見底，是一個理想的露營勝地。然而，可惜的是營區的管理似乎欠缺用心，設施老舊、維護不足，廁所和洗澡間沒有區分開來，可用數量也很有限，而且距離營位遠。此外，營區充斥蚊蟲和蟑螂，顯示管理者對露營客需求並不十分重視。如果只是想享受夏日燒烤和戲水的樂趣，這裡可能還算合適。,0,1,1
可能有人在園區放置捕獸夾，這樣的行為可能違法，應該檢舉。帶寵物前往的人要小心了。,-1,1,0
可惜造訪這天未開放，聽說只有週末才對外開放，營地整理得相當不錯，規模也相當大，不知道平日為什麼不對外開放。,0,1,1
沐浴時水溫時冷時熱，水壓不穩，真的很難受啊....,-1,1,0
元旦下雨很不舒服。上層區域規劃的不是很好，浴廁普通，跟去年來感受差很多。,0,1,1
老闆很親切，有棚區營位還蠻大的，放空好地方。,1,1,2
F區露營區的廁所環境實在是令人擔憂，諸多不衛生的狀況，簡直就像被遺棄般，洗手檯堆滿了落葉，旁邊的小溪長滿了雜草，蚊蟲多到不勝列舉。洗澡間更是嚴重缺乏熱水，水壓也很弱。晚上若有疑問找不到營主，令人感到相當沮喪。整體而言，這是一個令人非常不愉快的露營環境。,-1,1,0
場地排水有問題，會嚴重“積水“，反應之後，只能自求多福，沒人理！！,-1,1,0
"1. 設施破舊，衛生狀況差，廁所浴室根本沒有定期清潔，還留有上一位客人的用品，入住二晚根本沒人整理，地板上還有殘留物品，要自己清理才能使用。
   
2. 浴室有四間，只有兩間有熱水可洗澡，等待超過五分鐘都沒熱水，等到有熱水時水壓不穩定，溫度忽冷忽熱，難以調節到適合的溫度，尤其在寒冷的夜晚無法好好洗澡。

3. 向管理單位反應以上問題，卻被敷衍回應不要挑剔，環境雖舊小不是問題，最基本的乾淨卻無法提供，提出對清潔度的要求被忽視。不能接受這樣的服務，不會再次光顧這個營區。",0,1,1
"環境優美，但插座稍嫌不足。 

這裡環境很好，但插座有點不夠。 

環境很棒，只是插座不夠。",0,1,1
非常天然的地方。如題，毛蟲非常多，夜間任何昆蟲都有可能會出現，害怕昆蟲的要三思。空氣清新，但無景。營主收垃圾及清潔浴廁很辛勤。,0,1,1
這個露營場地的環境比較老舊，住宿空間也相對擁擠，讓人難以享受到露營的悠閒感。不過營主倒是很熱心親切，讓人感到溫暖。,0,1,1
場地廁所乾淨明亮，有冷藏櫃，飲水機冷熱水方便，不過有一些蚊子與蒼蠅要做好措施，大致上不錯。,1,1,2
這個營地的排水真的糟糕透了。我並不求有著壯麗的大山大景，只希望不要面對屋頂滲水的問題。也不求完全沒有風吹雨打，只希望不要因為泥濘而不堪。若你喜歡挑剔營位面積狹小的地方，一旦下雨就整體泡在爛泥裡搬運沾滿泥濘的裝備，那麼這裡絕對是你的首選。,-1,1,0
小朋友都玩得很開心。A區營地希望可以平坦一點，斜坡太多，其實有些地方不好搭洗手台照明不足，晚上洗碗時會覺得看不到,1,1,2
淋浴間的熱水真的太不穩定了。上次在女衛浴洗澡的時候，小朋友都已經脫光了，結果一直等不到熱水，打給營主才知道可能是瓦斯快沒了，並告知隔天會來修理。換了另一間淋浴間，在等了很久才有熱水，但是熱水出來沒多久就又變成冷水，要再等很久才有熱水。隔天一樣冷一樣熱，水溫超級不穩定，還剛好碰上寒流，真的是冷得太讓人受不了了。如果心臟不好的話，根本承受不了這樣的波動，實在是太驚險了。,0,1,1
環境乾淨。環境乾淨，但溜滑梯的樓梯破損會讓孩子遊玩時造成危險，建議盡早修復，白天還是有小黑蚊，晚上睡覺時，鄰近的狗狗真的叫整晚......,1,1,2
不用等太晚了，卻沒有熱水可以洗澡。因為換了瓦斯熱水器，卻又沒有準備燒柴。現在卻又沒有瓦斯可以燒熱水了。,0,1,1
規劃完善的營地，離南庄老街不遠但又不會被塵囂打擾，雖然遇到雨天，但年輕營主夫婦的烘焙手藝及熱情整個溫暖了我們一家人的身心靈，我們一家大小都十分滿足這一次的露營行程，衛浴設備既寬敞又乾淨，熱水量足夠，實在是沒有什麼好挑剔的了！記得麵包一定要先預訂，吃了喜歡還可以提供宅配外送到府喔,1,1,2
很愉悅的一次露營體驗！。地方不太好到達，有些大陡坡要陡上或陡下，要考量自身車輛的性能，不過景色跟環境優美，營主人也很好，一切都值得！是個會想再來的營區！,1,1,2
2023.08 午後大雨的日子草地下雨不少處積水，需善用塑膠墊來避開。C區樹蔭涼爽不容易曬到太陽；這次在D區草皮空曠旁有遮蔭大樹；AB區視野較遼闊可看近山。廁所衛浴男女分開、挺乾淨，不過熱水忽冷忽熱。另有兩隻結紮貓咪，可愛！,1,1,2
交通算蠻方便的，不用開什麼山路一下就到了。,1,1,2
在這非常放鬆，非常安靜還可以聽到溪流的聲音。重點浴廁很乾淨，水壓也很穩，營主很熱情，很棒的露營體驗。💜💜 …,1,1,2
該營區缺乏管理人員且設施不完善，如缺乏冰箱、廁所沒水、浴室無熱水等問題。流理臺水管堵塞，草坪區維護不善，雜草叢生。收費與環境條件不成比例，不值得再次光顧。,-1,1,0
廁所真的很髒亂。營區前的停車位，被烤肉區的人停去，告訴業者也沒有處理，烤肉的人還跑到我們營位升火，真的很誇張。,0,1,1
燒烤人潮眾多，露營地不太適合。,0,1,1
原始原味!!體驗原始的好去處!,1,1,2
營區草皮稍長，可能因為營主忙碌無法整理。不過，重點是蚱蜢數量爆多！對於密集恐懼者可能無法忍受。總體環境還算不錯，有溪流可戲水，但請注意安全。熱水溫度不穩定，時冷時熱是個問題。希望營主能整理好後再訪。,0,1,1
