,content,status,type,label
8010,雨棚區木板架高環境舒適乾燥，上午面景左方有太陽但有遮陽簾，晚上會有很多小蟲代表環境無汙染，燈不要點太多，營主夫婦親切，浴廁乾淨+小便斗，大推洗手台有熱水，洗鍋碗超讚，環境照顧超好，正好有看到營主夫婦推著除草機在除草，進場路面只有陡字形容，由B區上去更陡，穿拖鞋都爬不太上去，各區都有種植櫻花，花季時可在櫻花下搭帳，營區沒有飲水機，所以要自備飲水或加熱山泉水，一個很棒的營區,1,1,2
1822,很美好的回憶。場地雖不大，但一應俱全，尤其是廁所衛浴很大很乾淨，熱水又夠熱，這真的是我最在意的地方！有鬼（老闆名字發音）營主非常熱血，會帶入住的營友體驗削竹籤烤山豬肉，真心覺得老闆可以收費，要不很賠本啊～附近離苗栗老街也不遠，開車20分鐘路程，不用擔心缺什麼。晚上天氣好營主還會帶看星星跟雲海，真的是很好的回憶（男友還偷偷跟我說謝謝我訂這地方^_^）。,1,1,2
9446,營地很ＯＫ，但５帳共用２處電箱及洗菜枱，不夠用。另廁所浴室ＯＫ，但屋頂為透光罩，夏天在裡面，很像＜烤箱＞太熱了。廁所前洗手枱只有１個小小的，不好用又不足夠。,0,1,1
521,服務親切。位於公路旁，車聲較大,1,1,2
15340,很棒的露營地！所有的設施都很乾淨而且有用。店主非常好。帶上你的帳篷和所有你需要的東西，你絕對可以在這裡度過一段愉快的時光。,1,1,2
12723,很棒的露營區老闆跟老闆娘都很親切營區佈置的很可愛每個細節都會讓人想駐足欣賞是個很讓人放鬆的地方也是會讓人想再訪的營地,1,1,2
14007,完全沒有人管理的營區，半夜三點震天響的音樂及大合唱聲音，廁所髒污，不建議想享受山野環境的露客來訪,-1,1,0
4921,離市區超近，不想跑遠的好地方。自然生態豐富，蚊子也免不了，有螢火蟲超感動。,1,1,2
3449,適合計畫前往太平山遊玩的露營地，外食及採買方便，營主夫妻很好客，會想再訪的營地^^,1,1,2
13715,謝謝營主與工作人員的服務 幫我安排到喜歡的營位 環境舒服又乾淨 還有大小朋友都愛的釣魚池 開了兩個鐘頭的車真的值回票價👍👍👍 …,1,1,2
1387,非常棒的地方，營主親切服務也超讚,1,1,2
10299,有排水系統較環保，適合來放空,1,1,2
11846,浴廁 環境乾淨 風景優美營主親切 有提供大冰箱親子設施完善,1,1,2
13349,風景好，眺望視野佳，營地整潔，浴廁乾淨有熱水。看夕陽大景的好營地。,1,1,2
2925,"營區很不錯,風景很棒,營主人很好很親切",1,1,2
11786,老闆親切營區好像在森林中很放鬆,1,1,2
8481,風景好、環境乾淨、第一次露營剛好到這間營地，讓我留下好印象，還會再來，非常推薦喔～,1,1,2
8937,營主粉熱情粉佛心粉專業，機車露營裝備不夠，貼心借用！！下大雨還幫忙搭！！,1,1,2
14435,小而美的營區，小孩不怕跑遠，有水池、溜滑梯、沙坑，浴室廁所都滿乾淨的，但美中不足的是...淋浴間會聞到廁所的尿騷味😅老闆娘人很親切👍🏻,1,1,2
3187,管理得很好的營區。解封後第一露，訂了比較獨立的營位，車停帳旁，草皮保養得很好，有護草墊，水槽電源都離帳很近，但會被前方的樹木遮住視野，比較沒有看到景。在戲水區旁邊，因疫情沒有開放，但如果有開放應該會很吵鬧吧(笑) 很小巧又舒適的營區，值得收口袋:D,1,1,2
1976,還可以~~~。老實說只有衛浴的問題淋浴及廁所是一起的~~而且是隔板通風所以剛好正洗澡的時候  隔壁剛好在大號....洗澡還要邊聞別人的屎味     這點我真的受不了,1,1,2
1945,營地不錯。營地方便 ，但老闆娘以小木屋顧客為主 服務尚可,1,1,2
6906,去了一次還會想再去一次～營主很熱情招待我們,1,1,2
13454,開心一人包場，環境整潔很舒服蚊子一定有，特別是晴朗好天氣，防蚊措施要做喔！,1,1,2
3870,知性、休閒、自然、野趣的露營區。在營區裡渡過了24小時，感受到營主對部落文化的熱情與愛護，也被營主的幽默深深吸引，領略了不同以往的露營新感受。我將這次的經驗剪輯成影片，讓大家快速了解營區的服務內容與營主的熱情，希望大家會喜歡。YT頻道：河馬愛什麼       @hippolovesunny                         https://youtu.be/GZKSjICsa84,1,1,2
914,中規中矩的營區。浴廁距離入口營位好遠，營區挺大，挺乾淨，可以在裡面散步。,1,1,2
10177,很開心台南多了一處環境優良的營區，雖然沒有兒童遊憩區是遺憾，但是孩子總能有各種玩法打發時間，最後浴廁跟冰箱超讚的。,1,1,2
9686,營地乾淨，營主親切，環境自然，冰沙diy，唱卡拉ok，有機琵琶超級甜，青梅5斤100元，梅酒品嚐，特色農產品嚐鮮，真的值得來走走。,1,1,2
9668,2022跨年至2023   帶長輩一起露營，環境很清幽  有種櫻花和梅花還有檸檬樹園，可以看到雲   風景很美   鄰近惠蓀林場由小遊樂設施和球池(小孩玩得很開心)營主還招待酒釀薑汁有點點小不滿意就是浴廁空間小(幫小孩洗澡有點擠)且使用量大安排清潔比較晚其他都很棒^^,1,1,2
2867,場地很舒服，營主人很好,1,1,2
8668,避開假日，第1次造訪就是2人包場露營，一定要給很好的評價，營地寬敞，浴廁乾淨，視野佳，老闆娘親切，水電方便，柿子好吃。值得再訪。,1,1,2
12958,草地整理的很整齊，衛浴廁所也很乾淨，每塊區域都獨立的活動空間，非常適合三五好友一起來玩，老闆跟老闆娘也十分親切，有任何需求都可以隨時找到人~真的很棒👍👍👍 …,1,1,2
5204,營主大老闆熱心且和善  小老闆親切熱情  充滿人情味的營區,1,1,2
15161,營主佛心管理，進營區是我們自己找到營位。因網路訂位只有區域，故不知道營主如何安排。找不到營主只好自己找，幸好同區其他位置已有露友扎營。詢問之下才知道我們可能的位置。紮營後住兩晚都沒看到營主來確認入住😂 入住兩晚露營區，沒有每天收垃圾，因垃圾桶位於帳篷旁，如若沒有當天收可能招來蚊蟲，現在天氣涼爽還算還好。但天氣一熱起來問題就會很嚴重。衛浴設備屬陽春型，同區其他營地都更完善，小小的敗筆。廁所因連假人潮眾多，非常髒亂，營主沒有勤勞清洗稍微有味道。停車也是隨意停，各自跟旁邊營友溝通好不要擋到互相出入即可。,0,1,1
6933,營區路很好走，訂了長老雨棚區，提供的空間非常足夠，天花板的燈亮度就很夠了，幾乎不用再另外點燈，冰箱、衛浴跟垃圾回收區都整理的非常乾淨，營主親切健談，還提供艾草蚊香給我們防蚊，夏天去又臨近溪邊，難免會有小黑蚊跟一些蟲蟲，防蚊液跟蚊香要準備好。廁所跟浴室是分開的，浴室有兩道門，完全不用怕有蟲蟲跑進去，而且每間浴室都是乾濕分離，有洗髮精沐浴乳，還有水桶跟小椅子可以坐著洗澡，非常的貼心！營區貓貓叫咪咪，非常可愛！！喜歡蝦子☺️營區對面就有營主親戚經營的餐廳「衫沐松農場」，點了獵人餐跟山豬野菇燉飯，兩道都很好吃也有飽足感，招牌焦糖脆脆奶蓋很特別，好喝👍,1,1,2
14583,營主很熱心，無私的提供協助,1,1,2
12960,營主很客氣，公共廁所都很乾淨,1,1,2
7531,"環境設施完善,令人心曠神怡",1,1,2
7196,很有人情味的露營區，恰巧只有我們一家人，不小心就包場了，跟自家後院一樣的自在悠閒，適合帶長輩一起共遊，不用自己煮水有大飲水機，大冰箱也不用擔心食物儲放的問題，浴室熱水水量大，下次找時間再來,1,1,2
470,營主很親切，營地小而巧，下次會再來造訪~,1,1,2
12854,很棒，重點是沒有小黑蚊沒有小黑蚊沒有小黑蚊因為很重要所以要講三次現在是11月其他季節我不知道囉第一次來三天兩夜第一晚上帳篷的骨架斷了搭的得很辛苦營主還上來關心了兩三次第二晚因為變天了老闆還特別上來跟我們關心一下我們的帳篷是不是可以撐過呢。就感心。,1,1,2
10577,營主奶奶相當親切是最好的活招牌！高山風景千變萬化都不會無聊的！,1,1,2
