,content,status,type,label
8559,風景優美 ，可惜要開很遠的山路,1,1,2
1053,近溪流，水流很大，有車道可以安全踩水。沒什麼景色可言，不過能玩溪水真的是一大賣點。,1,1,2
10271,草地區草太長，都已經長到超過黑墊有蚊蟲很正常，有這麼多蒼蠅不正常。露營這麼久第一次遇到蒼蠅超多，從早上八點被蒼蠅弄醒，一整天黏滿了五張紙，用電風扇吹都吹不走，整群整群，直到晚上六點才沒有。浴室寬敞，水池也還不錯，只是蒼蠅真的多的誇張,-1,1,0
14313,雨後有溪水，無雨有山泉水小泳池。野石營地，釘子要粗長才夠用。有樹蔭和營地共用的大雨遮及桌椅。乖貓咪…浙山蛩…,0,1,1
4985,郊區空氣清新 無網路可以徹底放鬆,1,1,2
3116,建議先問問蒼蠅多不多。上山的路很狹小很陡，注意安全，營地草皮很軟，是巴西地毯草很軟，但是不平整，還有要去的時候，最好注意一下季節，圍繞營區的是果園，說是在施肥，所以蒼蠅誇張多…爆多停在帳篷上一整片…是會多到影響食慾那種…自備十張蒼蠅板黏滿滿…這蒼蠅量是露營以來史上最多，營主養的狗狗會跑來草地上亂大便，要通知營主來清，所以走路要特別注意，環境維護差讓原本想山上放空的心思全沒了，衛浴是電熱水器，算熱，蓮蓬頭壞了水會亂噴要注意還有部分淋浴間水量小，乾淨程度差，連假滿帳遇到跳電一個小時，但是怕蟲的要注意吧，蠻多蟲的，可能太忙了，感覺環境沒有在用心在維護，就剩那山景值得安慰而已，有點失望,0,1,1
9966,有沙池，滑草區，可惜露營區都沒樹沒遮陰,1,1,2
13530,風景優美，老闆還蠻親切的，而且有雨棚區，適合雨季的時候露營！但是衛浴間不足，洗澡要等很久。,1,1,2
9672,第七露，連休亂象多！這次不指名優缺點就說我感受到的1.蒼蠅大軍，從上午到下午不停歇，午餐不想和蒼蠅共食只能速戰速決，黏蠅板也沒用2.營主不會巡視營區，連休假期暴雷露友大集合廁所抽菸、音樂放很大聲、玩nurf槍亂射、水管亂噴水、佔用非定位營地、死小孩欺負野貓、玩鬼抓人在我們的營位奔跑…太多太多！3.草皮區洗手台一帳一個，但雨棚區不確定是不是一樣，因為路過的時候沒看到4.浴廁小，草皮區浴廁較新但沒有蹲式，雨棚區浴廁舊，洗澡會積水5.沒有限制抽菸，各種抽！越晚抽越兇！不說我以為我在海餐店6.廁所不會定期清潔，煙頭在地上整天沒人掃，唯一欣慰的是有提供酒精整體感覺很差！很差很差！還有為什麼溜滑梯一定要噴水設施我不懂！通通濕答答參雜著沙！這一代營區很多，一定有更好的選擇,-1,1,0
12957,場地整理得很好， 人多的時候衛浴跟廁所可能不夠， 不過 可是要上山的路實在太陡了 ，不適合 騎單車🤣 車子一檔若沒力，也要考慮，干萬不要上山。 …,1,1,2
