content,status,type,label
夏季蚊蟲較多，老闆很貼心有提供風扇及蚊香，但恍如人手較不足，淨化度得再加強,0,2,4
非常超值！設備齊全，烤肉食材充足浴廁乾淨，房間精緻白天晚上處處有大景！,1,2,5
景緻美，但蒼蠅數量多，雖有黏蠅紙，但還是影響好心懷。,0,1,1
自然環境下的快樂露營怎麼看？,0,2,4
優點事物（晚餐&宵夜）入味&很飽工作人員親切洗澡水很大吹風機很高階缺點除了帳篷以外都沒有露營的備感很多地方感覺都沒拾掇好（荒草、一些工具）官網圖很美的帳篷屋頂整個髒髒的 拍起來很醜離馬路很近（B區）晚上飆車&形勢聲音超級大電視從沒YT也沒有Netflix 但有第四臺（mod)繩索、獨木舟、手作只能三選一 有點惋惜可能可親子不適合跟朋友出遊,0,2,4
很豪洨的點。落差也太大！哪有瀑布？就放個水潭也要收這麼多錢？什麼景也沒有！一顆星都不屑！,-1,1,0
地點棒是不是管理方面有點囉,0,2,4
此次住房後心得優點 ： 環境好 環抱大自然 入帳享受悠閒慢活 帳房有分離式冷氣 盥洗室有8分 遇到舒適的天氣 很幸運 也很滿意服務人員和夜間導覽熱心解說缺點 ： 寧靜的夜晚 過多吵雜聲 如⋯汽機車 和 夜衝年輕人的大小聲 還要意外闖入的陌生人 夜間去廁所有點距離不太方便 分區帳房有磁卡進入但是防君子難防小人 自身財務要注意 供餐部分有6分 價格要注意小孩2歲以上要加價 這部分挺貴的以上總結10分 給7分 個人分享僅供參考,1,2,5
小巧乾淨的營地，很特別的是熱水是用柴火燒的(營主會來燒)。,1,1,2
草地區草太長，都已經長到超過黑墊有蚊蟲很正常，有這麼多蒼蠅不常規。露營這麼久第一次遇到蒼蠅超多，從早上八點被蒼蠅弄醒，一整天黏滿了五張紙，用電風扇吹都吹不走，整群整群，直到夜間六點才沒有。浴室寬敞，水池也還不錯，只是蠅真的多的誇張,-1,1,0
在訂的時候被官網的照片騙了，原來露營車內部所有東西除了床以外都不能用，雖然是我在訂房沒看清楚。提供床上用的燈也沒電，是另外接的造型燈，打開後每隔幾分鐘就會閃，是想不想給人用….這種品質住飯店還比較實在。,-1,2,3
早餐普普，其他都不錯。,1,2,5
整體來說，氛圍很不錯，環境也很不錯，晚會活動也很好，工作人員也很親切，但是烤肉真的還好，而且卡式爐一直烤不熟，外面焦裡面生，所以晚上上吐下瀉，而且只要有人在廁所洗澡，整台露營車就會劇烈搖晃像地震，棉被也不知道是不是沒有很乾淨，睡到全身癢,1,2,5
"難得的露營區,座落於中海拔的山區,旁邊又有幹 淨的清涼潺潺溪水,夏日來訪光聽水聲就覺得涼爽 無比。餐點吃起來也不差,工作人員各個親切有禮,裝置都算不錯,但說實在以豪華露營來說,價 位還是偏高,因此我的標準會再挑剔一些(服務方面)。1.園區雖然都有安排活動,但在活動的時間和集合地 點方面並沒有人員協助導覽帶位,時間到了指定地 點卻沒人,有時會覺得自己是不是撲空了或找錯地 方。2.酒吧有營業,但並沒有人說明提供什麼服務,也 沒有人員主動提供選單3.營區有開放自助紮營的,但當天隔壁的自扎團太陽都下山了才到,晚上才紮好營。過了晚上十一點玩遊戲還是大聲喧譁擾人清夢之外，早上六點就開始練射箭…（是不是該限制使用時間呢）很明顯對園區的旅客教育不周.....(本子上寫著22:30寧靜時間, 但有確認旅客看過嗎?)",0,2,4
一開始入住的時候帳篷還沒整理好 昭然若揭網站上是預定兩點入住 三點到還沒弄好 而且也沒給房卡 烤肉也只給烤肉盤 也不知道能不能換一個烤盤 頭烤道焦黑了 當天晚上隔壁帳道兩三點還在大聲喧譁,0,2,4
氣候：午後過雲雨營位：滿帳（Ｃ區）助益：無小黑蚊、環境大自然，昆蟲很多、溪水乾淨，魚、蝦、螃蟹都有，小朋友玩的很開心！缺點：廁所數量少又髒臭、洗澡水忽冷忽熱。飲水機是老闆和氣在泡茶用的＝要自己帶水，得以取用，只是困難一直裝。冰箱是老闆在賣飲料，有何不可供暫放食材，但位置在飲本部，晚上會鎖起來，使用拮据。補充:因剛好是訂C區，風景第一手面對山和溪水，有半踏青的感到，但雨棚空間很小(放300*300帳剛好滿)又遇到下雨，大家有點沒方坐建議訂位F區，雨棚半空中比較大。夏季可以再去露營的地點，但有小不點兒(怕昆蟲、愛廁所幹淨)的家庭可以訂福田美地或逹彥!!在附近走路1-2分鐘,0,1,1
