content,status,type,label
價格過高，CP值超低，帳篷有發霉還破洞，廁所髒亂，餐盤沒洗乾淨，晚上蚊子很多，租的冷氣不會涼，洗澡水忽冷忽熱，那邊很多外勞而且工作都嘻嘻哈哈，下次不會花錢來這買罪受。,-1,2,0
這一對夫妻老闆真的是很糟糕，我們來40人，剛好遇到寒流，冷到睡不著，跟他要電毯，他們夫妻請我們蓋棉被就好，還說電毯都在倉庫都是灰塵，你要嗎？態度非常差，還罵吾儕臭屁,-1,2,0
夏天熱，不適合烤肉，不過烤肉食材的特徵是什麼,0,2,1
1.客人的素質業者無法控制就算了，但是規定9點過後要降低音量，其他區的客人還在放電音、大聲嬉鬧、唱歌，也不見業者出來處理，電話打了4-5通才有人接2.浴室區沒有分男女，有些男客人直接穿著一條四角褲就來，你不在意，我才不想看…..3.早餐在規定時間內（8:30-10:30，我9:50領取，說要帶牌子兌換也返回拿，卻只剩下一份（我們有兩個人），說其他客人都沒有帶牌子兌換，缺了30幾份（傻眼，那一開始規定怎麼做就請他們回去拿不就好了），帶著那一份早餐也是冷的，豆漿還凝固了，然後等了20分鐘左右，另一份早餐到了，飯糰冷到不像現做的，ㄡ，是冰的…..傻眼again4.網美區是很好拍5.烤肉食材也可以6.接待人員態度良好但是前面小細節很不行，我個人不會再來，也不會推薦朋友來！,-1,2,0
沒感想到品上說的營主親切或態度良好，田帳也乾淨舒適，2顆星給它,-1,2,0
整體條件是美妙的，浴池跟廁所的乾淨度以平日來說是翻然的，公空間也算是乾淨溫馨戶外的部分蚊蟲的量是真多到爆炸噴防蚊液也還乏建議自己帶一下蚊香。但真的絕不選擇一泊二食，我們六位（4男2女）選擇烤肉組實在全部都吃不飽，食材的新鮮度真的是堪憂，早餐的部分這樣相加一個人要500，六位總加購價3000元真正是讓人極盡無言，冰塊也要錢木炭六個人只給兩包（真的超小包）如果又木炭也要再加錢50元/包。住宿的部分是一個露營車跟水泥管，本人是住水泥管只針對此一部分做評論，充氣的氣墊要自行充氣都還好，充不飽氣也沒關係我們隔墊著衣服吹氣吹飽後放兩個小時後氣就消到幾乎沒充氣的狀態，痊癒真的是腰痠背痛，冷氣也會在正頭頂吹還有真的超高聲的蛙鳴聲（潭邊這部分算合理各位自行斟酌）,-1,2,0
營區可帶狗狗原是美意，但若沒嚴格執行相關規定只會漸漸失去更多營友。一些狗狗沒綁牽繩到處亂跑亂聞帳篷和草皮區樹叢亂大小便，就因為營主看到也沒任何告誡或處理，有的主人就更放任狗狗到處亂竄。不要說我家狗很乖不會咬人，那是因為你是主人別人怎麼會知道，營區小孩又那麼多，到時出事再來互相爭執又何必。,-1,2,0
露宿區夜幕很美～老闆人很好！早餐也很好吃，庖廚包羅永珍，是新手露營很棒的揀！不過帳篷裡頭的冷氣運轉蠻高聲的，加上與個別帳篷的鄰近，半夜還聽得到隔壁吵鬧的聲音> <,0,2,1
從露宿區最高點拍下去夕陽真的很漂亮帳篷蠻大的但K區著實有點小建議還是往上面一點點區住可比好👍 …,0,2,1
環境衛生異常好人文素質非常差想入坑的可以來體驗想清靜的請慎選,-1,2,0
