content,status,type,label
營區工作人員非常友善和熱情～選擇了星期日晚上露營入住還有幫我們飛空拍機拍照！旅客不多環境清幽，廁所很乾淨，離龍騰斷橋真的很近～提供的晚餐食材也很足夠,1,2,2
喜歡一群人同樂的不要來，不習慣十點前就寢的不要來喔，因為你來會得到業者的不友善敗興而歸的，從我們剛到時老闆娘就向我們投射出厭惡的眼神，近十點還會打電話說:已經忍受你們三小囉，請趕快終止一切交談。傻眼，如你們想要市場區隔，要做一個很屌很酷的很有個性的露營區，請你們在官網或訂房前就說清楚謝謝，不要讓非你族類的人留下該趟旅遊最爛的回憶，若不幸住到隔天的人東西要收好喔，不然會有雞寮般的蒼蠅會覆蓋在你的食物上。(看這個評論肯定是刪留言得出來了ㄏㄏ),-1,2,0
第一次除夕帶家人體驗露營，但最愛還是園區裡的拉布拉多奶茶，真的好可愛，剛好小朋友有帶球，奶茶看到球直接瘋掉。超級可愛。,1,2,2
老闆人真的很好，知道我們有小朋友，幫我們安排在釣魚的那一區，雖然小黑蚊有一點多，但是並沒有減低小朋友的興致，大家都很玩得很開心，下次有機會會再選擇這一家!,1,2,2
平日的我們包場，晚餐食材很豐富！工作人員都超級好，推薦我們賞螢景點！是個愉快的入住經驗。,1,2,2
二訪，配合度佳，有機會再來玩😎,1,2,2
"It was raining all night, so it was difficult to enjoy barbecuing outside.",1,2,2
營地整理得很不錯。乾淨，樹木也蠻多的,1,2,2
環境真的很好，拔絲地瓜好吃到念念不忘。營主人真的很好，服務好到沒話說，唯一遇到一個問題就是水溫不穩⋯只能把水放到水桶裏調好溫度在幫小朋友洗澡，除此之外只有*讚*可以形容。,1,2,2
適合員工旅遊，服務人員超貼心,1,2,2
*服務人員親切*淋浴間熱水不足*環境衛生有待加強*建議不要在颱風過後造訪,0,2,1
超棒體驗！會把你餵飽飽吃很好😀😀Chris &Sora很貼心像朋友一樣照顧你推薦一家大小來玩 …,1,2,2
床很好睡，一點都不冷，老闆娘很熱情,1,2,2
住宿區內環境氣氛和諧且充滿熱帶渡假聖地的感受！唯獨無法提供早餐服務讓人覺得缺乏期待感！老闆為人豪爽不失為靠海為生人家，整體感覺還不錯！,1,2,2
國立聯合大學校友會桃園分會旅遊活動，風景怡人，烤肉活動精彩歡唱KTV適合家族、朋友聚會喝酒聚餐的地點，老闆、老闆娘很親切，下次還要再來,1,2,2
環境優靜，心曠神怡，親近大自然,1,2,2
一個完全只屬於住客的空間，自由自在，不受太多限制，非常適合親子及好友包場共度，也是我們非常喜歡的專屬空間類型，整體公共設施及附屬器具都相當乾淨且別具風格，令人感到放鬆及心曠神宜👍👍👍,1,2,2
真的是花大錢看風景 露營車 桌椅 客廳帳 都老舊不堪 也沒更新 風景雖美 但園區內環境髒亂 洗手台還會堵塞 滿心期待的帶小孩入住 卻住了個寂寞 車內除了兩張床墊看起來算乾淨 其他地方皆不及格 車內天花板還都發霉 電風扇卡超重灰塵 浴室內也肉眼可見發黃區域 拜託老闆好好的整頓 不要浪費這片美景,-1,2,0
"環境設備新穎舒適～房間居然還有 Netflix,只是網路不太穩，但是出來就是要享受大自然😁 整體感受很棒，服務人員也很親切👍風景也很美麗～",1,2,2
服務特好 餐點特好吃 非常推薦的豪華露營有BBQ素食也有豪華火鍋,1,2,2
帳篷很美很乾淨，裡面有衛浴設備讓我非常驚訝！不用跟別人一起共用衛浴真的太棒了，夜晚海風吹拂看著星空很是愜意！但白天太陽照射之下帳篷裡會非常悶熱！大致上都是很棒的！,1,2,2
感覺評論：事隔三天 我是以平靜的心情來給評 去任何營利場所要付費的東西我覺得都沒關係 但付了錢還受罪那就真的感覺很差 當天氣候真的很不好 一度風雨堪比颱風😵 租了客廳帳不大就算了 裡面跟著下雨 人接水食材也跟著接水（不誇張內褲全濕） 試問老闆我們到營地當時天氣沒很好 不會一開始拿好一點的客廳帳給我們嗎 要收費品質也要兼顧 老闆娘並不是很友善 一點小事就歡迎光臨麥縫（電話一直響）自認我們的人都不是奧客類型 沒什麼誇張行徑環境評論：廁所有點遠，加上是較陡山坡地並不是很方便；水龍頭水量很小；營帳附的炊具基本是用來拍照並不實用；因為擔心白天沒時間整理所以垃圾基本都有分好了但千算萬算竟沒料到有野狗，一早起來傻眼 垃圾四散 跟二次大戰沒兩樣，又費一番功夫才收拾好；營帳內有異味；原本是想好好放鬆但感覺更累，一顆星是屬於夜晚星空跟一早美麗的風景,-1,2,0
第一次無裝備露營體驗就獻給寬闊雖然晚餐早餐都要自己準備但已經讓新手的我們不用租裝備搭帳覺得方便太多了當天到達營地後老闆娘怕我們冰食材不方便（帳篷離營本部有點距離）也直接騎車拿了冰磚來借我們使用非常熱心而且房間很大又乾淨不會有可怕的霉味感覺營主很認真在維護公共浴廁也很乾淨若之後還有想要露營的話會想再來也會推薦給親朋好友的,1,2,2
景色很美 一定要早起看日出 很多貓咪會陪著妳跑來跑去的 東西很齊全還有公共的鋁箔紙保鮮膜可以使用 很方便,1,2,2
第一次體驗露營感覺非常好，超適合我們這種不自帶露營裝備的人。營區的景色、空氣很好。,1,2,2
風景優美 服務很好❤️,1,2,2
大部分都還不錯，可惜天氣冷，不然戲水池很不錯，晚上的親子電影建議撥放中文語音版本，很多八歲以下的小孩都還不識字，看不懂字幕，有一車老人家反映沒有熱水,1,2,2
露營車內空氣寬敞舒適，洗澡方便，也有桌椅和洗手檯，真的是懶人露營最佳首選,1,2,2
整體整潔度還不錯，位於1000公尺海拔，居高臨下風景很好，擁有大草坪，小朋友可以進去放電，天氣好時，可以看到滿天星星，很舒壓,1,2,2
很美的風景 老闆娘很熱情 之後還會來❤️,1,2,2
工作人員服務超級周到，而且超級親切的。整個環境超棒，吃的玩的樣樣有,1,2,2
希望等我再去的時候還可以帶喇叭和卡拉OK。一到營區報到現場人員其實很親切與客氣，到晚上18:00也還會主動關心還可以嗎？，但這營區對露友非常的友善，下午喇叭可以開到最大聲，還可以唱卡啦OK到21:00，以上21:00都立即停止⋯很棒！我住搖滾區，現在凌晨12點還可以狂歡刁牌和烤肉，22:50打營區電話告知會勸導，說但這是露客素質！夜晚可以有聲音，但不能ㄧ直狂歡吧！也沒感覺有勸導，忍到23:50再次打營區電話⋯但沒人接聽了。營區很好玩，可以自費給孩子騎沙灘車、打水彈，但放任露友的行為無法管真的不能接受！或許等我們想和一群朋友狂歡唱卡啦OK的時候我們再來，畢竟現在是帶孩子來玩晚上需要休息的⋯這裡適合年輕人的營區，不適合親子喔,1,2,2
老闆很親切 房間也很漂亮 空氣好 晚上早上的風景都很漂亮 還可以跟貓貓玩 洗澡的地方也很乾淨 很適合放鬆 跟朋友一起來,1,2,2
本次住小木屋整體還不錯但床有點硬不太好睡老版很親切,1,2,2
第一露，首次體驗就讓人期待下一次了！環境乾淨、帳內舒適不潮濕，草皮平整，非常適合親子來。還有極佳的風景視野，體驗騎馬、越野車、水彈槍，高CP值,1,2,2
乾淨又寬敞，半夜的星星非常漂亮,1,2,2
營地大小剛好適合我們四個家庭家庭，孩子們玩得開心，阿公阿嬤也很放鬆，服務人員親切熱情，之後會再來光顧喔！,1,2,2
教練超會拍網美照哦～～,1,2,2
超棒五星級的體驗，設備餐食營區環境都很適合懶人系大人，而且每一餐廚師都有給驚喜！回來以後一直推薦給親朋好友，有機會一定要再訪！,1,2,2
環境好、方便、舒服😌 …,1,2,2
住宿在A區碎石區，眼前滿滿山景真棒！。如果碎石區也有棧板可以用，那就更十全十美了。,1,2,2
獵人區居住體驗非常不佳。一入住發現淋浴間地上有非常多昆蟲的屍體。帳篷內有前一個客人留下的襪子，篷內裡霉味很重，內壁也都是發霉痕跡。冰箱開門把手及冰箱縫也有密集的蟲，環境明顯沒用心整理過，理解大自然難免會有昆蟲，不過還是希望營區能加強維護環境整齊。整個旅程不斷受驚嚇，甚至一直有沙灘車的噪音。與網路的評價實在落差很大，唯一的優點是帳篷內的冷氣很涼。,-1,2,0
除了露營車有沼氣問題待改善之外，其餘的部分都很棒，如果租借卡丁車可以更優惠或者免費體驗會更好,1,2,2
人超棒！！會再來🙈 …,1,2,2
晚上十點不熄燈其他營區的客人很吵都十二點半還在聊天 別人家死不了喝醉酒的發酒瘋去告知過其他人很吵還說我們罵錯人你們不用睡覺別人要睡覺跟管理員說要報警也說沒用 客人繼續吵  不適合親子的露營下次不會再來了 重點晚上的烤肉很難吃,-1,2,0
去玩的時候是園區剛試營運的時候但住起來的感覺非常舒服晚上聽到蟲鳴鳥叫的聲音非常舒服,1,2,2
公告晚上10點後必須放低音量，11點沒屢勸不聽就退帳？根本只是貼出來好玩的，隔壁帳從10點多玩牌玩到半夜四五點吵的要命勸導也沒用，一晚四千八沒房間連衛生紙，真的有住過就一次就好了,-1,2,0
這次入住兩人亞馬遜蒙古包 ，第一次露營🏕️體驗，我很喜歡老闆態度良好 ，細心介紹園區設備，衛浴是洗澡跟上廁所的地方分開，還不錯熱水都來的很快我們有自備網美燈跟 、投影機可以拍網美照 ，晚上可以看看影片（不吵到人為主）或看看星星喝著啤酒聊聊天晚餐可以帶器具自己煮 /2人帳 100元清潔費可以跟老闆借桌子椅子，在帳篷前面煮附近有家樂福  ，老闆那裡有冰箱可以冰食材，完全不用擔心食材要放哪裡🤩🤩整個園區都很讓人放鬆，晚上是聽著浪花拍打岸上的聲音睡著的☺️這邊到海邊大概走5分鐘左右 很近 走路就到了也特別適合小朋友來玩，我看一對夫妻帶著孩子來玩 ，小朋友都在玩火車或球球😂😂很開心的兩天一夜,1,2,2
空間很讚！食物也好吃😋很適合和朋友一起聚會！營區內有酒吧適合小酌,1,2,2
環境整潔，服務熱忱，用心經營,1,2,2
舒適又乾淨 景關讚 建議多蓋幾間木屋,1,2,2
我太喜歡這裏，環境美，帳棚大，服務員熱心，我已經73啦！來了這裡，讓我年輕變38歲啦,1,2,2
設施好很多 很適合小孩,1,2,2
中秋連假剛三天兩夜20露回來，雖然地處道路旁時有汽機車喧囂而過，隨著夜幕低垂次數漸少尚能接受，營地各項免費和付費設施意猶未盡，森林探索還同天加場，玩了兩次，雙寶說＂這是最好玩的營地了＂，尤其對營主森林探索帶隊的熱情印象深刻，給山大王最強力的支持和推薦喔。（ＰＳ：第二天一早營帳旁發現了美麗嬌客＂麗艷大星斑天牛＂ ，翅鞘為鮮艷的紫色至黑紫色具強烈的光澤，但在不同光源下顏色差異大，又稱紫豔白星大天牛）,1,2,2
很讚的露營新體驗早起看日出 🤩🤩🤩,1,2,2
山景遼闊，視野很棒！免搭帳就有舒適的住宿！讚！,1,2,2
環境很棒，讓人感覺很放鬆～感覺身心舒暢,1,2,2
很吵！有耳塞也無法休息半夜12點還有多人帳大分貝音樂、唱歌及吵鬧聲帳距超近，隔壁玩桌遊尖叫聲此起彼落禮貌告知也是如此此營區無人約束控管深夜音量，是個大問題！喜歡半夜開party可以來,-1,2,0
感覺普通 還算乾淨，一晚卻要收到九百 有點貴，下次會改選旁邊的再露營，草皮超大片，又靠近百萬夜景,0,2,1
行前email說明很清楚 使用空間給的很大方 衛浴設備乾濕分離 夏天有冷氣的露營車很舒服,1,2,2
好山好水 營主很熱情 環境維護的很好,1,2,2
營主人很親切、廁所環境很好！,1,2,2
環境很棒，整體乾淨，很適合一去。如果開車技術稍差一點的要小心開。整體環境很乾淨、水龍頭浴廁等很足夠，沒什麼大缺點。如果要看螢火蟲記得和老闆娘說一聲，她會帶你到附近地方看。整體來說很棒的體驗!,1,2,2
非常適合親朋好友一起來帶小孩、幼兒都很適合。在試營運就來入住太棒了🌟電視Netflix YouTube 都已登入好，實在太貼心了👏若用餐桌及烤肉區燈光能在亮一點，完美😍,1,2,2
這就是拉低台灣旅遊住宿原因吧！！除非很有錢或是有剛在一起女孩...但女孩應該更想出國吧！...活動都是在台灣任何地方就能做的活動...吃的是只要拿出3000就能去吃更好餐廳...住宿就等於跟露營一樣感覺...只是透明...如果想打卡炫耀還不如拿這些錢買一張瑞士來回機票更美好,-1,2,0
雖然價錢不便宜，但這裡的夥伴人都非常好，臨時想升級牛排也很願意幫我們問老闆、問廚師；食物也完全不怕你吃，都非常用心準備，迎賓午茶比較普通，晚餐宵夜早餐有驚艷，披薩好吃；淋浴空間非常大、很乾淨很新，但每個人都在洗的時候似乎冷熱水會有點不穩。整體而言，很推薦可以來體驗~~,1,2,2
環境良好，可以打水仗十分有趣。同時老闆也非常親切，是個適合家族旅遊的地方。,1,2,2
山路從魚池過去比較好開，廁所數量很多不用擔心搶廁所而且乾淨，我們寒流去熱水也算穩，老闆人不錯有問題都可以找他，如果要用他鍋具煮東西，記得要自己買瓦斯喔~再來被子枕頭要自己帶我覺得是優點也是缺點，優點不子部會在山上吸滿水氣蓋起來濕濕的，蓋自己的被子衛生乾爽，但缺點是被子很大一件比較占空間,1,2,2
我覺得祝起來很讚哈哈哈哈,1,2,2
服務態度不佳烤肉的地方竟然是做木工的工具台旁邊感覺就像在工地烤肉...,-1,2,0
帳篷髒污，維護需要再加強。帳篷內有很重的塑膠味/消毒水的味道。床鋪還算好睡，另有大螢幕電視且有Netflix ，營區沒什麼活動且下雨天適合追劇打發時間。,0,2,1
1.一進帳篷就有一股霉味，讓人感覺很噁心，帳篷上面都發霉，裡面也很髒。2.帳篷裡面進水，讓人傻眼。3.冷氣打開下去有股臭味。4.衛生間跟洗澡的地方不太乾淨，而且很臭5.外面地板全部都是爛泥巴，也不會舖石頭，很沒心的店家6.洗澡沒熱水，傻眼住了蠻生氣的希望能夠改進下次絕對不會再來,-1,2,0
很棒的地方，設備很讚，老闆及闆娘非常客氣呢！感謝您們用心經營，讓我們有美好的連續假期,1,2,2
"晚上要洗澡發現沒有熱水....自備的餐點沒有烤完放在冰箱,隔天要拿不見了...",1,2,2
房間很讚，但設施有點太少，食物還不錯，兒子能放電就還可以,1,2,2
營區帳篷跟教練一級棒的啦,1,2,2
環境優美，廁所洗澡間乾淨簡單，高CP值。有冷氣，空間蠻大，場地販賣部有賣許多商品，冰塊泡麵等等，可叫外送！下次會在回訪。,1,2,2
第一次狩獵帳的美好回憶。雖然山路有點陡但到了營區，營主很熱心廁所也乾淨，整體感受很不錯,1,2,2
從早吃到晚，很適合放空渡假的地方👍服務人員親切友善！推推！,1,2,2
雖然遇到下雨天，但趁沒雨的時候還是有玩到遊戲，騎馬超可怕，很好玩！,1,2,2
高級的露營區，不錯的體驗,1,2,2
營區維護的很好，廁所超乾淨，整個很愜意😌😌 …,1,2,2
親子一同遊玩放電的好地方！森林探索能訓練孩子的手眼協調與膽量，滑草適合親子一同遊玩，鐳戰遊戲更是刺激又驚險😊在園區內要記得帶防蚊液與防蚊貼片，要不然會被叮的滿腳都是紅豆冰😅 …,1,2,2
適合團體，家長帶小朋友來玩，有很多的體馬负,1,2,2
第一次全家人住露營車小孩好興奮ㄧ直說我們住在露營車裡面可以帶給孩子難忘的回憶很不錯👍 …,1,2,2
空間大 帳篷蠻多的有提供烤肉用具和餐點錄影還有空拍機服務可以幫忙拍照評論有送啤酒或紅酒👍 …,1,2,2
照片是早餐的風景很不錯這裡很自由老闆娘也很free,1,2,2
如果是下雨天真的不要來，外面下大雨裡面下小雨😫😫😫真的會冷死⋯設備也不是很新⋯根本等很久都沒有熱水唯一的優點是包餐的部分還不錯吃！不過下次應該不會再去了 …,-1,2,0
雖然那天真的是有夠冷不過我第一次到一個連狗叫都有回音的地方露營感覺蠻新奇的 帳篷前面只看得到山的感覺也很酷然後晚上有看到星星 有點久沒看到那麼多顆星星了～盪鞦韆很好玩～晚餐早餐下午茶都超級好吃高麗菜很甜，芭樂那個軟度甜度很可以。唯一美中不足的是洗澡熱水我真的抓不到他的節奏哈哈不是太熱就是太冷😂,1,2,2
整體環境很舒服😌老闆很熱心還可以幫忙佈置給驚喜 完整的設備很適合懶人一包即入住體驗露營 很棒的體驗 …,1,2,2
營主很熱情跟用心，食材很新鮮超好吃，不用怕肚子餓,1,2,2
價格稍貴但是準備的食材已經器具相當完好且人員對應親切，需求皆能滿足,1,2,2
