tokenization,status,type,label
風景 | 優美 | 夜晚 | 無太多 | 光害 | 星空 | 燦若 | 星河 | 美中不足 | 蒼蠅 | 實在 | 太 | 署 | 夏天 | 裡 | 夜晚 | 涼冷 | 算是 | 舒適 | 環境,0,1,1
夜景 | 佳 | 蚊蟲少 | 設施 | 稍遜 | 設施 | 稍遜,0,1,1
世族 | 顧營區 | 早上 | 10 | 點開門 | 不用 | 太 | 早上 | 打擾 | 營主 | 真 | 羞羞答答,0,1,1
洗浴 | 沒熱水 | 水壓 | 欠缺,-1,1,0
碎石 | 地太硬營 | 釘 | 不太下 | 所太少 | 垃圾桶 | 太少,0,1,1
收訊 | 差 | 遠傳 | 沒訊號 | 營寨 | 越軌 | 大石 | 沒法 | 釘 | 優點 | 浴廁 | 乾淨 | 水桶,0,1,1
聖誕夜 | 跳電 | 營主 | 拍賣慢 | 還來 | 警告 | 平凡 | 用電會 | 全區 | 挑停 | 物件 | 幫忙 | 修理 | 水電 | 錢 | 帳用 | 電量 | 開營區 | 本來將 | 抓好 | 廁所 | 清潔 | 頻繁 | 開 | 預計要 | 開新 | 營位 | 擔憂此 | 營區,-1,1,0
營主 | 很熱心 | 遺憾 | 事 | 景觀 | 位子 | 露友們 | 訂位 | 適逢 | 天氣 | 不好 | 天氣 | 感覺 | 可惜,1,1,2
老闆 | 水乳交融 | 營地 | 乾淨,0,1,1
訂位網 | 站上 | 寫明 | 卡 | ok | 那應 | 該維護 | 露客 | 權益 | 馬 | 放任 | 唱 | 整天 | 晚上 | 九點 | 整個場 | B | 區帳 | 位空間 | 很長 | 但帳 | 帳間 | 距離 | 寬些 | 更好 | 浴室 | 熱水 | 每間 | 夠熱 | 做 | 冷熱 | 迴 | 圈 | 測試 | 小蟲 | 但戶 | 外難免 | 接受 | 遊樂 | 器材 | ok | 小孩 | 放電,0,1,1
山 | 上空 | 氣好 | 環境 | 清優 | 衛浴 | 乾淨,1,1,2
